command,available,generation_status,failure_category,failure_reason,context_note,context_sensitive,returncode,timed_out,runtime_sec,probe_command,stdout_excerpt,stderr_excerpt
rewrite,true,enabled,,,AIG context,false,0,false,1.000754,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; rewrite; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; rewrite; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 167 lev = 11",
rewrite -z,true,enabled,,,AIG context,false,0,false,0.077737,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; rewrite -z; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; rewrite -z; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 156 lev = 10",
refactor,true,enabled,,,AIG context,false,0,false,0.070805,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; refactor; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; refactor; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 197 lev = 13",
refactor -z,true,enabled,,,AIG context,false,0,false,0.074805,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; refactor -z; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; refactor -z; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 196 lev = 1",
resub,true,enabled,,,AIG context,false,0,false,0.069015,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; resub; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; resub; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 179 lev = 13",
resub -z,true,enabled,,,AIG context,false,0,false,0.068177,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; resub -z; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; resub -z; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 179 lev = 13",
dc2,true,enabled,,,AIG context,false,0,false,0.070946,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dc2; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dc2; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 140 lev = 10",
dch,true,enabled,,,AIG context,false,0,false,0.076609,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dch; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dch; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 342 (choice = 43) l",
dch -f,true,enabled,,,AIG context,false,0,false,0.073307,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dch -f; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; dch -f; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 336 (choice = 45",
fraig,true,enabled,,,AIG context,false,0,false,0.066782,"read_blif ""data/tc_public/tc_public_1/input.blif""; strash; fraig; ps","======== ABC command line ""read_blif ""data/tc_public/tc_public_1/input.blif""; strash; fraig; ps"" Cannot open file ""abc.rc"". Cannot open file ""..\abc.rc"". Cannot open file ""..\..\abc.rc"". netlist : i/o = 10/ 8 lat = 0 and = 204 lev = 13",
