case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_1\output.blif,results\baseline\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,142,8,142,8,142,8,207,13,0,0,True,0.08724810008425266,0.08498380007222295,0.10883949999697506,10.40625,results\baseline\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_10\output.blif,results\baseline\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.08294610003940761,0.0634076000424102,0.12497709994204342,10.45703125,results\baseline\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_11\output.blif,results\baseline\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,1064,6,1064,6,1064,6,0,0,True,0.10302560008130968,0.08460209995973855,0.1633731999900192,10.9453125,results\baseline\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_12\output.blif,results\baseline\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1407,13,1407,13,1407,13,1482,15,0,0,True,0.10097810009028763,0.08309619990177453,0.14376240002457052,10.59765625,results\baseline\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_13\output.blif,results\baseline\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1130,14,1130,14,1130,14,1284,17,0,0,True,0.09971480001695454,0.17640690004918724,0.1543349000858143,15.8984375,results\baseline\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_14\output.blif,results\baseline\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,4474,26,4474,26,4474,26,6388,29,0,0,True,0.2075322000309825,0.144552499987185,0.17187440011184663,19.28515625,results\baseline\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_15\output.blif,results\baseline\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,928,10,928,10,928,10,931,12,0,0,True,0.0872252999106422,0.08865270006936044,0.11595259991008788,12.6171875,results\baseline\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_16\output.blif,results\baseline\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.08668299997225404,0.0700022999662906,0.1537533999653533,9.99609375,results\baseline\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_17\output.blif,results\baseline\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.08706639998126775,0.06767040002159774,0.13323190005030483,10.01171875,results\baseline\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,baseline,baseline,selected_candidate,,results\baseline\tc_public_18\output.blif,results\baseline\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,522,12,522,12,522,12,525,12,0,0,True,0.10600909998174757,0.1285754001000896,0.11491569993086159,12.3203125,results\baseline\tc_public_18\logs
