case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_1\output.blif,results\baseline_smoke\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,142,8,142,8,142,8,207,13,0,0,True,0.09118909994140267,0.0922278999350965,0.12863610009662807,10.3828125,results\baseline_smoke\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_10\output.blif,results\baseline_smoke\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.08517919993028045,0.07967669994104654,0.12931630003731698,10.47265625,results\baseline_smoke\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_11\output.blif,results\baseline_smoke\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,1064,6,1064,6,1064,6,0,0,True,0.10416549991350621,0.0892334000673145,0.13038670003879815,10.87890625,results\baseline_smoke\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_12\output.blif,results\baseline_smoke\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1407,13,1407,13,1407,13,1482,15,0,0,True,0.10311579995322973,0.08646110002882779,0.14860610000323504,11.26953125,results\baseline_smoke\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_13\output.blif,results\baseline_smoke\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1130,14,1130,14,1130,14,1284,17,0,0,True,0.11074749997351319,0.1883181999437511,0.13880849990528077,15.79296875,results\baseline_smoke\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_14\output.blif,results\baseline_smoke\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,4474,26,4474,26,4474,26,6388,29,0,0,True,0.21057860006112605,0.15223659994080663,0.13883580011315644,19.2734375,results\baseline_smoke\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_15\output.blif,results\baseline_smoke\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,928,10,928,10,928,10,931,12,0,0,True,0.09619059995748103,0.10414159996435046,0.12057470006402582,12.41015625,results\baseline_smoke\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_16\output.blif,results\baseline_smoke\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.0893797999015078,0.06999270000960678,0.11831259995233268,9.9921875,results\baseline_smoke\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_17\output.blif,results\baseline_smoke\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.08918779995292425,0.06812599999830127,0.1184398999903351,10.01953125,results\baseline_smoke\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,baseline,baseline,selected_candidate,,results\baseline_smoke\tc_public_18\output.blif,results\baseline_smoke\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,522,12,522,12,522,12,525,12,0,0,True,0.11032149998936802,0.1281526000238955,0.13503659993875772,12.3515625,results\baseline_smoke\tc_public_18\logs
