candidate,family,bucket_feature,bucket_value,cases,wins,ties,losses,total_node_delta,avg_node_delta,max_level_delta,avg_runtime_ratio,max_runtime_ratio,avg_RSS_ratio,max_RSS_ratio,recommended_pipeline,selector_rule_candidate,rule_safety_note
aig_resyn_resub_zero,aig_resyn_family,scale_grade,large,6,2,4,0,-325,-54.167,0,0.918744,0.949813,0.989657,1.002662,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,scale_grade,medium,5,0,5,0,0,0.0,1,0.827776,0.864855,0.997412,1.113888,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,scale_grade,small,13,1,12,0,-1,-0.077,1,0.817916,0.937556,1.002629,1.092539,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,scale_grade,tiny,6,0,3,3,83,13.833,2,0.772263,0.841727,1.002774,1.020046,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,high_fanin_sop,false,22,2,20,0,-325,-14.773,1,0.84445,0.949813,1.000443,1.113888,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,high_fanin_sop,true,8,1,4,3,82,10.25,2,0.79249,0.870724,0.995758,1.020046,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,near_two_input_aig,false,12,1,8,3,82,6.833,2,0.789556,0.870724,0.99032,1.020046,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,near_two_input_aig,true,18,2,16,0,-325,-18.056,0,0.857953,0.949813,1.00511,1.113888,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,two_input_ratio_bin,two_ratio_high,5,0,5,0,0,0.0,0,0.821789,0.937556,0.999598,1.006455,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,two_input_ratio_bin,two_ratio_low,8,0,5,3,83,10.375,2,0.778454,0.870724,1.001551,1.020046,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,two_input_ratio_bin,two_ratio_mid,3,1,2,0,-1,-0.333,1,0.840277,0.868449,0.954992,0.99963,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,two_input_ratio_bin,two_ratio_near_one,12,1,11,0,-283,-23.583,0,0.864695,0.949813,1.00818,1.113888,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,two_input_ratio_bin,two_ratio_very_high,2,1,1,0,-42,-21.0,0,0.842043,0.86933,1.001138,1.002662,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,names_bin,names_large,6,2,4,0,-325,-54.167,0,0.918744,0.949813,0.989657,1.002662,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
aig_resyn_resub_zero,aig_resyn_family,names_bin,names_medium,5,0,5,0,0,0.0,1,0.827776,0.864855,0.997412,1.113888,,False,not stable enough for selector rule
aig_resyn_resub_zero,aig_resyn_family,names_bin,names_small,13,1,12,0,-1,-0.077,1,0.817916,0.937556,1.002629,1.092539,aig_resyn_resub_zero,True,"coarse bucket, >=2 cases"
