case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_1\output.blif,results\identity\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,207,13,,,207,13,207,13,0,0,True,0.0,0.08275840000715107,0.17042049998417497,10.390625,results\identity\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_10\output.blif,results\identity\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,192,5,,,192,5,192,5,0,0,True,0.0,0.05934030003845692,0.12115900008939207,1.91015625,results\identity\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_11\output.blif,results\identity\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,,,1064,6,1064,6,0,0,True,0.0,0.08202090009581298,0.12570350000169128,9.87890625,results\identity\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_12\output.blif,results\identity\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1482,15,,,1482,15,1482,15,0,0,True,0.0,0.08265890006441623,0.14130859996657819,10.265625,results\identity\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_13\output.blif,results\identity\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1284,17,,,1284,17,1284,17,0,0,True,0.0,0.09834269993007183,0.17965079995337874,10.38671875,results\identity\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_14\output.blif,results\identity\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,6388,29,,,6388,29,6388,29,0,0,True,0.0,0.09844490000978112,0.1437826999463141,10.8828125,results\identity\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_15\output.blif,results\identity\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,931,12,,,931,12,931,12,0,0,True,0.0,0.08048520004376769,0.14243160013575107,9.89453125,results\identity\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_16\output.blif,results\identity\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,,,45,6,45,6,0,0,True,0.0,0.06042930006515235,0.12021699990145862,1.9140625,results\identity\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_17\output.blif,results\identity\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,,,93,6,93,6,0,0,True,0.0,0.0615618999581784,0.12182560004293919,1.91015625,results\identity\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,identity,identity,selected_candidate,,results\identity\tc_public_18\output.blif,results\identity\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,525,12,,,525,12,525,12,0,0,True,0.0,0.08537640003487468,0.1663335000630468,10.125,results\identity\tc_public_18\logs
