phase,usage_note,family,pipeline_id,pipeline_hash,selector_eligible,offline_only,normalized_steps,timeout_profile,timeout_profile_override,case,scale_grade,final_nodes,final_levels,final_total_time_sec,final_peak_rss_mb,raw_nodes,raw_levels,raw_cec_status,raw_status,selected_nodes,selected_levels,selected_status,fallback_used,fallback_reason,metric_regression,metric_regression_reasons,raw_node_delta_vs_final,raw_level_delta_vs_final,selected_node_delta_vs_final,selected_level_delta_vs_final,opt_time,cec_time,stats_time,total_time,peak_RSS,runtime_ratio_vs_final,rss_ratio_vs_final,opt_returncode,cec_returncode,output_path,candidate_path,log_dir,cache_key
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_1,tiny,103,10,0.299524,10.1328125,122,9,passed,ok,122,9,selected_raw,false,,false,,19,-1,19,-1,0.085121,0.082209,0.061955,0.229285,10.336,0.765498,1.020046,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_1\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_1\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_1\logs,c8ff6d8f5ca614756172754247752068cf6f61ecb2ef82107cfb1867d71923ea
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_10,small,161,4,0.257631,10.39453125,161,4,passed,ok,161,4,selected_raw,false,,false,,0,0,0,0,0.085113,0.062055,0.077605,0.224773,10.375,0.872462,0.998121,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_10\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_10\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_10\logs,467172b148d513167c183486ca149262e43f1074fdee2d842fc0d50ffe958d67
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_11,medium,328,7,0.286706,10.80859375,328,7,passed,ok,328,7,selected_raw,false,,false,,0,0,0,0,0.102699,0.082706,0.062554,0.247959,10.809,0.864855,1.000000,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_11\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_11\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_11\logs,ae7031b2620c2e0e5f84d94b22f1f06613f2d8a8c49da8fa5edfe02619289d2d
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_12,medium,1385,13,0.346738,13.5625,1385,14,passed,ok,1385,14,selected_raw,false,,false,,0,1,0,1,0.121399,0.107347,0.063401,0.292147,12.402,0.842560,0.914459,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_12\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_12\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_12\logs,ed92a894e92973d5282cbfb505a934e90e64247716597a1c437ab897b120e8a0
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_13,small,1058,13,0.421358,15.734375,1058,13,passed,ok,1058,13,selected_raw,false,,false,,0,0,0,0,0.120483,0.123039,0.062474,0.305996,15.836,0.726213,1.006455,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_13\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_13\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_13\logs,c037e0c038194e6b6afeba36d79cf198f51754d23098399430eea67d96b1b8a0
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_14,large,3703,25,0.586281,19.07421875,3661,25,passed,ok,3661,25,selected_raw,false,,false,,-42,0,-42,0,0.288593,0.158437,0.062642,0.509672,19.125,0.869330,1.002662,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_14\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_14\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_14\logs,fb75f8de50ba7d42a76a2c6b7e53935419c4cc43fa838cf0ed7a2906950f3f80
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_15,small,927,11,0.323562,10.890625,927,11,passed,ok,927,11,selected_raw,false,,false,,0,0,0,0,0.117293,0.098459,0.061712,0.277464,11.898,0.857529,1.092539,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_15\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_15\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_15\logs,aedab37c9f9b0dcc0f0950dcf621958f294723c296b9ae920bff03569b277076
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_16,tiny,45,6,0.251822,9.9296875,45,6,passed,ok,45,6,selected_raw,false,,false,,0,0,0,0,0.083369,0.060724,0.067872,0.211965,9.930,0.841727,1.000000,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_16\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_16\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_16\logs,4e744a9ad2f52d483fe886d1806abc8fb6ccad622460969fa259bc844f27a406
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_17,small,93,6,0.265710,9.96484375,93,6,passed,ok,93,6,selected_raw,false,,false,,0,0,0,0,0.086742,0.060125,0.045574,0.192441,9.934,0.724253,0.996864,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_17\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_17\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_17\logs,1ec7629c49c8902e4d9e33c165464d32991326f741ca2ae9c9c3aab2968b88d1
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_18,medium,498,12,0.469088,12.2578125,498,12,passed,ok,498,12,selected_raw,false,,false,,0,0,0,0,0.193819,0.138742,0.062147,0.394708,12.215,0.841438,0.996495,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_18\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_18\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_18\logs,2ae2231fe309e0c0dd4e41e93b07a2c4191083d74c8c04b733c59199bf06ee58
