case,candidate,raw_nodes_delta,selected_nodes_delta,level_delta,runtime_delta,RSS_delta,raw_status,selected_status,fallback_used,fallback_reason,feature_bucket,scale_grade,high_fanin_sop,near_two_input_aig,two_input_ratio_bin,names_bin,cubes_bin,outputs_bin,possible_filter_rule,coarse_rule_avoidable
tc_public_1,aig_resyn_resub_zero,19,19,-1,-0.070239,0.203188,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_11,aig_resyn_resub_zero,0,0,0,-0.038747,0.000406,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_12,aig_resyn_resub_zero,0,0,1,-0.054591,-1.1605,ok,selected_raw,false,,medium|not_sop|non_aig|two_ratio_mid,medium,false,false,two_ratio_mid,names_medium,cubes_medium,po_large,avoid medium + high_fanin_sop=false + near_two_input_aig=false + two_ratio_mid,False
tc_public_13,aig_resyn_resub_zero,0,0,0,-0.115362,0.101625,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_high,small,false,false,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_high,False
tc_public_14,aig_resyn_resub_zero,-42,-42,0,-0.076609,0.050781,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_very_high,large,false,true,two_ratio_very_high,names_large,cubes_medium,po_medium,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_15,aig_resyn_resub_zero,0,0,0,-0.046098,1.007375,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_small,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_16,aig_resyn_resub_zero,0,0,0,-0.039857,0.000312,ok,selected_raw,false,,tiny|not_sop|non_aig|two_ratio_low,tiny,false,false,two_ratio_low,names_tiny,cubes_tiny,po_tiny,avoid tiny + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_26,aig_resyn_resub_zero,0,0,0,-0.066034,1.246594,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_3,aig_resyn_resub_zero,28,0,1,-0.088353,0.011969,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:28,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_30,aig_resyn_resub_zero,-283,-283,0,-0.19369,0.050313,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_near_one,large,false,true,two_ratio_near_one,names_large,cubes_large,po_small,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_4,aig_resyn_resub_zero,36,0,2,-0.102949,-0.023469,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:36,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_6,aig_resyn_resub_zero,0,0,0,-0.059473,0.003813,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_low,small,true,false,two_ratio_low,names_small,cubes_small,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_8,aig_resyn_resub_zero,-1,-1,1,-0.040426,-0.519125,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_mid,small,true,false,two_ratio_mid,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_1,choice_fraig_clean,17,17,-2,-0.070692,0.207187,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_10,choice_fraig_clean,0,0,0,-0.052453,0.082469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
