selection_order,case,selection_reason,selector_bucket,scale_grade,pi_bin,po_bin,names_bin,cubes_bin,max_fanin,avg_fanin,two_input_ratio,high_fanin_sop,near_two_input_aig,final_pipeline,final_nodes,final_levels,baseline_nodes,node_gain_vs_baseline,opt_runtime_sec,cec_runtime_sec,peak_mem_mb,usage_note
1,tc_public_30,largest node gain vs baseline,large|near_aig|not_sop|po_small,large,pi_tiny,po_small,names_large,cubes_large,2,1.999,0.999,false,true,dc2_fast,6613,21,9418,2805,0.43915860005654395,1.5709108000155538,31.3046875,SMOKE_ONLY_NOT_FINAL_CONCLUSION
2,tc_public_14,max-level pressure case; large near-two-input AIG with medium output bin,large|near_aig|not_sop|po_medium,large,pi_large,po_medium,names_large,cubes_medium,2,1.973,0.973,false,true,dc2_fast,3703,25,4474,771,0.27643149998039007,0.16093880007974803,19.07421875,SMOKE_ONLY_NOT_FINAL_CONCLUSION
3,tc_public_22,large near-two-input AIG with small output bin,large|near_aig|not_sop|po_small,large,pi_large,po_small,names_large,cubes_large,2,2.000,1.000,false,true,dc2_fast,11067,20,11265,198,2.544330899952911,0.9300080999964848,30.44140625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
4,tc_public_12,medium non-AIG selector rewrite bucket,medium|non_aig|not_sop|po_large,medium,pi_large,po_large,names_medium,cubes_medium,2,1.810,0.810,false,false,rewrite2,1385,13,1407,22,0.11758640001062304,0.09258419997058809,13.5625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
5,tc_public_23,medium near-two-input AIG bucket,medium|near_aig|not_sop|po_tiny,medium,pi_large,po_tiny,names_medium,cubes_medium,2,1.995,0.995,false,true,dc2_fast,1530,16,1530,0,0.12194859993178397,0.06305410002823919,12.61328125,SMOKE_ONLY_NOT_FINAL_CONCLUSION
6,tc_public_9,tiny high-fanin SOP bucket,tiny|non_aig|high_sop|po_medium,tiny,pi_medium,po_medium,names_tiny,cubes_tiny,3,2.333,0.667,true,false,sop_fx,224,5,224,0,0.08582589996512979,0.08535670000128448,10.55859375,SMOKE_ONLY_NOT_FINAL_CONCLUSION
7,tc_public_7,small high-fanin SOP bucket,small|non_aig|high_sop|po_medium,small,pi_medium,po_medium,names_small,cubes_tiny,3,2.504,0.496,true,false,sop_fx,252,3,252,0,0.08084980002604425,0.08419780002441257,10.65234375,SMOKE_ONLY_NOT_FINAL_CONCLUSION
8,tc_public_15,small near-two-input AIG bucket,small|near_aig|not_sop|po_medium,small,pi_small,po_medium,names_small,cubes_small,2,1.995,0.995,false,true,dc2_fast,927,11,928,1,0.09932239993941039,0.09826759994029999,10.890625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
9,tc_public_28,zero-gain guard bucket,small|near_aig|not_sop|po_small,small,pi_small,po_small,names_small,cubes_small,2,1.965,0.965,false,true,dc2_fast,520,7,520,0,0.08639850001782179,0.06318319996353239,10.2890625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
10,tc_public_16,tiny non-SOP non-AIG guard bucket,tiny|non_aig|not_sop|po_tiny,tiny,pi_tiny,po_tiny,names_tiny,cubes_tiny,2,1.536,0.536,false,false,dc2_fast,45,6,45,0,0.08277059998363256,0.06079030002001673,9.9296875,SMOKE_ONLY_NOT_FINAL_CONCLUSION
