case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_1\output.blif,results\portfolio\baseline\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,142,8,142,8,142,8,207,13,0,0,True,0.08219159999862313,0.08320190000813454,0.12195240019354969,10.40625,results\portfolio\baseline\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_10\output.blif,results\portfolio\baseline\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.08226149994879961,0.061684400076046586,0.16043599997647107,10.44140625,results\portfolio\baseline\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_11\output.blif,results\portfolio\baseline\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,1064,6,1064,6,1064,6,0,0,True,0.10028140002395958,0.08135940006468445,0.14126019994728267,10.6640625,results\portfolio\baseline\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_12\output.blif,results\portfolio\baseline\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1407,13,1407,13,1407,13,1482,15,0,0,True,0.12473769998177886,0.08357110002543777,0.14094729989301413,13.91015625,results\portfolio\baseline\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_13\output.blif,results\portfolio\baseline\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1130,14,1130,14,1130,14,1284,17,0,0,True,0.09560799994505942,0.17217719997279346,0.1290890999371186,15.90625,results\portfolio\baseline\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_14\output.blif,results\portfolio\baseline\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,4474,26,4474,26,4474,26,6388,29,0,0,True,0.2196653001010418,0.14750299998559058,0.19532989989966154,19.26171875,results\portfolio\baseline\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_15\output.blif,results\portfolio\baseline\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,928,10,928,10,928,10,931,12,0,0,True,0.1081710000289604,0.08677270007319748,0.13756399997510016,10.7890625,results\portfolio\baseline\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_16\output.blif,results\portfolio\baseline\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.08925600000657141,0.06682059995364398,0.1567714000120759,10.00390625,results\portfolio\baseline\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_17\output.blif,results\portfolio\baseline\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.08491950004827231,0.06302889995276928,0.14857950003352016,10.01171875,results\portfolio\baseline\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_18\output.blif,results\portfolio\baseline\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,522,12,522,12,522,12,525,12,0,0,True,0.10564840002916753,0.12212359998375177,0.12893490004353225,12.3828125,results\portfolio\baseline\tc_public_18\logs
tc_public_19,data\tc_public\tc_public_19\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_19\output.blif,results\portfolio\baseline\tc_public_19\output.candidate.blif,results\baseline\tc_public_19\output.blif,5403,18,5403,18,5403,18,5478,18,0,0,True,0.29244190000463277,0.3895057999761775,0.16515529993921518,22.76171875,results\portfolio\baseline\tc_public_19\logs
tc_public_2,data\tc_public\tc_public_2\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_2\output.blif,results\portfolio\baseline\tc_public_2\output.candidate.blif,results\baseline\tc_public_2\output.blif,19,4,19,4,19,4,34,6,0,0,True,0.08846799994353205,0.08445229998324066,0.13049809995573014,10.31640625,results\portfolio\baseline\tc_public_2\logs
tc_public_20,data\tc_public\tc_public_20\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_20\output.blif,results\portfolio\baseline\tc_public_20\output.candidate.blif,results\baseline\tc_public_20\output.blif,5664,20,5664,20,5664,20,5742,20,0,0,True,0.31666050001513213,0.40521360002458096,0.16518409992568195,23.4140625,results\portfolio\baseline\tc_public_20\logs
tc_public_21,data\tc_public\tc_public_21\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_21\output.blif,results\portfolio\baseline\tc_public_21\output.candidate.blif,results\baseline\tc_public_21\output.blif,5685,20,5685,20,5685,20,5763,20,0,0,True,0.3091218000045046,0.4055915001081303,0.14748709998093545,23.18359375,results\portfolio\baseline\tc_public_21\logs
tc_public_22,data\tc_public\tc_public_22\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_22\output.blif,results\portfolio\baseline\tc_public_22\output.candidate.blif,results\baseline\tc_public_22\output.blif,11265,20,11265,20,11265,20,11367,20,0,0,True,0.5257059000432491,0.7372423000633717,0.17005219997372478,29.9375,results\portfolio\baseline\tc_public_22\logs
tc_public_23,data\tc_public\tc_public_23\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_23\output.blif,results\portfolio\baseline\tc_public_23\output.candidate.blif,results\baseline\tc_public_23\output.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,0.1036359000718221,0.086123300017789,0.13201149995438755,10.8671875,results\portfolio\baseline\tc_public_23\logs
tc_public_24,data\tc_public\tc_public_24\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_24\output.blif,results\portfolio\baseline\tc_public_24\output.candidate.blif,results\baseline\tc_public_24\output.blif,215,8,215,8,215,8,223,15,0,0,True,0.14347440004348755,0.06966319994535297,0.12778330000583082,8.7578125,results\portfolio\baseline\tc_public_24\logs
tc_public_25,data\tc_public\tc_public_25\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_25\output.blif,results\portfolio\baseline\tc_public_25\output.candidate.blif,results\baseline\tc_public_25\output.blif,26,4,26,4,26,4,101,14,0,0,True,0.09538329998031259,0.06515270005911589,0.1107072999002412,10.1953125,results\portfolio\baseline\tc_public_25\logs
