case,base_pipeline,cand_pipeline,base_nodes,cand_nodes,node_delta_cand_minus_base,node_gain,base_levels,cand_levels,level_delta_cand_minus_base,base_opt_runtime_sec,cand_opt_runtime_sec,opt_runtime_delta,cand_cec_pass,cand_status,cand_variant,selector_reason
tc_public_1,sop_fx@clean,r11_gia_deepsyn_tiny@both,103,85,-18,18,10,8,-2,2.168319,13.994673,11.826354,True,selected_candidate,both,r11_deepsyn_tiny_high_sop_small_po
tc_public_10,dc2_fast@clean,r11_gia_deepsyn_tiny@clean,161,101,-60,60,4,4,0,2.227475,4.954378,2.726903,True,selected_candidate,clean,r11_deepsyn_small_small_pi_medium_po
tc_public_11,dc2_fast@clean,r10_medium_fraig_cleanup@clean,328,328,0,0,7,7,0,1.789458,0.998143,-0.791315,True,selected_candidate,clean,medium_runtime_fraig_cleanup
tc_public_12,rewrite2@clean,r10_medium_fraig_cleanup@clean,1385,1370,-15,15,13,14,1,2.140945,1.200752,-0.9401929999999998,True,selected_candidate,clean,medium_runtime_fraig_cleanup
tc_public_13,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,1043,1043,0,0,13,13,0,2.96033,1.345674,-1.6146559999999999,True,selected_candidate,clean,r7b_high_overlap_guarded_fraig
tc_public_14,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,2156,2156,0,0,16,16,0,6.703445,3.789656,-2.9137890000000004,True,selected_candidate,outputs,r7b_high_overlap_guarded_fraig
tc_public_15,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,922,922,0,0,11,11,0,2.492409,1.464826,-1.027583,True,selected_candidate,clean,r7b_high_overlap_guarded_fraig
tc_public_16,dc2_fast@clean,dc2_fast@clean,45,45,0,0,6,6,0,1.57633,0.832388,-0.743942,True,selected_candidate,clean,default
tc_public_17,dc2_fast@clean,dc2_fast@clean,93,93,0,0,6,6,0,1.422434,0.937007,-0.48542699999999994,True,selected_candidate,clean,default
tc_public_18,dc2_fast@inputs,r10_medium_fraig_cleanup@both,495,486,-9,9,12,12,0,7.87027,3.650201,-4.220069,True,selected_candidate,both,medium_runtime_fraig_cleanup
tc_public_19,high_aig_three_round@both,r9_dc2_fraig_cleanup@inputs,5268,5184,-84,84,18,18,0,91.969735,45.425358,-46.544377,True,selected_candidate,inputs,large_smallpo_fraig_cleanup
tc_public_2,sop_fx@clean,sop_fx@clean,19,19,0,0,4,4,0,0.965324,0.690453,-0.274871,True,selected_candidate,clean,tiny_high_fanin_sop
tc_public_20,high_aig_three_round@inputs,r9_dc2_fraig_cleanup@inputs,5523,5445,-78,78,20,20,0,75.775087,49.721304,-26.053782999999996,True,selected_candidate,inputs,large_smallpo_fraig_cleanup
tc_public_21,high_aig_three_round@both,r9_dc2_fraig_cleanup@inputs,5532,5448,-84,84,20,20,0,71.122247,51.164512,-19.957735,True,selected_candidate,inputs,large_smallpo_fraig_cleanup
tc_public_22,high_aig_three_round@both,r9_dc2_fraig_cleanup@both,11001,10740,-261,261,20,20,0,135.464409,83.377583,-52.08682599999999,True,selected_candidate,both,large_smallpo_fraig_cleanup
tc_public_23,dc2_fast@clean,r11_gia_deepsyn_tiny@clean,1530,1458,-72,72,16,14,-2,1.491717,27.171724,25.680007,True,selected_candidate,clean,r11_deepsyn_medium_tiny_po
tc_public_24,dc2_fast@clean,dc2_fast@clean,215,215,0,0,8,8,0,1.041173,0.856433,-0.1847399999999999,True,selected_candidate,clean,default
tc_public_25,dc2_fast@clean,dc2_fast@clean,26,26,0,0,4,4,0,0.951112,0.795923,-0.1551889999999999,True,selected_candidate,clean,default
tc_public_26,dc2_fast@outputs,r11_gia_deepsyn_tiny@outputs,1046,1034,-12,12,10,10,0,1.28539,23.140763,21.855373,True,selected_candidate,outputs,r11_deepsyn_medium_small_pi_medium_po
