case,input_count,output_count,renamed_port_count,original_input_sample,renamed_input_sample,original_output_sample,renamed_output_sample,output_blif
tc_public_1,10,8,18,I0 I1 I2 I3 I4,r7pi_01_0000_sbzayd5i7s r7pi_01_0001_prn3pblzow r7pi_01_0002_phlcdn6tuf r7pi_01_0003_6495n82m49 r7pi_01_0004_bfeavd50d1,O0 O1 O2 O3 O4,r7po_01_0000_p36lhxtfge r7po_01_0001_v3vmpcf9wn r7po_01_0002_nvpxe0va8l r7po_01_0003_l4pil8hmdz r7po_01_0004_ljiepmx7sk,stress_data\r11s_port_name_stress\cases\tc_public_1\input.blif
tc_public_10,36,32,68,n1 n4 n5 n6 n7,r7pi_02_0000_iqa5ugok73 r7pi_02_0001_fgt2466l38 r7pi_02_0002_r0q38oa8dd r7pi_02_0003_bn6oeuo0u4 r7pi_02_0004_yhi1i3f4ep,n8 n10 n12 n14 n16,r7po_02_0000_3x94j9nw1m r7po_02_0001_6jfdxmynn9 r7po_02_0002_hui71uzw1e r7po_02_0003_1l3f3m657r r7po_02_0004_goa6mciwqn,stress_data\r11s_port_name_stress\cases\tc_public_10\input.blif
tc_public_11,134,96,230,n0 n1 n3 n5 n7,r7pi_03_0000_ejzdic2s6u r7pi_03_0001_rhu76gtv2s r7pi_03_0002_zygzakbml0 r7pi_03_0003_fxg04z2hug r7pi_03_0004_kcyslos601,n41 n52 n63 n74 n85,r7po_03_0000_y4o3a54y4g r7po_03_0001_g3km40vbht r7po_03_0002_4fi4pdz37c r7po_03_0003_jwsdi04a43 r7po_03_0004_6830n9dapx,stress_data\r11s_port_name_stress\cases\tc_public_11\input.blif
tc_public_12,406,532,938,n1 n6 n9 n18 n23,r7pi_04_0000_pmpe9ekkf3 r7pi_04_0001_1v7csakod0 r7pi_04_0002_k8f721hvn0 r7pi_04_0003_7s1z98xifk r7pi_04_0004_crsgbj05jw,n3 n7 n8 n14 n21,r7po_04_0000_vel9y1xd0n r7po_04_0001_dobj1e37gm r7po_04_0002_28n84rmd2t r7po_04_0003_uhk4jzc4sw r7po_04_0004_c6ci8jpacm,stress_data\r11s_port_name_stress\cases\tc_public_12\input.blif
tc_public_13,335,20,355,n6 n11 n15 n47 n48,r7pi_05_0000_ajpa7kk8fj r7pi_05_0001_6twkbym1sj r7pi_05_0002_9pev1byxz8 r7pi_05_0003_z39g2gfw7d r7pi_05_0004_nppebvte18,n5 n18 n20 n22 n24,r7po_05_0000_u492p8aaup r7po_05_0001_y3nk7mml64 r7po_05_0002_bqigey0s48 r7po_05_0003_l7d3g3hofj r7po_05_0004_9pnjzqrrrq,stress_data\r11s_port_name_stress\cases\tc_public_13\input.blif
tc_public_14,928,77,1005,n0 n1 n4 n20 n25,r7pi_06_0000_zkkywiuapu r7pi_06_0001_oabymxpweh r7pi_06_0002_bh3icmm9yp r7pi_06_0003_rw9o2p6e9x r7pi_06_0004_9kn6miyyjr,n5 n7 n9 n93 n100,r7po_06_0000_gkooul276s r7po_06_0001_jha60xg0rs r7po_06_0002_vu0xp15cu4 r7po_06_0003_bz9ur9234z r7po_06_0004_pnr2xk32jg,stress_data\r11s_port_name_stress\cases\tc_public_14\input.blif
tc_public_15,31,32,63,n13 n16 n17 n21 n25,r7pi_07_0000_ns281w20os r7pi_07_0001_sh2fxd9v3o r7pi_07_0002_6z7h22rufi r7pi_07_0003_bxl8i4jhzu r7pi_07_0004_f7lq6wooc6,n39 n63 n78 n112 n124,r7po_07_0000_jmb6ldo2xz r7po_07_0001_9twcm4mt24 r7po_07_0002_0q7cm46bu9 r7po_07_0003_8f40xwh2gk r7po_07_0004_yxedlwfl11,stress_data\r11s_port_name_stress\cases\tc_public_15\input.blif
tc_public_16,8,5,13,n0 n1 n3 n17 n18,r7pi_08_0000_ua2bspmjor r7pi_08_0001_medzd52fua r7pi_08_0002_45ufuurk3t r7pi_08_0003_h8cpqkcdvl r7pi_08_0004_bnlsk6bihg,n14 n37 n41 n73 n91,r7po_08_0000_m7g2t6ztov r7po_08_0001_w9k0boxs1x r7po_08_0002_6wgajbml38 r7po_08_0003_l1f8kl9apl r7po_08_0004_ye81u7z0no,stress_data\r11s_port_name_stress\cases\tc_public_16\input.blif
tc_public_17,16,6,22,n3 n4 n6 n7 n12,r7pi_09_0000_ov8vyv5jf1 r7pi_09_0001_6o1d76fjhl r7pi_09_0002_4w23anl5p2 r7pi_09_0003_3wbny8ggqm r7pi_09_0004_wet60fnxs9,n40 n75 n95 n138 n163,r7po_09_0000_axs5b53eoz r7po_09_0001_khfcnqe15h r7po_09_0002_igbwak6h04 r7po_09_0003_f1gzrdxyzk r7po_09_0004_jl0ab0yzmn,stress_data\r11s_port_name_stress\cases\tc_public_17\input.blif
tc_public_18,64,8,72,n3 n27 n28 n30 n32,r7pi_10_0000_daqiurzic4 r7pi_10_0001_9nr5tu93mm r7pi_10_0002_a1rgoznamr r7pi_10_0003_ree6pk4r5l r7pi_10_0004_k0lfc3zacr,n275 n399 n523 n647 n771,r7po_10_0000_tfiyw8x7t7 r7po_10_0001_tpvie1r9om r7po_10_0002_jcrug8shja r7po_10_0003_vf5yd3u1j9 r7po_10_0004_y1uhth8tkr,stress_data\r11s_port_name_stress\cases\tc_public_18\input.blif
