case,clean_pipeline,stress_pipeline,pipeline_match,clean_nodes,stress_nodes,node_delta,clean_levels,stress_levels,level_delta,clean_cec_pass,stress_cec_pass,clean_status,stress_status,clean_fallback,stress_fallback
tc_public_1,r11_gia_deepsyn_tiny@both,r11_gia_deepsyn_tiny@both,True,85,85,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_10,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,101,101,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_11,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,True,328,328,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_12,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,True,1370,1370,0,14,14,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_13,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,1043,1043,0,13,13,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_14,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,True,2156,2156,0,16,16,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_15,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,922,922,0,11,11,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_16,dc2_fast@clean,dc2_fast@clean,True,45,45,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_17,dc2_fast@clean,dc2_fast@clean,True,93,93,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_18,r10_medium_fraig_cleanup@both,r10_medium_fraig_cleanup@both,True,486,486,0,12,12,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_19,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,5184,5184,0,18,18,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_2,sop_fx@clean,sop_fx@clean,True,19,19,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_20,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,5445,5445,0,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_21,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,5448,5448,0,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_22,r9_dc2_fraig_cleanup@both,r9_dc2_fraig_cleanup@both,True,10740,10740,0,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_23,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,1458,1458,0,14,14,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_24,dc2_fast@clean,dc2_fast@clean,True,215,215,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_25,dc2_fast@clean,dc2_fast@clean,True,26,26,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_26,r11_gia_deepsyn_tiny@outputs,r11_gia_deepsyn_tiny@outputs,True,1034,1034,0,10,10,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_27,dc2_fast@clean,dc2_fast@clean,True,376,376,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_28,dc2_fast@clean,dc2_fast@clean,True,520,520,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_29,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@inputs,True,97,97,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_3,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,94,94,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_30,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,2853,2853,0,18,18,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_4,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@inputs,True,61,61,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_5,dc2_fast@clean,dc2_fast@clean,True,65,65,0,2,2,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_6,sop_fx@clean,sop_fx@clean,True,162,162,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_7,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,191,191,0,3,3,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_8,sop_fx@clean,sop_fx@clean,True,193,193,0,3,3,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_9,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,194,194,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
