original_case,stress_case,input_path
tc_public_1,hidden_01_sbzayd5i7s,stress_data\r11s_random_case_names\cases\hidden_01_sbzayd5i7s\input.blif
tc_public_10,hidden_02_prn3pblzow,stress_data\r11s_random_case_names\cases\hidden_02_prn3pblzow\input.blif
tc_public_11,hidden_03_phlcdn6tuf,stress_data\r11s_random_case_names\cases\hidden_03_phlcdn6tuf\input.blif
tc_public_12,hidden_04_6495n82m49,stress_data\r11s_random_case_names\cases\hidden_04_6495n82m49\input.blif
tc_public_13,hidden_05_bfeavd50d1,stress_data\r11s_random_case_names\cases\hidden_05_bfeavd50d1\input.blif
tc_public_14,hidden_06_e33n0zc85x,stress_data\r11s_random_case_names\cases\hidden_06_e33n0zc85x\input.blif
tc_public_15,hidden_07_zkdc1y90zq,stress_data\r11s_random_case_names\cases\hidden_07_zkdc1y90zq\input.blif
tc_public_16,hidden_08_uhmzj5gjyb,stress_data\r11s_random_case_names\cases\hidden_08_uhmzj5gjyb\input.blif
tc_public_17,hidden_09_iud9brkx72,stress_data\r11s_random_case_names\cases\hidden_09_iud9brkx72\input.blif
tc_public_18,hidden_10_qfa5eu47dg,stress_data\r11s_random_case_names\cases\hidden_10_qfa5eu47dg\input.blif
tc_public_19,hidden_11_p36lhxtfge,stress_data\r11s_random_case_names\cases\hidden_11_p36lhxtfge\input.blif
tc_public_2,hidden_12_v3vmpcf9wn,stress_data\r11s_random_case_names\cases\hidden_12_v3vmpcf9wn\input.blif
tc_public_20,hidden_13_nvpxe0va8l,stress_data\r11s_random_case_names\cases\hidden_13_nvpxe0va8l\input.blif
tc_public_21,hidden_14_l4pil8hmdz,stress_data\r11s_random_case_names\cases\hidden_14_l4pil8hmdz\input.blif
tc_public_22,hidden_15_ljiepmx7sk,stress_data\r11s_random_case_names\cases\hidden_15_ljiepmx7sk\input.blif
tc_public_23,hidden_16_jqmo6e00do,stress_data\r11s_random_case_names\cases\hidden_16_jqmo6e00do\input.blif
tc_public_24,hidden_17_2vze6wn7sr,stress_data\r11s_random_case_names\cases\hidden_17_2vze6wn7sr\input.blif
tc_public_25,hidden_18_gnzqzd1g52,stress_data\r11s_random_case_names\cases\hidden_18_gnzqzd1g52\input.blif
tc_public_26,hidden_19_iqa5ugok73,stress_data\r11s_random_case_names\cases\hidden_19_iqa5ugok73\input.blif
tc_public_27,hidden_20_fgt2466l38,stress_data\r11s_random_case_names\cases\hidden_20_fgt2466l38\input.blif
tc_public_28,hidden_21_r0q38oa8dd,stress_data\r11s_random_case_names\cases\hidden_21_r0q38oa8dd\input.blif
tc_public_29,hidden_22_bn6oeuo0u4,stress_data\r11s_random_case_names\cases\hidden_22_bn6oeuo0u4\input.blif
tc_public_3,hidden_23_yhi1i3f4ep,stress_data\r11s_random_case_names\cases\hidden_23_yhi1i3f4ep\input.blif
tc_public_30,hidden_24_vp31nyzbqp,stress_data\r11s_random_case_names\cases\hidden_24_vp31nyzbqp\input.blif
tc_public_4,hidden_25_mfebbk67ux,stress_data\r11s_random_case_names\cases\hidden_25_mfebbk67ux\input.blif
tc_public_5,hidden_26_1s7fh51q22,stress_data\r11s_random_case_names\cases\hidden_26_1s7fh51q22\input.blif
tc_public_6,hidden_27_3itd49rpqp,stress_data\r11s_random_case_names\cases\hidden_27_3itd49rpqp\input.blif
tc_public_7,hidden_28_qx5ci9xzzc,stress_data\r11s_random_case_names\cases\hidden_28_qx5ci9xzzc\input.blif
tc_public_8,hidden_29_kw7f7yt4jr,stress_data\r11s_random_case_names\cases\hidden_29_kw7f7yt4jr\input.blif
tc_public_9,hidden_30_da0bsj1gh4,stress_data\r11s_random_case_names\cases\hidden_30_da0bsj1gh4\input.blif
