original_case,stress_case,clean_pipeline,stress_pipeline,pipeline_match,clean_variant,stress_variant,variant_match,clean_nodes,stress_nodes,node_delta,clean_levels,stress_levels,level_delta,stress_cec_pass,stress_status,stress_fallback_reason,stress_entry_returncode
tc_public_1,hidden_01_sbzayd5i7s,r11_gia_deepsyn_tiny@both,r11_gia_deepsyn_tiny@both,True,both,both,True,85,85,0,8,8,0,True,selected_candidate,,0
tc_public_10,hidden_02_prn3pblzow,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,101,101,0,4,4,0,True,selected_candidate,,0
tc_public_11,hidden_03_phlcdn6tuf,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,True,clean,clean,True,328,328,0,7,7,0,True,selected_candidate,,0
tc_public_12,hidden_04_6495n82m49,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,True,clean,clean,True,1370,1370,0,14,14,0,True,selected_candidate,,0
tc_public_13,hidden_05_bfeavd50d1,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,clean,clean,True,1043,1043,0,13,13,0,True,selected_candidate,,0
tc_public_14,hidden_06_e33n0zc85x,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,True,outputs,outputs,True,2156,2156,0,16,16,0,True,selected_candidate,,0
tc_public_15,hidden_07_zkdc1y90zq,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,clean,clean,True,922,922,0,11,11,0,True,selected_candidate,,0
tc_public_16,hidden_08_uhmzj5gjyb,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,45,45,0,6,6,0,True,selected_candidate,,0
tc_public_17,hidden_09_iud9brkx72,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,93,93,0,6,6,0,True,selected_candidate,,0
tc_public_18,hidden_10_qfa5eu47dg,r10_medium_fraig_cleanup@both,r10_medium_fraig_cleanup@both,True,both,both,True,486,486,0,12,12,0,True,selected_candidate,,0
tc_public_19,hidden_11_p36lhxtfge,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,inputs,inputs,True,5184,5184,0,18,18,0,True,selected_candidate,,0
tc_public_2,hidden_12_v3vmpcf9wn,sop_fx@clean,sop_fx@clean,True,clean,clean,True,19,19,0,4,4,0,True,selected_candidate,,0
tc_public_20,hidden_13_nvpxe0va8l,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,inputs,inputs,True,5445,5445,0,20,20,0,True,selected_candidate,,0
tc_public_21,hidden_14_l4pil8hmdz,r9_dc2_fraig_cleanup@inputs,r9_dc2_fraig_cleanup@inputs,True,inputs,inputs,True,5448,5448,0,20,20,0,True,selected_candidate,,0
tc_public_22,hidden_15_ljiepmx7sk,r9_dc2_fraig_cleanup@both,r9_dc2_fraig_cleanup@both,True,both,both,True,10740,10740,0,20,20,0,True,selected_candidate,,0
tc_public_23,hidden_16_jqmo6e00do,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,1458,1458,0,14,14,0,True,selected_candidate,,0
tc_public_24,hidden_17_2vze6wn7sr,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,215,215,0,8,8,0,True,selected_candidate,,0
tc_public_25,hidden_18_gnzqzd1g52,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,26,26,0,4,4,0,True,selected_candidate,,0
tc_public_26,hidden_19_iqa5ugok73,r11_gia_deepsyn_tiny@outputs,r11_gia_deepsyn_tiny@outputs,True,outputs,outputs,True,1034,1034,0,10,10,0,True,selected_candidate,,0
tc_public_27,hidden_20_fgt2466l38,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,376,376,0,7,7,0,True,selected_candidate,,0
tc_public_28,hidden_21_r0q38oa8dd,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,520,520,0,7,7,0,True,selected_candidate,,0
tc_public_29,hidden_22_bn6oeuo0u4,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@inputs,True,inputs,inputs,True,97,97,0,6,6,0,True,selected_candidate,,0
tc_public_3,hidden_23_yhi1i3f4ep,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,94,94,0,8,8,0,True,selected_candidate,,0
tc_public_30,hidden_24_vp31nyzbqp,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,2853,2853,0,18,18,0,True,selected_candidate,,0
tc_public_4,hidden_25_mfebbk67ux,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@inputs,True,inputs,inputs,True,61,61,0,8,8,0,True,selected_candidate,,0
tc_public_5,hidden_26_1s7fh51q22,dc2_fast@clean,dc2_fast@clean,True,clean,clean,True,65,65,0,2,2,0,True,selected_candidate,,0
tc_public_6,hidden_27_3itd49rpqp,sop_fx@clean,sop_fx@clean,True,clean,clean,True,162,162,0,4,4,0,True,selected_candidate,,0
tc_public_7,hidden_28_qx5ci9xzzc,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,191,191,0,3,3,0,True,selected_candidate,,0
tc_public_8,hidden_29_kw7f7yt4jr,sop_fx@clean,sop_fx@clean,True,clean,clean,True,193,193,0,3,3,0,True,selected_candidate,,0
tc_public_9,hidden_30_da0bsj1gh4,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,clean,clean,True,194,194,0,4,4,0,True,selected_candidate,,0
