case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
hidden_01_sbzayd5i7s,stress_data\r11s_random_case_names\cases\hidden_01_sbzayd5i7s\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_01_sbzayd5i7s\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_01_sbzayd5i7s\work\variants\both\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_01_sbzayd5i7s\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,11.834947,1.510076,0.962094,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_01_sbzayd5i7s\work\logs,both,"clean,inputs,outputs,both",0,0,0
hidden_02_prn3pblzow,stress_data\r11s_random_case_names\cases\hidden_02_prn3pblzow\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_02_prn3pblzow\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_02_prn3pblzow\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_02_prn3pblzow\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,4.852268,0.899616,0.941829,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_02_prn3pblzow\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_03_phlcdn6tuf,stress_data\r11s_random_case_names\cases\hidden_03_phlcdn6tuf\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_03_phlcdn6tuf\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_03_phlcdn6tuf\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_03_phlcdn6tuf\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.934262,1.201798,0.961972,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_03_phlcdn6tuf\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_04_6495n82m49,stress_data\r11s_random_case_names\cases\hidden_04_6495n82m49\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_04_6495n82m49\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_04_6495n82m49\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_04_6495n82m49\work\variants\clean\baseline.blif,1370,14,1407,13,1370,14,1482,15,0,0,True,1.165245,1.426281,1.023015,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_04_6495n82m49\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_05_bfeavd50d1,stress_data\r11s_random_case_names\cases\hidden_05_bfeavd50d1\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_05_bfeavd50d1\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_05_bfeavd50d1\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_05_bfeavd50d1\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.36524,3.673264,0.963547,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_05_bfeavd50d1\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_06_e33n0zc85x,stress_data\r11s_random_case_names\cases\hidden_06_e33n0zc85x\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_06_e33n0zc85x\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_06_e33n0zc85x\work\variants\outputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_06_e33n0zc85x\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.728031,2.317322,1.020876,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_06_e33n0zc85x\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
hidden_07_zkdc1y90zq,stress_data\r11s_random_case_names\cases\hidden_07_zkdc1y90zq\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_07_zkdc1y90zq\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_07_zkdc1y90zq\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_07_zkdc1y90zq\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.325336,1.493321,0.978682,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_07_zkdc1y90zq\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_08_uhmzj5gjyb,stress_data\r11s_random_case_names\cases\hidden_08_uhmzj5gjyb\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_08_uhmzj5gjyb\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_08_uhmzj5gjyb\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_08_uhmzj5gjyb\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.836475,0.89606,0.962464,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_08_uhmzj5gjyb\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_09_iud9brkx72,stress_data\r11s_random_case_names\cases\hidden_09_iud9brkx72\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_09_iud9brkx72\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_09_iud9brkx72\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_09_iud9brkx72\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.833024,0.897151,0.920526,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_09_iud9brkx72\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_10_qfa5eu47dg,stress_data\r11s_random_case_names\cases\hidden_10_qfa5eu47dg\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@both,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_10_qfa5eu47dg\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_10_qfa5eu47dg\work\variants\both\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_10_qfa5eu47dg\work\variants\both\baseline.blif,486,12,522,12,486,12,525,12,0,0,True,3.431351,2.405464,0.94653,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_10_qfa5eu47dg\work\logs,both,"clean,inputs,outputs,both",0,0,0
