"scenario","conflict_kind","category","path","raw"
"master_to_v3","content","protected_root_release","configs/final_selector.yaml","CONFLICT (content): Merge conflict in configs/final_selector.yaml"
"master_to_v3","content","protected_root_release","configs/pipelines.yaml","CONFLICT (content): Merge conflict in configs/pipelines.yaml"
"master_to_v3","content","protected_root_release","current_final_manifest.json","CONFLICT (content): Merge conflict in current_final_manifest.json"
"master_to_v3","content","protected_root_release","logs/final_cec.log","CONFLICT (content): Merge conflict in logs/final_cec.log"
"master_to_v3","content","protected_root_release","reports/failure_cases.md","CONFLICT (content): Merge conflict in reports/failure_cases.md"
"master_to_v3","content","protected_root_release","reports/final_metrics.csv","CONFLICT (content): Merge conflict in reports/final_metrics.csv"
"master_to_v3","content","protected_root_release","reports/final_scoreboard.xlsx","CONFLICT (content): Merge conflict in reports/final_scoreboard.xlsx"
"master_to_v3","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_1/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_1/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_22/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_22/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_30/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_30/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_10/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_10/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_11/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_11/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_12/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_12/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_16/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_16/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_17/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_17/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_18/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_18/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_19/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_19/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_2/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_2/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_20/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_20/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_21/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_21/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_23/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_23/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_24/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_24/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_25/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_25/work/variants/clean/output.candidate.blif"
"master_to_v3","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_26/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_26/work/variants/clean/output.candidate.blif"
