case,formal_v4_pipeline,r25d_pipeline,formal_v4_reason,r25d_reason,formal_v4_nodes,r25d_nodes,node_gain_vs_v4,formal_v4_levels,r25d_levels,level_delta_vs_v4,cec_pass,status,fallback_reason,inner_fallback_count,original_cec_fail_count,entry_returncode,chosen_variant,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb
tc_public_1,r11_gia_deepsyn_tiny@both,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,r11_deepsyn_tiny_high_sop_small_po,85,85,0,8,8,0,True,selected_candidate,,0,0,0,both,13.911043,1.833072,1.023102,25.188
tc_public_10,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,r11_deepsyn_small_small_pi_medium_po,101,101,0,4,4,0,True,selected_candidate,,0,0,0,clean,5.727995,1.098702,1.000277,20.43
tc_public_11,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,medium_runtime_fraig_cleanup,328,328,0,7,7,0,True,selected_candidate,,0,0,0,clean,1.077072,1.390934,1.029893,17.926
tc_public_12,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,medium_runtime_fraig_cleanup,1370,1370,0,14,14,0,True,selected_candidate,,0,0,0,clean,1.370066,1.624671,1.189444,18.613
tc_public_13,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,r7b_high_overlap_guarded_fraig,1043,1043,0,13,13,0,True,selected_candidate,,0,0,0,clean,1.530447,4.457347,1.049703,21.066
tc_public_14,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,r7b_high_overlap_guarded_fraig,2156,2156,0,16,16,0,True,selected_candidate,,0,0,0,outputs,4.246683,2.653434,1.168074,52.211
tc_public_15,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,r7b_high_overlap_guarded_fraig,922,922,0,11,11,0,True,selected_candidate,,0,0,0,clean,1.579615,1.876147,1.128292,17.906
tc_public_16,dc2_fast@clean,dc2_fast@clean,default,default,45,45,0,6,6,0,True,selected_candidate,,0,0,0,clean,0.914699,1.11382,1.016376,10.465
tc_public_17,dc2_fast@clean,dc2_fast@clean,default,default,93,93,0,6,6,0,True,selected_candidate,,0,0,0,clean,0.861017,1.139881,1.074361,10.469
tc_public_18,r10_medium_fraig_cleanup@both,r10_medium_fraig_cleanup@both,medium_runtime_fraig_cleanup,medium_runtime_fraig_cleanup,486,486,0,12,12,0,True,selected_candidate,,0,0,0,both,3.931262,2.981472,1.176194,19.66
