case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_1,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_1\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_1\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_1\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,11.283926,1.494528,0.907956,21.582,results_candidate\r28_gated_r27_full_public\tc_public_1\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_10,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_10\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_10\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_10\work\v5\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,5.127009,0.984445,0.979306,20.473,results_candidate\r28_gated_r27_full_public\tc_public_10\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_11,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_11\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_11\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_11\work\v5\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.887471,1.188155,0.957381,14.238,results_candidate\r28_gated_r27_full_public\tc_public_11\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_12,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_12\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_12\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_12\work\v5\work\variants\clean\baseline.blif,1370,14,1407,13,1370,14,1482,15,0,0,True,1.130206,1.379913,0.937599,18.598,results_candidate\r28_gated_r27_full_public\tc_public_12\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_13,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_13\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_13\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_13\work\v5\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,2.928615,4.593527,1.148461,19.422,results_candidate\r28_gated_r27_full_public\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0
tc_public_14,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_14\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_14\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_14\work\v5\work\variants\outputs\baseline.blif,2156,16,4478,26,2073,15,6388,29,0,0,True,10.428419,2.838213,1.177165,52.035,results_candidate\r28_gated_r27_full_public\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-83,-1
tc_public_15,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_15\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_15\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_15\work\v5\work\variants\clean\baseline.blif,922,11,928,10,913,11,931,12,0,0,True,3.214951,1.87798,1.134626,17.922,results_candidate\r28_gated_r27_full_public\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-9,0
tc_public_16,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_16\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_16\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_16\work\v5\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.721442,0.875082,0.884616,9.016,results_candidate\r28_gated_r27_full_public\tc_public_16\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_17,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_17\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_17\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_17\work\v5\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.785444,0.891431,0.926209,9.023,results_candidate\r28_gated_r27_full_public\tc_public_17\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_18,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@both,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_18\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_18\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_18\work\v5\work\variants\both\baseline.blif,486,12,522,12,486,12,525,12,0,0,True,3.500301,2.486009,0.949411,19.629,results_candidate\r28_gated_r27_full_public\tc_public_18\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_19,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_19\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_19\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_19\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_19\work\v5\work\variants\inputs\baseline.blif,5184,18,5403,18,5184,18,5478,18,0,0,True,44.958066,10.932748,1.03491,26.023,results_candidate\r28_gated_r27_full_public\tc_public_19\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_2,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_2\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_2\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_2\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_2\work\v5\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.728977,1.428242,0.885851,11.047,results_candidate\r28_gated_r27_full_public\tc_public_2\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
