"case","gate","gate_status","v5_tag_nodes","v5_remeasure_nodes","r28_nodes","node_delta_vs_v5","v5_tag_level","r28_level","level_delta_vs_v5","v5_tag_runtime_sec","v5_remeasure_runtime_sec","r28_runtime_sec","runtime_delta_vs_v5_tag_sec","runtime_delta_vs_v5_remeasure_sec","v5_tag_peak_mem_mb","r28_peak_mem_mb","peak_mem_delta_vs_v5_tag_mb","v5_pipeline","r28_pipeline","r28_postpass_accepted","r28_reject_reason","cec_pass","fallback"
"tc_public_1","gate_not_matched","skipped","85","85","85","0","8","8","0","13.911043","15.500431","11.283926","-2.627117","-4.216505","25.188","21.582","-3.606","r11_gia_deepsyn_tiny@both","r11_gia_deepsyn_tiny@both","","gate_not_matched","True","0"
"tc_public_10","gate_not_matched","skipped","101","101","101","0","4","4","0","5.727995","5.846362","5.127009","-0.600986","-0.719353","20.43","20.473","0.043","r11_gia_deepsyn_tiny@clean","r11_gia_deepsyn_tiny@clean","","gate_not_matched","True","0"
"tc_public_11","gate_not_matched","skipped","328","328","328","0","7","7","0","1.077072","1.085193","0.887471","-0.189601","-0.197722","17.926","14.238","-3.688","r10_medium_fraig_cleanup@clean","r10_medium_fraig_cleanup@clean","","gate_not_matched","True","0"
"tc_public_12","gate_not_matched","skipped","1370","1370","1370","0","14","14","0","1.370066","1.202107","1.130206","-0.23986","-0.071901","18.613","18.598","-0.015","r10_medium_fraig_cleanup@clean","r10_medium_fraig_cleanup@clean","","gate_not_matched","True","0"
"tc_public_13","r7b_high_overlap_guarded_fraig","rejected","1043","1043","1043","0","13","13","0","1.530447","1.53976","2.928615","1.398168","1.388855","21.066","19.422","-1.644","r7b_r7win_fraig_high@clean","r7b_r7win_fraig_high@clean","","no_node_gain","True","0"
"tc_public_14","r7b_high_overlap_guarded_fraig","accepted","2156","2156","2073","-83","16","15","-1","4.246683","4.130031","10.428419","6.181736","6.298388","52.211","52.035","-0.176","r7b_r7win_fraig_high@outputs","r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal","r28_r27_mfs_fraig_dc2_bal","","True","0"
"tc_public_15","r7b_high_overlap_guarded_fraig","accepted","922","922","913","-9","11","11","0","1.579615","1.491745","3.214951","1.635336","1.723206","17.906","17.922","0.016","r7b_r7win_fraig_high@clean","r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal","r28_r27_mfs_fraig_dc2_bal","","True","0"
"tc_public_16","gate_not_matched","skipped","45","45","45","0","6","6","0","0.914699","1.003217","0.721442","-0.193257","-0.281775","10.465","9.016","-1.449","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_17","gate_not_matched","skipped","93","93","93","0","6","6","0","0.861017","1.118524","0.785444","-0.075573","-0.33308","10.469","9.023","-1.446","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_18","gate_not_matched","skipped","486","486","486","0","12","12","0","3.931262","4.068372","3.500301","-0.430961","-0.568071","19.66","19.629","-0.031","r10_medium_fraig_cleanup@both","r10_medium_fraig_cleanup@both","","gate_not_matched","True","0"
"tc_public_19","gate_not_matched","skipped","5184","5184","5184","0","18","18","0","47.657459","53.040809","44.958066","-2.699393","-8.082743","26.004","26.023","0.019","r9_dc2_fraig_cleanup@inputs","r9_dc2_fraig_cleanup@inputs","","gate_not_matched","True","0"
"tc_public_2","gate_not_matched","skipped","19","19","19","0","4","4","0","0.822071","0.730631","0.728977","-0.093094","-0.001654","11.047","11.047","0","sop_fx@clean","sop_fx@clean","","gate_not_matched","True","0"
"tc_public_20","gate_not_matched","skipped","5445","5445","5445","0","20","20","0","50.3693","51.307366","50.293856","-0.075444","-1.01351","27.258","27.434","0.176","r9_dc2_fraig_cleanup@inputs","r9_dc2_fraig_cleanup@inputs","","gate_not_matched","True","0"
"tc_public_21","gate_not_matched","skipped","5448","5448","5448","0","20","20","0","52.168909","51.540554","51.71962","-0.449289","0.179066","27.289","27.383","0.094","r9_dc2_fraig_cleanup@inputs","r9_dc2_fraig_cleanup@inputs","","gate_not_matched","True","0"
"tc_public_22","gate_not_matched","skipped","10740","10740","10740","0","20","20","0","76.4177","86.773253","85.278524","8.860824","-1.494729","33.906","34.043","0.137","r9_dc2_fraig_cleanup@both","r9_dc2_fraig_cleanup@both","","gate_not_matched","True","0"
"tc_public_23","gate_not_matched","skipped","1458","1458","1458","0","14","14","0","25.558234","28.353227","27.974886","2.416652","-0.378341","20.523","20.543","0.02","r11_gia_deepsyn_tiny@clean","r11_gia_deepsyn_tiny@clean","","gate_not_matched","True","0"
"tc_public_24","gate_not_matched","skipped","215","215","215","0","8","8","0","0.889483","0.916495","0.827972","-0.061511","-0.088523","14.469","12.188","-2.281","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_25","gate_not_matched","skipped","26","26","26","0","4","4","0","0.796012","0.806048","0.789931","-0.006081","-0.016117","10.742","9.207","-1.535","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_26","r25_dsd_inputs","accepted","450","450","449","-1","10","10","0","1.068988","1.019085","2.04482","0.975832","1.025735","21.066","23.961","2.895","r25_dsd_dch_cleanup@inputs","r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal","r28_r27_mfs_fraig_dc2_bal","","True","0"
"tc_public_27","gate_not_matched","skipped","376","376","376","0","7","7","0","0.949292","0.949704","0.948889","-0.000403","-0.000815","15","12.375","-2.625","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_28","gate_not_matched","skipped","258","258","258","0","8","8","0","0.984486","0.885138","0.870149","-0.114337","-0.014989","27.527","21.098","-6.429","r25_dsd_dch_cleanup@clean","r25_dsd_dch_cleanup@clean","","gate_not_matched","True","0"
"tc_public_29","gate_not_matched","skipped","97","97","97","0","6","6","0","5.349615","5.401983","5.22607","-0.123545","-0.175913","20.902","21.199","0.297","r11_gia_deepsyn_tiny@inputs","r11_gia_deepsyn_tiny@inputs","","gate_not_matched","True","0"
"tc_public_3","gate_not_matched","skipped","94","94","94","0","8","8","0","12.478239","12.236219","12.292148","-0.186091","0.055929","24.512","25.969","1.457","r11_gia_deepsyn_tiny@clean","r11_gia_deepsyn_tiny@clean","","gate_not_matched","True","0"
"tc_public_30","r25_dsd_inputs","accepted","403","403","392","-11","13","12","-1","1.31459","1.293651","2.591597","1.277007","1.297946","38.035","37.98","-0.055","r25_dsd_dch_cleanup@inputs","r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal","r28_r27_mfs_fraig_dc2_bal","","True","0"
"tc_public_4","gate_not_matched","skipped","61","61","61","0","8","8","0","6.868297","6.376898","6.406126","-0.462171","0.029228","24.293","24.223","-0.07","r11_gia_deepsyn_tiny@inputs","r11_gia_deepsyn_tiny@inputs","","gate_not_matched","True","0"
"tc_public_5","gate_not_matched","skipped","65","65","65","0","2","2","0","0.88222","0.793004","0.798232","-0.083988","0.005228","11.176","9.473","-1.703","dc2_fast@clean","dc2_fast@clean","","gate_not_matched","True","0"
"tc_public_6","gate_not_matched","skipped","162","162","162","0","4","4","0","0.712072","0.694497","0.666742","-0.04533","-0.027755","11.664","11.648","-0.016","sop_fx@clean","sop_fx@clean","","gate_not_matched","True","0"
"tc_public_7","gate_not_matched","skipped","191","191","191","0","3","3","0","4.227141","4.136074","4.138498","-0.088643","0.002424","21.09","20.945","-0.145","r11_gia_deepsyn_tiny@clean","r11_gia_deepsyn_tiny@clean","","gate_not_matched","True","0"
