case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_1,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_1\output.blif,results_candidate\r28_release_mt_full_public\tc_public_1\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_1\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,3.529974,0.940319,0.364586,14.781,results_candidate\r28_release_mt_full_public\tc_public_1\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_10,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_10\output.blif,results_candidate\r28_release_mt_full_public\tc_public_10\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_10\work\v5\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,1.579422,0.370091,0.367843,11.887,results_candidate\r28_release_mt_full_public\tc_public_10\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_11,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_11\output.blif,results_candidate\r28_release_mt_full_public\tc_public_11\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_11\work\v5\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.402874,0.533758,0.360391,10.223,results_candidate\r28_release_mt_full_public\tc_public_11\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_12,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_12\output.blif,results_candidate\r28_release_mt_full_public\tc_public_12\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_12\work\v5\work\variants\clean\baseline.blif,1370,14,1407,13,1370,14,1482,15,0,0,True,0.513027,0.539902,0.477139,9.688,results_candidate\r28_release_mt_full_public\tc_public_12\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_13,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_13\output.blif,results_candidate\r28_release_mt_full_public\tc_public_13\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_13\work\v5\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.129424,1.923736,0.490019,13.59,results_candidate\r28_release_mt_full_public\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0
tc_public_14,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_14\output.blif,results_candidate\r28_release_mt_full_public\tc_public_14\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_14\work\v5\work\variants\outputs\baseline.blif,2156,16,4478,26,2073,15,6388,29,0,0,True,3.571296,1.140852,0.550135,47.309,results_candidate\r28_release_mt_full_public\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-83,-1
tc_public_15,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_15\output.blif,results_candidate\r28_release_mt_full_public\tc_public_15\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_15\work\v5\work\variants\clean\baseline.blif,922,11,928,10,913,11,931,12,0,0,True,1.210034,0.709553,0.448741,9.582,results_candidate\r28_release_mt_full_public\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-9,0
tc_public_16,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_16\output.blif,results_candidate\r28_release_mt_full_public\tc_public_16\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_16\work\v5\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.38214,0.365131,0.369137,7.234,results_candidate\r28_release_mt_full_public\tc_public_16\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_17,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_17\output.blif,results_candidate\r28_release_mt_full_public\tc_public_17\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_17\work\v5\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.398328,0.378423,0.371608,7.258,results_candidate\r28_release_mt_full_public\tc_public_17\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_18,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@both,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_18\output.blif,results_candidate\r28_release_mt_full_public\tc_public_18\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_18\work\v5\work\variants\both\baseline.blif,486,12,522,12,486,12,525,12,0,0,True,0.700453,0.980914,0.38921,12.055,results_candidate\r28_release_mt_full_public\tc_public_18\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
