case,v5_debug_nodes,v5_debug_levels,v5_debug_runtime,v5_release_nodes,v5_release_levels,v5_release_runtime,r28_debug_nodes,r28_debug_levels,r28_debug_runtime,r28_release_nodes,r28_release_levels,r28_release_runtime,v5_release_vs_v5_debug_nodes,r28_release_vs_v5_release_nodes,r28_release_vs_v5_debug_nodes,r28_release_vs_r28_debug_nodes,r28_status,r28_postpass_accepted
tc_public_1,85,8,15.500431,85,8,3.593847,85,8,11.283926,85,8,3.529974,0,0,0,0,skipped,
tc_public_2,19,4,0.730631,19,4,0.434018,19,4,0.728977,19,4,0.384856,0,0,0,0,skipped,
tc_public_3,94,8,12.236219,94,8,4.035465,94,8,12.292148,94,8,3.92679,0,0,0,0,skipped,
tc_public_4,61,8,6.376898,61,8,2.207501,61,8,6.406126,61,8,2.201753,0,0,0,0,skipped,
tc_public_5,65,2,0.793004,65,2,0.394034,65,2,0.798232,65,2,0.386851,0,0,0,0,skipped,
tc_public_6,162,4,0.694497,162,4,0.399547,162,4,0.666742,162,4,0.381881,0,0,0,0,skipped,
tc_public_7,191,3,4.136074,191,3,1.461959,191,3,4.138498,191,3,1.431633,0,0,0,0,skipped,
tc_public_8,193,3,0.71078,193,3,0.41423,193,3,0.672583,193,3,0.385374,0,0,0,0,skipped,
tc_public_9,194,4,5.37906,194,4,1.855231,194,4,5.332645,194,4,1.82136,0,0,0,0,skipped,
tc_public_10,101,4,5.846362,101,4,1.57308,101,4,5.127009,101,4,1.579422,0,0,0,0,skipped,
tc_public_11,328,7,1.085193,328,7,0.388847,328,7,0.887471,328,7,0.402874,0,0,0,0,skipped,
tc_public_12,1370,14,1.202107,1370,14,0.527586,1370,14,1.130206,1370,14,0.513027,0,0,0,0,skipped,
tc_public_13,1043,13,1.53976,1043,13,0.614665,1043,13,2.928615,1043,13,1.129424,0,0,0,0,rejected,
tc_public_14,2156,16,4.130031,2156,16,1.58625,2073,15,10.428419,2073,15,3.571296,0,-83,-83,0,accepted,r28_r27_mfs_fraig_dc2_bal
tc_public_15,922,11,1.491745,922,11,0.523834,913,11,3.214951,913,11,1.210034,0,-9,-9,0,accepted,r28_r27_mfs_fraig_dc2_bal
tc_public_16,45,6,1.003217,45,6,0.394125,45,6,0.721442,45,6,0.38214,0,0,0,0,skipped,
tc_public_17,93,6,1.118524,93,6,0.386904,93,6,0.785444,93,6,0.398328,0,0,0,0,skipped,
tc_public_18,486,12,4.068372,486,12,0.700193,486,12,3.500301,486,12,0.700453,0,0,0,0,skipped,
tc_public_19,5184,18,53.040809,5184,18,5.317115,5184,18,44.958066,5184,18,5.134435,0,0,0,0,skipped,
tc_public_20,5445,20,51.307366,5445,20,5.943711,5445,20,50.293856,5445,20,5.689146,0,0,0,0,skipped,
tc_public_21,5448,20,51.540554,5448,20,5.98848,5448,20,51.71962,5448,20,5.810324,0,0,0,0,skipped,
tc_public_22,10740,20,86.773253,10740,20,9.773949,10740,20,85.278524,10740,20,9.547628,0,0,0,0,skipped,
tc_public_23,1458,14,28.353227,1318,13,20.890419,1458,14,27.974886,1318,13,20.505702,-140,0,-140,-140,skipped,
tc_public_24,215,8,0.916495,215,8,0.390717,215,8,0.827972,215,8,0.385874,0,0,0,0,skipped,
tc_public_25,26,4,0.806048,26,4,0.404608,26,4,0.789931,26,4,0.398271,0,0,0,0,skipped,
tc_public_26,450,10,1.019085,450,10,0.666168,449,10,2.04482,449,10,0.863864,0,-1,-1,0,accepted,r28_r27_mfs_fraig_dc2_bal
tc_public_27,376,7,0.949704,376,7,0.419834,376,7,0.948889,376,7,0.398452,0,0,0,0,skipped,
tc_public_28,258,8,0.885138,258,8,0.584592,258,8,0.870149,258,8,0.425614,0,0,0,0,skipped,
tc_public_29,97,6,5.401983,97,6,1.836158,97,6,5.22607,97,6,1.678267,0,0,0,0,skipped,
tc_public_30,403,13,1.293651,403,13,0.648941,392,12,2.591597,392,12,1.050677,0,-11,-11,0,accepted,r28_r27_mfs_fraig_dc2_bal
