case,v5_nodes,release_r28_nodes,debug_r28_nodes,release_vs_v5,release_vs_debug_r28,v5_level,release_level,debug_r28_level,release_level_vs_v5,release_level_vs_debug_r28,cec_pass,fallback,r28_status,r28_accepted,r28_reject_reason,opt_runtime_sec,peak_mem_mb
tc_public_1,85,85,85,0,0,8,8,8,0,0,True,,skipped,,gate_not_matched,3.529974,14.781
tc_public_2,19,19,19,0,0,4,4,4,0,0,True,,skipped,,gate_not_matched,0.384856,7.465
tc_public_3,94,94,94,0,0,8,8,8,0,0,True,,skipped,,gate_not_matched,3.92679,13.383
tc_public_4,61,61,61,0,0,8,8,8,0,0,True,,skipped,,gate_not_matched,2.201753,12.309
tc_public_5,65,65,65,0,0,2,2,2,0,0,True,,skipped,,gate_not_matched,0.386851,7.688
tc_public_6,162,162,162,0,0,4,4,4,0,0,True,,skipped,,gate_not_matched,0.381881,7.906
tc_public_7,191,191,191,0,0,3,3,3,0,0,True,,skipped,,gate_not_matched,1.431633,12.105
tc_public_8,193,193,193,0,0,3,3,3,0,0,True,,skipped,,gate_not_matched,0.385374,7.914
tc_public_9,194,194,194,0,0,4,4,4,0,0,True,,skipped,,gate_not_matched,1.82136,14.395
tc_public_10,101,101,101,0,0,4,4,4,0,0,True,,skipped,,gate_not_matched,1.579422,11.887
tc_public_11,328,328,328,0,0,7,7,7,0,0,True,,skipped,,gate_not_matched,0.402874,10.223
tc_public_12,1370,1370,1370,0,0,14,14,14,0,0,True,,skipped,,gate_not_matched,0.513027,9.688
tc_public_13,1043,1043,1043,0,0,13,13,13,0,0,True,,rejected,,no_node_gain,1.129424,13.59
tc_public_14,2156,2073,2073,-83,0,16,15,15,-1,0,True,,accepted,r28_r27_mfs_fraig_dc2_bal,,3.571296,47.309
tc_public_15,922,913,913,-9,0,11,11,11,0,0,True,,accepted,r28_r27_mfs_fraig_dc2_bal,,1.210034,9.582
tc_public_16,45,45,45,0,0,6,6,6,0,0,True,,skipped,,gate_not_matched,0.38214,7.234
tc_public_17,93,93,93,0,0,6,6,6,0,0,True,,skipped,,gate_not_matched,0.398328,7.258
tc_public_18,486,486,486,0,0,12,12,12,0,0,True,,skipped,,gate_not_matched,0.700453,12.055
tc_public_19,5184,5184,5184,0,0,18,18,18,0,0,True,,skipped,,gate_not_matched,5.134435,19.848
tc_public_20,5445,5445,5445,0,0,20,20,20,0,0,True,,skipped,,gate_not_matched,5.689146,20.656
tc_public_21,5448,5448,5448,0,0,20,20,20,0,0,True,,skipped,,gate_not_matched,5.810324,20.52
tc_public_22,10740,10740,10740,0,0,20,20,20,0,0,True,,skipped,,gate_not_matched,9.547628,27.18
tc_public_23,1458,1318,1458,-140,-140,14,13,14,-1,-1,True,,skipped,,gate_not_matched,20.505702,13.762
tc_public_24,215,215,215,0,0,8,8,8,0,0,True,,skipped,,gate_not_matched,0.385874,7.445
tc_public_25,26,26,26,0,0,4,4,4,0,0,True,,skipped,,gate_not_matched,0.398271,7.434
tc_public_26,450,449,449,-1,0,10,10,10,0,0,True,,accepted,r28_r27_mfs_fraig_dc2_bal,,0.863864,18.242
tc_public_27,376,376,376,0,0,7,7,7,0,0,True,,skipped,,gate_not_matched,0.398452,7.711
tc_public_28,258,258,258,0,0,8,8,8,0,0,True,,skipped,,gate_not_matched,0.425614,17.809
tc_public_29,97,97,97,0,0,6,6,6,0,0,True,,skipped,,gate_not_matched,1.678267,11.957
tc_public_30,403,392,392,-11,0,13,12,12,-1,0,True,,accepted,r28_r27_mfs_fraig_dc2_bal,,1.050677,31.523
