case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6,r30b_postpass_gate,r30b_postpass_status,r30b_postpass,r30b_postpass_accepted,r30b_postpass_reject_reason,r30b_postpass_opt_returncode,r30b_postpass_cec_pass,r30b_postpass_opt_error,r30b_node_delta_vs_v7,r30b_level_delta_vs_v7,r30b_profile_runtime_sec,r30b_profile_status,r30b_profile_skip_reason,r30b_cluster_bucket,r30b_cluster_potential_score,r30b_high_overlap_pairs,r30b_largest_cluster_size,r30b_po_count,r30b_node_count
tc_public_1,results_candidate\r30b_release_stress\port_name_cases\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_1\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_1\work\v7\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_1\work\v7\work\v6\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,3.577505,0.799713,0.409822,14.379,results_candidate\r30b_release_stress\port_name_public30\tc_public_1\work\v7\work\v6\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001452,ok,,cluster_medium,98.842834,2,3,8,85
tc_public_10,results_candidate\r30b_release_stress\port_name_cases\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_10\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_10\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_10\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,1.534606,0.36313,0.374532,12.152,results_candidate\r30b_release_stress\port_name_public30\tc_public_10\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001817,ok,,cluster_none,17.227723,0,0,32,101
tc_public_11,results_candidate\r30b_release_stress\port_name_cases\tc_public_11\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_11\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_11\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_11\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.686761,0.644777,0.556204,9.195,results_candidate\r30b_release_stress\port_name_public30\tc_public_11\work\v7\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.008188,ok,,cluster_none,100.000000,0,0,96,328
tc_public_12,results_candidate\r30b_release_stress\port_name_cases\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_12\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_12\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_12\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,1370,14,1407,13,1366,14,1482,15,0,0,True,1.501463,0.881235,0.656588,9.703,results_candidate\r30b_release_stress\port_name_public30\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-3,0,mid_nodes_high_overlap_cluster,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-1,0,0.057618,ok,,cluster_high,100.000000,275,8,532,1370
tc_public_13,results_candidate\r30b_release_stress\port_name_cases\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_13\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_13\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_13\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.867326,2.568477,0.681852,13.965,results_candidate\r30b_release_stress\port_name_public30\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0,r7b_high_overlap_guarded_fraig,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0,mid_nodes_high_overlap_cluster,rejected,r30b_odc_resub_f1,,no_node_gain,0,True,False,0,0,0.006942,ok,,cluster_high,100.000000,120,8,20,1043
tc_public_14,results_candidate\r30b_release_stress\port_name_cases\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_14\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_14\work\v7\work\v6\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_14\work\v7\work\v6\work\v5\work\variants\outputs\baseline.blif,2156,16,4478,26,2044,14,6388,29,0,0,True,5.38733,1.403427,0.636784,47.176,results_candidate\r30b_release_stress\port_name_public30\tc_public_14\work\v7\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-83,-1,r7b_high_overlap_guarded_fraig,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-29,-1,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.026435,ok,,cluster_high,100.000000,496,8,77,2045
tc_public_15,results_candidate\r30b_release_stress\port_name_cases\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_15\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_15\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_15\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,922,11,928,10,900,11,931,12,0,0,True,2.072688,1.012526,0.665652,12.117,results_candidate\r30b_release_stress\port_name_public30\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-9,0,r7b_high_overlap_guarded_fraig,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-9,0,mid_nodes_high_overlap_cluster,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-4,0,0.009063,ok,,cluster_high,100.000000,372,8,32,904
tc_public_16,results_candidate\r30b_release_stress\port_name_cases\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_16\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_16\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_16\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.385564,0.350069,0.372467,7.23,results_candidate\r30b_release_stress\port_name_public30\tc_public_16\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.00096,ok,,cluster_none,28.800000,0,0,5,45
tc_public_17,results_candidate\r30b_release_stress\port_name_cases\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_17\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_17\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_17\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.373067,0.354938,0.445395,7.25,results_candidate\r30b_release_stress\port_name_public30\tc_public_17\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001337,ok,,cluster_none,38.322581,0,0,6,93
tc_public_18,results_candidate\r30b_release_stress\port_name_cases\tc_public_18\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_name_public30\tc_public_18\output.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_18\work\v7\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r30b_release_stress\port_name_public30\tc_public_18\work\v7\work\v6\work\v5\work\variants\both\baseline.blif,486,12,522,12,483,12,525,12,0,0,True,1.117433,1.30543,0.522539,11.527,results_candidate\r30b_release_stress\port_name_public30\tc_public_18\work\v7\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-3,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001295,ok,,cluster_none,23.677019,0,0,8,483
