case,clean_pipeline,stress_pipeline,pipeline_match,clean_nodes,stress_nodes,node_delta,clean_levels,stress_levels,level_delta,clean_cec_pass,stress_cec_pass,clean_status,stress_status,clean_fallback,stress_fallback
tc_public_1,r11_gia_deepsyn_tiny@both,r11_gia_deepsyn_tiny@clean,False,85,84,-1,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_10,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@clean,True,101,101,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_11,r10_medium_fraig_cleanup@clean,r10_medium_fraig_cleanup@clean,True,328,328,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_12,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,True,1366,1362,-4,14,14,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_13,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,1043,1058,15,13,13,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_14,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,False,2044,2053,9,14,15,1,True,True,selected_candidate,selected_candidate,0,0
tc_public_15,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r7b_r7win_fraig_high@clean,False,900,922,22,11,10,-1,True,True,selected_candidate,selected_candidate,0,0
tc_public_16,dc2_fast@clean,dc2_fast@clean,True,45,45,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_17,dc2_fast@clean,dc2_fast@clean,True,93,93,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_18,r10_medium_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal,r10_medium_fraig_cleanup@outputs,False,483,483,0,12,12,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_19,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r9_dc2_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,False,5124,5139,15,18,18,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_2,sop_fx@clean,baseline@inputs,False,19,18,-1,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_20,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r9_dc2_fraig_cleanup@outputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,False,5382,5373,-9,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_21,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r9_dc2_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,False,5400,5424,24,18,20,2,True,True,selected_candidate,selected_candidate,0,0
tc_public_22,r9_dc2_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,False,10623,10623,0,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_23,r11_gia_deepsyn_tiny@inputs+r29_mfs_strash_dc2_rwz_bal,r11_gia_deepsyn_tiny@inputs,False,1311,1330,19,13,13,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_24,dc2_fast@clean,dc2_fast@clean,True,215,215,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_25,dc2_fast@clean,dc2_fast@clean,True,26,26,0,4,6,2,True,True,selected_candidate,selected_candidate,0,0
tc_public_26,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,True,449,448,-1,10,10,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_27,dc2_fast@clean,dc2_fast@clean,True,376,376,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_28,r25_dsd_dch_cleanup@clean,r25_dsd_dch_cleanup@clean,True,258,258,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_29,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@clean,False,97,99,2,6,5,-1,True,True,selected_candidate,selected_candidate,0,0
tc_public_3,r11_gia_deepsyn_tiny@clean,r11_gia_deepsyn_tiny@both,False,94,92,-2,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_30,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal+r30b_odc_resub_f1,r25_dsd_dch_cleanup@both+r30b_odc_resub_f1,False,369,409,40,12,12,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_4,r11_gia_deepsyn_tiny@inputs,r11_gia_deepsyn_tiny@both,False,61,58,-3,8,9,1,True,True,selected_candidate,selected_candidate,0,0
tc_public_5,dc2_fast@clean,dc2_fast@clean,True,65,65,0,2,2,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_6,sop_fx@clean,sop_fx@clean,True,162,162,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
