case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6,r30b_postpass_gate,r30b_postpass_status,r30b_postpass,r30b_postpass_accepted,r30b_postpass_reject_reason,r30b_postpass_opt_returncode,r30b_postpass_cec_pass,r30b_postpass_opt_error,r30b_node_delta_vs_v7,r30b_level_delta_vs_v7,r30b_profile_runtime_sec,r30b_profile_status,r30b_profile_skip_reason,r30b_cluster_bucket,r30b_cluster_potential_score,r30b_high_overlap_pairs,r30b_largest_cluster_size,r30b_po_count,r30b_node_count
tc_public_1,results_candidate\r30b_release_stress\port_order_cases\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_1\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_1\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_1\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,84,8,146,8,84,8,207,13,0,0,True,3.553485,0.846014,0.455185,14.438,results_candidate\r30b_release_stress\port_order_public30\tc_public_1\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001139,ok,,cluster_low,90.291515,1,2,8,84
tc_public_10,results_candidate\r30b_release_stress\port_order_cases\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_10\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_10\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_10\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,1.632105,0.3607,0.456935,12.246,results_candidate\r30b_release_stress\port_order_public30\tc_public_10\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.002205,ok,,cluster_none,17.227723,0,0,32,101
tc_public_11,results_candidate\r30b_release_stress\port_order_cases\tc_public_11\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_11\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_11\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_11\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.670404,0.64293,0.544973,8.891,results_candidate\r30b_release_stress\port_order_public30\tc_public_11\work\v7\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.010632,ok,,cluster_none,100.000000,0,0,96,328
tc_public_12,results_candidate\r30b_release_stress\port_order_cases\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_12\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_12\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_12\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,1369,14,1410,13,1362,14,1482,15,0,0,True,1.519456,0.881289,0.669839,10.328,results_candidate\r30b_release_stress\port_order_public30\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-4,0,mid_nodes_high_overlap_cluster,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-3,0,0.04092,ok,,cluster_high,100.000000,275,8,532,1368
tc_public_13,results_candidate\r30b_release_stress\port_order_cases\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_13\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_13\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_13\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,1058,13,1128,14,1058,13,1284,17,0,0,True,1.907194,2.470871,0.67916,13.816,results_candidate\r30b_release_stress\port_order_public30\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0,r7b_high_overlap_guarded_fraig,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0,mid_nodes_high_overlap_cluster,rejected,r30b_odc_resub_f1,,no_node_gain,0,True,False,0,0,0.009319,ok,,cluster_high,100.000000,120,8,20,1058
tc_public_14,results_candidate\r30b_release_stress\port_order_cases\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_14\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_14\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_14\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,2185,17,4472,26,2053,15,6388,29,0,0,True,6.535026,1.448807,0.683292,94.105,results_candidate\r30b_release_stress\port_order_public30\tc_public_14\work\v7\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-105,-1,r7b_high_overlap_guarded_fraig,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-27,-1,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.022394,ok,,cluster_high,100.000000,496,8,77,2054
tc_public_15,results_candidate\r30b_release_stress\port_order_cases\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_15\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_15\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_15\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,922,10,926,10,922,10,931,12,0,0,True,2.098463,1.016568,0.692287,12.191,results_candidate\r30b_release_stress\port_order_public30\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,level_regression,0,True,False,0,0,r7b_high_overlap_guarded_fraig,rejected,r29_mfs_strash_dc2_rwz_bal,,level_regression,0,True,False,0,0,mid_nodes_high_overlap_cluster,rejected,r30b_odc_resub_f1,,level_regression,0,True,False,0,0,0.005942,ok,,cluster_high,100.000000,388,8,32,922
tc_public_16,results_candidate\r30b_release_stress\port_order_cases\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_16\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_16\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_16\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.373666,0.354278,0.409303,7.234,results_candidate\r30b_release_stress\port_order_public30\tc_public_16\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001224,ok,,cluster_none,28.800000,0,0,5,45
tc_public_17,results_candidate\r30b_release_stress\port_order_cases\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_17\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_17\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_17\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.396228,0.358547,0.474683,7.262,results_candidate\r30b_release_stress\port_order_public30\tc_public_17\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.00143,ok,,cluster_none,38.322581,0,0,6,93
tc_public_18,results_candidate\r30b_release_stress\port_order_cases\tc_public_18\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@outputs,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_18\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_18\work\v7\work\v6\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_18\work\v7\work\v6\work\v5\work\variants\outputs\baseline.blif,483,12,522,12,483,12,525,12,0,0,True,1.187016,1.432785,0.481811,13.438,results_candidate\r30b_release_stress\port_order_public30\tc_public_18\work\v7\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001366,ok,,cluster_none,23.677019,0,0,8,483
