case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
anon_001,data\tc_public_anon_r7b_stress\anon_001\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_001\output.blif,results_candidate\r7b_anon_stress\public30\anon_001\output.candidate.blif,results\baseline\anon_001\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.19376870000269264,0.19338000001152977,0.21565530000953004,9.265625,results_candidate\r7b_anon_stress\public30\anon_001\logs
anon_002,data\tc_public_anon_r7b_stress\anon_002\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_002\output.blif,results_candidate\r7b_anon_stress\public30\anon_002\output.candidate.blif,results\baseline\anon_002\output.blif,19,4,19,4,19,4,34,6,0,0,True,0.17559129997971468,0.1900372999953106,0.2177162000152748,9.28515625,results_candidate\r7b_anon_stress\public30\anon_002\logs
anon_003,data\tc_public_anon_r7b_stress\anon_003\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_003\output.blif,results_candidate\r7b_anon_stress\public30\anon_003\output.candidate.blif,results\baseline\anon_003\output.blif,109,8,150,11,109,8,208,13,0,0,True,0.19291610000072978,0.2044358999992255,0.21147739997832105,9.33984375,results_candidate\r7b_anon_stress\public30\anon_003\logs
anon_004,data\tc_public_anon_r7b_stress\anon_004\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_004\output.blif,results_candidate\r7b_anon_stress\public30\anon_004\output.candidate.blif,results\baseline\anon_004\output.blif,69,8,115,9,69,8,145,12,0,0,True,0.18015030000242405,0.18303809998906218,0.20653400002629496,9.3125,results_candidate\r7b_anon_stress\public30\anon_004\logs
anon_005,data\tc_public_anon_r7b_stress\anon_005\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_005\output.blif,results_candidate\r7b_anon_stress\public30\anon_005\output.candidate.blif,results\baseline\anon_005\output.blif,65,2,66,2,65,2,128,2,0,0,True,0.2149890000000596,0.11974110000301152,0.22181020001880825,10.421875,results_candidate\r7b_anon_stress\public30\anon_005\logs
anon_006,data\tc_public_anon_r7b_stress\anon_006\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_006\output.blif,results_candidate\r7b_anon_stress\public30\anon_006\output.candidate.blif,results\baseline\anon_006\output.blif,162,4,162,4,162,4,256,5,0,0,True,0.17830170001252554,0.18440630001714453,0.20191599999088794,9.56640625,results_candidate\r7b_anon_stress\public30\anon_006\logs
anon_007,data\tc_public_anon_r7b_stress\anon_007\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_007\output.blif,results_candidate\r7b_anon_stress\public30\anon_007\output.candidate.blif,results\baseline\anon_007\output.blif,252,3,252,3,252,3,252,3,0,0,True,0.18616200002725236,0.20911440000054426,0.2026917999901343,9.640625,results_candidate\r7b_anon_stress\public30\anon_007\logs
anon_008,data\tc_public_anon_r7b_stress\anon_008\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_008\output.blif,results_candidate\r7b_anon_stress\public30\anon_008\output.candidate.blif,results\baseline\anon_008\output.blif,193,3,193,3,193,3,193,3,0,0,True,0.19889290002174675,0.18998980001197197,0.19736140000168234,9.5859375,results_candidate\r7b_anon_stress\public30\anon_008\logs
anon_009,data\tc_public_anon_r7b_stress\anon_009\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_009\output.blif,results_candidate\r7b_anon_stress\public30\anon_009\output.candidate.blif,results\baseline\anon_009\output.blif,224,5,224,5,224,5,224,5,0,0,True,0.1875995000009425,0.19134910000138916,0.20595969998976216,9.5390625,results_candidate\r7b_anon_stress\public30\anon_009\logs
anon_010,data\tc_public_anon_r7b_stress\anon_010\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_010\output.blif,results_candidate\r7b_anon_stress\public30\anon_010\output.candidate.blif,results\baseline\anon_010\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.21845450002001598,0.11834110002382658,0.20388109996565618,9.4375,results_candidate\r7b_anon_stress\public30\anon_010\logs
anon_011,data\tc_public_anon_r7b_stress\anon_011\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_011\output.blif,results_candidate\r7b_anon_stress\public30\anon_011\output.candidate.blif,results\baseline\anon_011\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.26637189998291433,0.1482028999889735,0.22557760000927374,17.8515625,results_candidate\r7b_anon_stress\public30\anon_011\logs
anon_012,data\tc_public_anon_r7b_stress\anon_012\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_012\output.blif,results_candidate\r7b_anon_stress\public30\anon_012\output.candidate.blif,results\baseline\anon_012\output.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,0.26759999999194406,0.1790190000028815,0.23429530000430532,18.5859375,results_candidate\r7b_anon_stress\public30\anon_012\logs
anon_013,data\tc_public_anon_r7b_stress\anon_013\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_013\output.blif,results_candidate\r7b_anon_stress\public30\anon_013\output.candidate.blif,results\baseline\anon_013\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.3581689999846276,0.4592385000141803,0.23391190002439544,18.82421875,results_candidate\r7b_anon_stress\public30\anon_013\logs
