probe,case,category,audit_pass,expected_behavior,observed_status,abc_returncode,timed_out,runtime_sec,peak_mem_mb,cec_pass,cec_runtime_sec,stats_runtime_sec,output_written,pi_name_preserved,po_name_preserved,diag_stage,diag_mode,diag_proof,rewrite_status,network_changed,skip_reason,before_nodes,before_levels,after_nodes,after_levels,stats_nodes,stats_levels,log_path,output_blif
help,,usage,pass,help prints r7win usage,usage_shown,0,False,0.150021,7.254,,,,False,,,,,,,,,,,,,,,results_candidate/r7b_command_robustness/logs/help.log,
invalid_mode,,argument_guard,pass,invalid mode is rejected,invalid_mode_rejected,0,False,0.153785,7.234,,,,False,,,,,,,,,,,,,,,results_candidate/r7b_command_robustness/logs/invalid_mode.log,
missing_mode_arg,,argument_guard,pass,missing -mode argument is rejected,missing_mode_rejected,0,False,0.150805,7.242,,,,False,,,,,,,,,,,,,,,results_candidate/r7b_command_robustness/logs/missing_mode_arg.log,
non_strash_reject,tc_public_13,network_guard,pass,r7win rejects non-strashed networks,non_strash_rejected,0,False,0.172751,7.254,,,,False,,,,,,,,,,,,,,,results_candidate/r7b_command_robustness/logs/non_strash_reject.log,
profile_noop_tc_public_1,tc_public_1,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.296845,8.961,True,0.262635,0.138941,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,no_high_overlap_pair,207,13,207,13,207,13,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_1.log,results_candidate/r7b_command_robustness/outputs/tc_public_1_profile.blif
profile_noop_tc_public_12,tc_public_12,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.221583,9.406,True,0.185034,0.163100,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,po_count_gt_128,1482,15,1482,15,1482,15,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_12.log,results_candidate/r7b_command_robustness/outputs/tc_public_12_profile.blif
profile_noop_tc_public_13,tc_public_13,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.322537,9.363,True,0.290876,0.142497,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,,1284,17,1284,17,1284,17,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_13.log,results_candidate/r7b_command_robustness/outputs/tc_public_13_profile.blif
profile_noop_tc_public_14,tc_public_14,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.296310,12.793,True,0.295304,0.183015,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,,6388,29,6388,29,6388,29,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_14.log,results_candidate/r7b_command_robustness/outputs/tc_public_14_profile.blif
profile_noop_tc_public_15,tc_public_15,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.233299,7.242,True,0.212786,0.167672,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,,931,12,931,12,931,12,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_15.log,results_candidate/r7b_command_robustness/outputs/tc_public_15_profile.blif
profile_noop_tc_public_30,tc_public_30,profile_noop,pass,profile mode writes an equivalent unchanged BLIF,profile_noop,0,False,0.564608,16.879,True,0.382905,0.247680,True,True,True,gate2_guarded_fraig,profile,fraig,profile_noop,0,cluster_potential_lt_70,14139,1036,14139,1036,14139,1036,results_candidate/r7b_command_robustness/logs/profile_noop_tc_public_30.log,results_candidate/r7b_command_robustness/outputs/tc_public_30_profile.blif
