case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public_portname_r7b_stress\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_1\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,,,103,10,207,13,0,0,True,0.3665723000012804,0.376777099998435,0.33509599999524653,11.265625,results_candidate\r7b_port_name_stress\public30\tc_public_1\logs
tc_public_10,data\tc_public_portname_r7b_stress\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_10\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,,,161,4,192,5,0,0,True,0.26744009999674745,0.17883620000793599,0.31916860002093017,9.47265625,results_candidate\r7b_port_name_stress\public30\tc_public_10\logs
tc_public_11,data\tc_public_portname_r7b_stress\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_11\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,,,328,7,1064,6,0,0,True,0.33760180001263507,0.2664764000219293,0.4086171000089962,17.86328125,results_candidate\r7b_port_name_stress\public30\tc_public_11\logs
tc_public_12,data\tc_public_portname_r7b_stress\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_12\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1385,13,,,1385,13,1482,15,0,0,True,0.2543086000077892,0.3027359999832697,0.5188815000001341,18.58984375,results_candidate\r7b_port_name_stress\public30\tc_public_12\logs
tc_public_13,data\tc_public_portname_r7b_stress\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_13\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,,,1043,13,1284,17,0,0,True,1.243317600019509,1.1638883000123315,0.36561259999871254,18.7734375,results_candidate\r7b_port_name_stress\public30\tc_public_13\logs
tc_public_14,data\tc_public_portname_r7b_stress\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_14\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2223,17,,,2223,17,6388,29,0,0,True,1.2728838000039104,0.5041696000262164,0.3463101999950595,24.14453125,results_candidate\r7b_port_name_stress\public30\tc_public_14\logs
tc_public_15,data\tc_public_portname_r7b_stress\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_15\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,922,11,,,922,11,931,12,0,0,True,0.4536241000168957,0.23974079999607056,0.27688099996885285,17.828125,results_candidate\r7b_port_name_stress\public30\tc_public_15\logs
tc_public_16,data\tc_public_portname_r7b_stress\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_16\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,,,45,6,45,6,0,0,True,0.2877800000132993,0.1663373000046704,0.2546972999989521,9.01953125,results_candidate\r7b_port_name_stress\public30\tc_public_16\logs
tc_public_17,data\tc_public_portname_r7b_stress\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_17\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,,,93,6,93,6,0,0,True,0.18421559999114834,0.13510620000306517,0.2313319000240881,9.03515625,results_candidate\r7b_port_name_stress\public30\tc_public_17\logs
tc_public_18,data\tc_public_portname_r7b_stress\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_18\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,498,12,,,498,12,525,12,0,0,True,1.9309321999899112,1.135210200009169,0.8668263999861665,17.83203125,results_candidate\r7b_port_name_stress\public30\tc_public_18\logs
