case,clean_pipeline,stress_pipeline,pipeline_match,clean_nodes,stress_nodes,node_delta,clean_levels,stress_levels,level_delta,clean_cec_pass,stress_cec_pass,clean_status,stress_status,clean_fallback,stress_fallback
tc_public_1,sop_fx,sop_fx,True,103,103,0,10,10,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_10,dc2_fast,dc2_fast,True,161,161,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_11,dc2_fast,dc2_fast,True,328,328,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_12,rewrite2,rewrite2,True,1385,1385,0,13,13,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_13,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,1043,1043,0,13,13,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_14,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,2223,2201,-22,17,17,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_15,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,922,924,2,11,11,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_16,dc2_fast,dc2_fast,True,45,45,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_17,dc2_fast,dc2_fast,True,93,93,0,6,6,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_18,dc2_fast,dc2_fast,True,498,498,0,12,12,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_19,high_aig_three_round,high_aig_three_round,True,5277,5277,0,18,18,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_2,sop_fx,sop_fx,True,19,19,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_20,high_aig_three_round,high_aig_three_round,True,5538,5526,-12,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_21,high_aig_three_round,high_aig_three_round,True,5556,5544,-12,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_22,high_aig_three_round,high_aig_three_round,True,11049,11010,-39,20,20,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_23,dc2_fast,dc2_fast,True,1530,1530,0,16,16,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_24,dc2_fast,dc2_fast,True,215,215,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_25,dc2_fast,dc2_fast,True,26,26,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_26,dc2_fast,dc2_fast,True,1048,1048,0,10,10,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_27,dc2_fast,dc2_fast,True,376,376,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_28,dc2_fast,dc2_fast,True,520,520,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_29,dc2_fast,dc2_fast,True,109,109,0,7,7,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_3,sop_fx,sop_fx,True,109,109,0,8,8,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_30,high_aig_three_round,high_aig_three_round,True,5421,5344,-77,21,21,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_4,sop_fx,sop_fx,True,69,65,-4,8,7,-1,True,True,selected_candidate,selected_candidate,0,0
tc_public_5,dc2_fast,dc2_fast,True,65,65,0,2,2,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_6,sop_fx,sop_fx,True,162,162,0,4,4,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_7,sop_fx,sop_fx,True,252,252,0,3,3,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_8,sop_fx,sop_fx,True,193,193,0,3,3,0,True,True,selected_candidate,selected_candidate,0,0
tc_public_9,sop_fx,sop_fx,True,224,224,0,5,5,0,True,True,selected_candidate,selected_candidate,0,0
