case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public_portorder_inputs_r7b_stress\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_1\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.25503820000449196,0.2784665000217501,0.3541311000008136,11.26953125,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_1\logs
tc_public_10,data\tc_public_portorder_inputs_r7b_stress\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_10\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.27709399999002926,0.14862449999782257,0.30138450002414174,12.74609375,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_10\logs
tc_public_11,data\tc_public_portorder_inputs_r7b_stress\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_11\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.3816592999792192,0.18420410001999699,0.23006880001048557,14.96875,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_11\logs
tc_public_12,data\tc_public_portorder_inputs_r7b_stress\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_12\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,0.2802392999874428,0.2115027999971062,0.25002359997597523,18.57421875,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_12\logs
tc_public_13,data\tc_public_portorder_inputs_r7b_stress\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_13\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.48789610000676475,0.5841543999849819,0.30704499999410473,18.75390625,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_13\logs
tc_public_14,data\tc_public_portorder_inputs_r7b_stress\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_14\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2201,17,4474,26,2201,17,6388,29,0,0,True,1.2730007999925874,0.4138540000130888,0.30160870001418516,24.0390625,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_14\logs
tc_public_15,data\tc_public_portorder_inputs_r7b_stress\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_15\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,924,11,928,10,924,11,931,12,0,0,True,0.31913810002151877,0.17764949999400415,0.2442287000012584,17.84375,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_15\logs
tc_public_16,data\tc_public_portorder_inputs_r7b_stress\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_16\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.1793650999898091,0.11121479998109862,0.2143960000248626,9.0078125,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_16\logs
tc_public_17,data\tc_public_portorder_inputs_r7b_stress\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_17\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.17859820000012405,0.10732040001312271,0.23096849999274127,9.01953125,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_17\logs
tc_public_18,data\tc_public_portorder_inputs_r7b_stress\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_18\output.blif,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,498,12,522,12,498,12,525,12,0,0,True,1.341026799986139,0.42769129999214783,0.3468708999862429,19.6171875,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_18\logs
