case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public_portorder_outputs_r7b_stress\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_1\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.19200779998209327,0.2126072000246495,0.22899420000612736,9.42578125,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_1\logs
tc_public_10,data\tc_public_portorder_outputs_r7b_stress\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_10\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.29052239999873564,0.2201397999888286,0.34815060000983067,9.44140625,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_10\logs
tc_public_11,data\tc_public_portorder_outputs_r7b_stress\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_11\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.27704970000195317,0.20251099998131394,0.26441579998936504,17.875,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_11\logs
tc_public_12,data\tc_public_portorder_outputs_r7b_stress\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_12\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1387,13,1407,13,1387,13,1482,15,0,0,True,0.3684337000013329,0.21785539999837056,0.3094111999962479,15.41015625,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_12\logs
tc_public_13,data\tc_public_portorder_outputs_r7b_stress\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_13\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.4506060999992769,0.4828970999806188,0.2746297000267077,19.1953125,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_13\logs
tc_public_14,data\tc_public_portorder_outputs_r7b_stress\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_14\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2188,17,4474,26,2188,17,6388,29,0,0,True,1.012964399997145,0.4263065999839455,0.315104400011478,25.08203125,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_14\logs
tc_public_15,data\tc_public_portorder_outputs_r7b_stress\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_15\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,922,10,928,10,922,10,931,12,0,0,True,0.4163270999852102,0.263870599999791,0.263563200016506,17.87109375,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_15\logs
tc_public_16,data\tc_public_portorder_outputs_r7b_stress\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_16\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.23832810000749305,0.14343990001361817,0.3251445000350941,9.0078125,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_16\logs
tc_public_17,data\tc_public_portorder_outputs_r7b_stress\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_17\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.28660379999200813,0.16953290000674315,0.2684034999983851,10.53125,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_17\logs
tc_public_18,data\tc_public_portorder_outputs_r7b_stress\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_18\output.blif,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,495,12,522,12,495,12,525,12,0,0,True,1.068570200004615,0.3576007999945432,0.22183450000011362,19.52734375,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_18\logs
