case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public_portorder_r7b_stress\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_1\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.28620909998426214,0.24730570000247099,0.3672219000000041,9.2734375,results_candidate\r7b_port_order_stress\public30\tc_public_1\logs
tc_public_10,data\tc_public_portorder_r7b_stress\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_10\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.23722949999500997,0.15527550000115298,0.30689099998562597,9.4921875,results_candidate\r7b_port_order_stress\public30\tc_public_10\logs
tc_public_11,data\tc_public_portorder_r7b_stress\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_11\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.26748889998998493,0.15615799999795854,0.21826519997557625,17.85546875,results_candidate\r7b_port_order_stress\public30\tc_public_11\logs
tc_public_12,data\tc_public_portorder_r7b_stress\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_12\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1388,13,1407,13,1388,13,1482,15,0,0,True,0.27955150001798756,0.18125359999248758,0.21800559997791424,18.58203125,results_candidate\r7b_port_order_stress\public30\tc_public_12\logs
tc_public_13,data\tc_public_portorder_r7b_stress\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_13\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.4604944000020623,0.6998294000222813,0.31229659999371506,19.4140625,results_candidate\r7b_port_order_stress\public30\tc_public_13\logs
tc_public_14,data\tc_public_portorder_r7b_stress\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_14\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2192,16,4474,26,2192,16,6388,29,0,0,True,1.4680286000075284,0.445202100003371,0.42426919998251833,63.08203125,results_candidate\r7b_port_order_stress\public30\tc_public_14\logs
tc_public_15,data\tc_public_portorder_r7b_stress\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_15\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,923,10,928,10,923,10,931,12,0,0,True,0.33036490000085905,0.18118039998807944,0.21741840001777746,17.83203125,results_candidate\r7b_port_order_stress\public30\tc_public_15\logs
tc_public_16,data\tc_public_portorder_r7b_stress\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_16\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.17660990002332255,0.13159340000129305,0.22550610001781024,8.99609375,results_candidate\r7b_port_order_stress\public30\tc_public_16\logs
tc_public_17,data\tc_public_portorder_r7b_stress\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_17\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.18026359999203123,0.11118639999767765,0.25085639997269027,9.046875,results_candidate\r7b_port_order_stress\public30\tc_public_17\logs
tc_public_18,data\tc_public_portorder_r7b_stress\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_order_stress\public30\tc_public_18\output.blif,results_candidate\r7b_port_order_stress\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,501,12,522,12,501,12,525,12,0,0,True,1.3950693999940995,0.4227398999792058,0.28154929997981526,19.671875,results_candidate\r7b_port_order_stress\public30\tc_public_18\logs
