case,formal_pipeline,candidate_pipeline,formal_nodes,candidate_nodes,node_delta_vs_formal,formal_levels,candidate_levels,level_delta_vs_formal,status,fallback_reason,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb
tc_public_1,sop_fx,sop_fx,103,103,0,10,10,0,selected_candidate,,True,0.19779010000638664,0.20269189999089576,0.19243629998527467,9.34375
tc_public_2,sop_fx,sop_fx,19,19,0,4,4,0,selected_candidate,,True,0.1825494000222534,0.18653749997611158,0.20892359997378662,9.26953125
tc_public_3,sop_fx,sop_fx,109,109,0,8,8,0,selected_candidate,,True,0.19191750002210028,0.17658139998093247,0.20515680001699366,9.35546875
tc_public_4,sop_fx,sop_fx,69,69,0,8,8,0,selected_candidate,,True,0.1982776000222657,0.18378230000962503,0.2262295000255108,9.33203125
tc_public_5,dc2_fast,dc2_fast,65,65,0,2,2,0,selected_candidate,,True,0.19800000000395812,0.1154091999924276,0.22772409999743104,9.453125
tc_public_6,sop_fx,sop_fx,162,162,0,4,4,0,selected_candidate,,True,0.1787727999908384,0.1775999000237789,0.19929180000326596,9.60546875
tc_public_7,sop_fx,sop_fx,252,252,0,3,3,0,selected_candidate,,True,0.18812189999152906,0.16259689998696558,0.2461337000131607,9.65234375
tc_public_8,sop_fx,sop_fx,193,193,0,3,3,0,selected_candidate,,True,0.18758729999535717,0.1875331999908667,0.21065510000335053,9.58984375
tc_public_9,sop_fx,sop_fx,224,224,0,5,5,0,selected_candidate,,True,0.1906909999961499,0.19160149997333065,0.2109266000043135,9.57421875
tc_public_10,dc2_fast,dc2_fast,161,161,0,4,4,0,selected_candidate,,True,0.19146219998947345,0.11738430001423694,0.21233410001150332,9.46484375
tc_public_11,dc2_fast,dc2_fast,328,328,0,7,7,0,selected_candidate,,True,0.2650967999943532,0.1695624000276439,0.22924779998720624,17.859375
tc_public_12,rewrite2,rewrite2,1385,1385,0,13,13,0,selected_candidate,,True,0.26723229998606257,0.1647635999834165,0.23320590000366792,15.09375
tc_public_13,dc2_fast,r7b_r7win_fraig_high,1058,1043,-15,13,13,0,selected_candidate,,True,0.3526668999984395,0.46993989998009056,0.23902400000952184,18.80859375
tc_public_14,high_aig_three_round,r7b_r7win_fraig_high,3514,2223,-1291,25,17,-8,selected_candidate,,True,0.9026803000015207,0.29432400001678616,0.23593870000331663,24.015625
tc_public_15,dc2_fast,r7b_r7win_fraig_high,927,922,-5,11,11,0,selected_candidate,,True,0.34566789999371395,0.20481470000231639,0.24972900000284426,17.87109375
tc_public_16,dc2_fast,dc2_fast,45,45,0,6,6,0,selected_candidate,,True,0.2054088999866508,0.11573000001953915,0.20550979999825358,9.0078125
tc_public_17,dc2_fast,dc2_fast,93,93,0,6,6,0,selected_candidate,,True,0.19657580001512542,0.13736799999605864,0.239009500015527,9.01171875
tc_public_18,dc2_fast,dc2_fast,498,498,0,12,12,0,selected_candidate,,True,1.233427600003779,0.3326991999929305,0.20379729999694973,17.9921875
tc_public_19,high_aig_three_round,high_aig_three_round,5277,5277,0,18,18,0,selected_candidate,,True,15.243006999982754,1.8214882999891415,0.24696360001689754,27.0625
tc_public_20,high_aig_three_round,high_aig_three_round,5538,5538,0,20,20,0,selected_candidate,,True,14.984281599987298,2.0505827000015415,0.25295250001363456,27.4375
tc_public_21,high_aig_three_round,high_aig_three_round,5556,5556,0,20,20,0,selected_candidate,,True,15.35732179999468,2.046798099996522,0.23782029998255894,27.48046875
tc_public_22,high_aig_three_round,high_aig_three_round,11049,11049,0,20,20,0,selected_candidate,,True,31.268571500026155,4.097501999989618,0.3012045999930706,34.91796875
tc_public_23,dc2_fast,dc2_fast,1530,1530,0,16,16,0,selected_candidate,,True,0.3417411000118591,0.16027600000961684,0.22951919998740777,15.92578125
tc_public_24,dc2_fast,dc2_fast,215,215,0,8,8,0,selected_candidate,,True,0.2502980999997817,0.1494626000057906,0.20426629998837598,10.78125
tc_public_25,dc2_fast,dc2_fast,26,26,0,4,4,0,selected_candidate,,True,0.19939560000784695,0.11181719999876805,0.22110070002963766,9.21875
tc_public_26,dc2_fast,dc2_fast,1048,1048,0,10,10,0,selected_candidate,,True,0.28600320001714863,0.18251819998840801,0.23234310001134872,17.85546875
tc_public_27,dc2_fast,dc2_fast,376,376,0,7,7,0,selected_candidate,,True,0.23319939998327754,0.1329218999890145,0.25847289999364875,9.48046875
tc_public_28,dc2_fast,dc2_fast,520,520,0,7,7,0,selected_candidate,,True,0.2382289000088349,0.15820599999278784,0.32209699996747077,15.078125
tc_public_29,dc2_fast,dc2_fast,109,109,0,7,7,0,selected_candidate,,True,0.22814290001406334,0.11293920001480728,0.2355251999979373,9.078125
tc_public_30,high_aig_three_round,high_aig_three_round,5421,5421,0,21,21,0,selected_candidate,,True,1.8075552000082098,4.39912839999306,0.24555200000759214,34.515625
