case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_1\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.19779010000638664,0.20269189999089576,0.19243629998527467,9.34375,results_candidate\r7b_pure_clean\public30\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_10\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.19146219998947345,0.11738430001423694,0.21233410001150332,9.46484375,results_candidate\r7b_pure_clean\public30\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_11\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.2650967999943532,0.1695624000276439,0.22924779998720624,17.859375,results_candidate\r7b_pure_clean\public30\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_12\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,0.26723229998606257,0.1647635999834165,0.23320590000366792,15.09375,results_candidate\r7b_pure_clean\public30\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_13\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.3526668999984395,0.46993989998009056,0.23902400000952184,18.80859375,results_candidate\r7b_pure_clean\public30\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_14\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2223,17,4474,26,2223,17,6388,29,0,0,True,0.9026803000015207,0.29432400001678616,0.23593870000331663,24.015625,results_candidate\r7b_pure_clean\public30\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_15\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,922,11,928,10,922,11,931,12,0,0,True,0.34566789999371395,0.20481470000231639,0.24972900000284426,17.87109375,results_candidate\r7b_pure_clean\public30\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_16\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.2054088999866508,0.11573000001953915,0.20550979999825358,9.0078125,results_candidate\r7b_pure_clean\public30\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_17\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.19657580001512542,0.13736799999605864,0.239009500015527,9.01171875,results_candidate\r7b_pure_clean\public30\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_18\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,498,12,522,12,498,12,525,12,0,0,True,1.233427600003779,0.3326991999929305,0.20379729999694973,17.9921875,results_candidate\r7b_pure_clean\public30\tc_public_18\logs
tc_public_19,data\tc_public\tc_public_19\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_19\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_19\output.candidate.blif,results\baseline\tc_public_19\output.blif,5277,18,5403,18,5277,18,5478,18,0,0,True,15.243006999982754,1.8214882999891415,0.24696360001689754,27.0625,results_candidate\r7b_pure_clean\public30\tc_public_19\logs
tc_public_2,data\tc_public\tc_public_2\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_2\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_2\output.candidate.blif,results\baseline\tc_public_2\output.blif,19,4,19,4,19,4,34,6,0,0,True,0.1825494000222534,0.18653749997611158,0.20892359997378662,9.26953125,results_candidate\r7b_pure_clean\public30\tc_public_2\logs
tc_public_20,data\tc_public\tc_public_20\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_20\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_20\output.candidate.blif,results\baseline\tc_public_20\output.blif,5538,20,5664,20,5538,20,5742,20,0,0,True,14.984281599987298,2.0505827000015415,0.25295250001363456,27.4375,results_candidate\r7b_pure_clean\public30\tc_public_20\logs
tc_public_21,data\tc_public\tc_public_21\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_21\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_21\output.candidate.blif,results\baseline\tc_public_21\output.blif,5556,20,5685,20,5556,20,5763,20,0,0,True,15.35732179999468,2.046798099996522,0.23782029998255894,27.48046875,results_candidate\r7b_pure_clean\public30\tc_public_21\logs
tc_public_22,data\tc_public\tc_public_22\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_22\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_22\output.candidate.blif,results\baseline\tc_public_22\output.blif,11049,20,11265,20,11049,20,11367,20,0,0,True,31.268571500026155,4.097501999989618,0.3012045999930706,34.91796875,results_candidate\r7b_pure_clean\public30\tc_public_22\logs
tc_public_23,data\tc_public\tc_public_23\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_23\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_23\output.candidate.blif,results\baseline\tc_public_23\output.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,0.3417411000118591,0.16027600000961684,0.22951919998740777,15.92578125,results_candidate\r7b_pure_clean\public30\tc_public_23\logs
tc_public_24,data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_24\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_24\output.candidate.blif,results\baseline\tc_public_24\output.blif,215,8,215,8,215,8,223,15,0,0,True,0.2502980999997817,0.1494626000057906,0.20426629998837598,10.78125,results_candidate\r7b_pure_clean\public30\tc_public_24\logs
tc_public_25,data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_25\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_25\output.candidate.blif,results\baseline\tc_public_25\output.blif,26,4,26,4,26,4,101,14,0,0,True,0.19939560000784695,0.11181719999876805,0.22110070002963766,9.21875,results_candidate\r7b_pure_clean\public30\tc_public_25\logs
tc_public_26,data\tc_public\tc_public_26\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_26\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_26\output.candidate.blif,results\baseline\tc_public_26\output.blif,1048,10,1064,10,1048,10,1064,32,0,0,True,0.28600320001714863,0.18251819998840801,0.23234310001134872,17.85546875,results_candidate\r7b_pure_clean\public30\tc_public_26\logs
