case,formal_pipeline,candidate_pipeline,formal_nodes,candidate_nodes,node_delta_vs_formal,formal_levels,candidate_levels,level_delta_vs_formal,status,fallback_reason,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb
tc_public_1,sop_fx,sop_fx,103,103,0,10,10,0,selected_candidate,,True,0.19764340002438985,0.23484109999844804,0.24544079997576773,9.33984375
tc_public_10,dc2_fast,dc2_fast,161,161,0,4,4,0,selected_candidate,,True,0.2325495000113733,0.1479144999757409,0.25756830000318587,11.12890625
tc_public_11,dc2_fast,dc2_fast,328,328,0,7,7,0,selected_candidate,,True,0.2943749000260141,0.20229590000235476,0.24778340000193566,12.54296875
tc_public_12,rewrite2,rewrite2,1385,1385,0,13,13,0,selected_candidate,,True,0.34263510000891984,0.17437889997381717,0.2542095000098925,15.125
tc_public_13,dc2_fast,r7b_r7win_fraig_high,1058,1043,-15,13,13,0,selected_candidate,,True,0.40303109999513254,0.5270422000030521,0.23207050003111362,18.78125
tc_public_14,high_aig_three_round,r7b_r7win_fraig_high,3514,2223,-1291,25,17,-8,selected_candidate,,True,1.0855349999910686,0.33418899998650886,0.30189899998367764,24.98046875
tc_public_15,dc2_fast,r7b_r7win_fraig_high,927,922,-5,11,11,0,selected_candidate,,True,0.3944130000018049,0.22919369998271577,0.2550287999911234,17.89453125
tc_public_16,dc2_fast,dc2_fast,45,45,0,6,6,0,selected_candidate,,True,0.25535730001865886,0.11663049997878261,0.259532299998682,9.0234375
tc_public_17,dc2_fast,dc2_fast,93,93,0,6,6,0,selected_candidate,,True,0.19642439999734052,0.1333675000059884,0.24038150001433678,9.046875
tc_public_18,dc2_fast,dc2_fast,498,498,0,12,12,0,selected_candidate,,True,1.292552600003546,0.3987170000036713,0.25589629999012686,19.5078125
tc_public_19,high_aig_three_round,high_aig_three_round,5277,5277,0,18,18,0,selected_candidate,,True,16.871643199992832,2.144588199997088,0.36995069999829866,26.83984375
tc_public_2,sop_fx,sop_fx,19,19,0,4,4,0,selected_candidate,,True,0.19342239998513833,0.1932976999960374,0.22255569999106228,9.28125
tc_public_20,high_aig_three_round,high_aig_three_round,5538,5538,0,20,20,0,selected_candidate,,True,17.084189999994123,2.320639699988533,0.353068499971414,27.41796875
tc_public_21,high_aig_three_round,high_aig_three_round,5556,5556,0,20,20,0,selected_candidate,,True,17.078406200016616,2.5636541999992914,0.32848850000300445,27.41796875
tc_public_22,high_aig_three_round,high_aig_three_round,11049,11049,0,20,20,0,selected_candidate,,True,33.58721440000227,4.788163799996255,0.32379940000828356,34.92578125
tc_public_23,dc2_fast,dc2_fast,1530,1530,0,16,16,0,selected_candidate,,True,0.3751277000119444,0.15480530000058934,0.2479540999920573,16.40625
tc_public_24,dc2_fast,dc2_fast,215,215,0,8,8,0,selected_candidate,,True,0.24791210002149455,0.13918400002876297,0.23953459999756888,9.203125
tc_public_25,dc2_fast,dc2_fast,26,26,0,4,4,0,selected_candidate,,True,0.2677895999804605,0.13439229998039082,0.19359119998989627,9.21484375
tc_public_26,dc2_fast,dc2_fast,1048,1048,0,10,10,0,selected_candidate,,True,0.3548220999946352,0.19523250000202097,0.2804347000201233,17.92578125
tc_public_27,dc2_fast,dc2_fast,376,376,0,7,7,0,selected_candidate,,True,0.235714900016319,0.15057440000236966,0.2433712999918498,12.171875
tc_public_28,dc2_fast,dc2_fast,520,520,0,7,7,0,selected_candidate,,True,0.28931829999783076,0.15788319997955114,0.24492619998636656,12.375
tc_public_29,dc2_fast,dc2_fast,109,109,0,7,7,0,selected_candidate,,True,0.24922599998535588,0.14073810001718812,0.33395480003673583,9.1015625
tc_public_3,sop_fx,sop_fx,109,109,0,8,8,0,selected_candidate,,True,0.21228949999203905,0.18854289999580942,0.22303209998062812,9.375
tc_public_30,high_aig_three_round,high_aig_three_round,5421,5421,0,21,21,0,selected_candidate,,True,1.9577635000168812,4.635035799990874,0.27102729998296127,34.46484375
tc_public_4,sop_fx,sop_fx,69,69,0,8,8,0,selected_candidate,,True,0.21672899997793138,0.24629179999465123,0.25174259996856563,9.32421875
tc_public_5,dc2_fast,dc2_fast,65,65,0,2,2,0,selected_candidate,,True,0.20727389998501167,0.11027609999291599,0.23151209999923594,9.44921875
tc_public_6,sop_fx,sop_fx,162,162,0,4,4,0,selected_candidate,,True,0.18523920001462102,0.20039730001008138,0.20712529998854734,9.58203125
tc_public_7,sop_fx,sop_fx,252,252,0,3,3,0,selected_candidate,,True,0.18624549999367446,0.19355160000850447,0.2260719999903813,9.640625
tc_public_8,sop_fx,sop_fx,193,193,0,3,3,0,selected_candidate,,True,0.22935660000075586,0.2047164999821689,0.22749280001153238,9.57421875
tc_public_9,sop_fx,sop_fx,224,224,0,5,5,0,selected_candidate,,True,0.19641289999708533,0.19913130000350066,0.22318539998377673,9.53515625
