case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_1\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,103,10,142,8,103,10,207,13,0,0,True,0.19764340002438985,0.23484109999844804,0.24544079997576773,9.33984375,results_candidate\r7b_rerun_20260622\public30\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_10\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.2325495000113733,0.1479144999757409,0.25756830000318587,11.12890625,results_candidate\r7b_rerun_20260622\public30\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_11\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.2943749000260141,0.20229590000235476,0.24778340000193566,12.54296875,results_candidate\r7b_rerun_20260622\public30\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,rewrite2,rewrite2,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_12\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,0.34263510000891984,0.17437889997381717,0.2542095000098925,15.125,results_candidate\r7b_rerun_20260622\public30\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_13\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,0.40303109999513254,0.5270422000030521,0.23207050003111362,18.78125,results_candidate\r7b_rerun_20260622\public30\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_14\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2223,17,4474,26,2223,17,6388,29,0,0,True,1.0855349999910686,0.33418899998650886,0.30189899998367764,24.98046875,results_candidate\r7b_rerun_20260622\public30\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_15\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,922,11,928,10,922,11,931,12,0,0,True,0.3944130000018049,0.22919369998271577,0.2550287999911234,17.89453125,results_candidate\r7b_rerun_20260622\public30\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_16\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.25535730001865886,0.11663049997878261,0.259532299998682,9.0234375,results_candidate\r7b_rerun_20260622\public30\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_17\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.19642439999734052,0.1333675000059884,0.24038150001433678,9.046875,results_candidate\r7b_rerun_20260622\public30\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_rerun_20260622\public30\tc_public_18\output.blif,results_candidate\r7b_rerun_20260622\public30\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,498,12,522,12,498,12,525,12,0,0,True,1.292552600003546,0.3987170000036713,0.25589629999012686,19.5078125,results_candidate\r7b_rerun_20260622\public30\tc_public_18\logs
