case,input_count,output_count,renamed_port_count,original_input_sample,renamed_input_sample,original_output_sample,renamed_output_sample,output_blif
tc_public_1,10,8,18,I0 I1 I2 I3 I4,r7pi_01_0000_hl7p0063rn r7pi_01_0001_9n3t1jxedl r7pi_01_0002_tylrj06i68 r7pi_01_0003_i6qsqduet7 r7pi_01_0004_u9m9kzukyx,O0 O1 O2 O3 O4,r7po_01_0000_dg8vd3xs1x r7po_01_0001_5b37d8pj99 r7po_01_0002_j7dnjet36a r7po_01_0003_q85mtt9qhs r7po_01_0004_plzua5wike,stress_data\r8_port_name_stress\cases\tc_public_1\input.blif
tc_public_10,36,32,68,n1 n4 n5 n6 n7,r7pi_02_0000_dqly6ciz1x r7pi_02_0001_d0sp3evjcu r7pi_02_0002_tofysbdmu2 r7pi_02_0003_ofbkzi81pj r7pi_02_0004_y7gkf9k8m4,n8 n10 n12 n14 n16,r7po_02_0000_u3yiku7tqv r7po_02_0001_fkewt729sn r7po_02_0002_l39chj0p6a r7po_02_0003_jvudyfkrup r7po_02_0004_hvxugalet7,stress_data\r8_port_name_stress\cases\tc_public_10\input.blif
tc_public_11,134,96,230,n0 n1 n3 n5 n7,r7pi_03_0000_tfrssaediy r7pi_03_0001_m9usr6efzv r7pi_03_0002_p3py8v8lcv r7pi_03_0003_ntz3mqa373 r7pi_03_0004_ws3rve49kh,n41 n52 n63 n74 n85,r7po_03_0000_mm5ljkmz8e r7po_03_0001_e35k1az9xg r7po_03_0002_1ufxaqm4rl r7po_03_0003_4ybpovb4bg r7po_03_0004_bcqdg67zo8,stress_data\r8_port_name_stress\cases\tc_public_11\input.blif
tc_public_12,406,532,938,n1 n6 n9 n18 n23,r7pi_04_0000_dv7m2loibw r7pi_04_0001_kvf6j7sson r7pi_04_0002_7k800vk0az r7pi_04_0003_5dx6w35owg r7pi_04_0004_cyspknboxg,n3 n7 n8 n14 n21,r7po_04_0000_3pkqh08xpy r7po_04_0001_xdpwq204gh r7po_04_0002_5bwgllxz7t r7po_04_0003_1j6mjvunl3 r7po_04_0004_zkth1fsy1u,stress_data\r8_port_name_stress\cases\tc_public_12\input.blif
tc_public_13,335,20,355,n6 n11 n15 n47 n48,r7pi_05_0000_ecnb37pjxe r7pi_05_0001_oc6p9efcc1 r7pi_05_0002_xxe1p3jf4e r7pi_05_0003_qxfm1vltdg r7pi_05_0004_bkuqsjny9k,n5 n18 n20 n22 n24,r7po_05_0000_7j0a6s1tpa r7po_05_0001_9koiclc9dt r7po_05_0002_bcsb0lm6w9 r7po_05_0003_7lho6yp8fg r7po_05_0004_zkavgsb5d7,stress_data\r8_port_name_stress\cases\tc_public_13\input.blif
tc_public_14,928,77,1005,n0 n1 n4 n20 n25,r7pi_06_0000_5pv73kese6 r7pi_06_0001_lc0xvjeqld r7pi_06_0002_nhs4wija8s r7pi_06_0003_msoftle0te r7pi_06_0004_ql9r1pj9vx,n5 n7 n9 n93 n100,r7po_06_0000_9saauwvrqh r7po_06_0001_js5fson9br r7po_06_0002_yrelrr8vdc r7po_06_0003_w00b9vprwa r7po_06_0004_fk4ktybk22,stress_data\r8_port_name_stress\cases\tc_public_14\input.blif
tc_public_15,31,32,63,n13 n16 n17 n21 n25,r7pi_07_0000_c0598o8khh r7pi_07_0001_cm8fioetpi r7pi_07_0002_yj05k0ptzs r7pi_07_0003_rdhvztjex5 r7pi_07_0004_pa95o5e08s,n39 n63 n78 n112 n124,r7po_07_0000_fyr0lowqig r7po_07_0001_xz0u0tmif8 r7po_07_0002_uwf6zfgns3 r7po_07_0003_b9fq2m581n r7po_07_0004_3j4irlaq8z,stress_data\r8_port_name_stress\cases\tc_public_15\input.blif
tc_public_16,8,5,13,n0 n1 n3 n17 n18,r7pi_08_0000_lxnjk9zyoc r7pi_08_0001_7va42sknkd r7pi_08_0002_pvv1widoga r7pi_08_0003_x8fjur1t71 r7pi_08_0004_qwr8ahxn8v,n14 n37 n41 n73 n91,r7po_08_0000_xlgkreujf8 r7po_08_0001_p36y0lblco r7po_08_0002_kwgy193fkn r7po_08_0003_u3q87qf22w r7po_08_0004_sl7mli4gpv,stress_data\r8_port_name_stress\cases\tc_public_16\input.blif
tc_public_17,16,6,22,n3 n4 n6 n7 n12,r7pi_09_0000_dg3mqsb4z9 r7pi_09_0001_urr8ftk4zj r7pi_09_0002_2hr156uxoe r7pi_09_0003_2hkalwsowz r7pi_09_0004_r7aw5wrlym,n40 n75 n95 n138 n163,r7po_09_0000_t1s5bu2dfv r7po_09_0001_mnjijmfrl1 r7po_09_0002_pgcvcuu2zq r7po_09_0003_d9sre3ol6a r7po_09_0004_mxlgxykh64,stress_data\r8_port_name_stress\cases\tc_public_17\input.blif
tc_public_18,64,8,72,n3 n27 n28 n30 n32,r7pi_10_0000_c783tds5kz r7pi_10_0001_vq9vskmzap r7pi_10_0002_2fk0806z1d r7pi_10_0003_bcqahnbfe1 r7pi_10_0004_0rxe75hn3j,n275 n399 n523 n647 n771,r7po_10_0000_1f4w5ivsju r7po_10_0001_rs5ua0xd7n r7po_10_0002_osbosmebyz r7po_10_0003_co25o0dfdn r7po_10_0004_c2mcx3v786,stress_data\r8_port_name_stress\cases\tc_public_18\input.blif
