case,clean_nodes,stress_nodes,node_mismatch,clean_levels,stress_levels,level_mismatch,clean_variant,stress_variant,variant_mismatch,clean_pipeline,stress_pipeline,pipeline_mismatch,stress_cec_pass,stress_status,stress_fallback_reason
tc_public_1,103,103,False,10,10,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_10,161,161,False,4,4,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_11,328,328,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_12,1385,1385,False,13,13,False,clean,clean,False,rewrite2@clean,rewrite2@clean,False,True,selected_candidate,
tc_public_13,1043,1043,False,13,13,False,clean,clean,False,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,False,True,selected_candidate,
tc_public_14,2156,2156,False,16,16,False,outputs,outputs,False,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,False,True,selected_candidate,
tc_public_15,922,922,False,11,11,False,clean,clean,False,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,False,True,selected_candidate,
tc_public_16,45,45,False,6,6,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_17,93,93,False,6,6,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_18,495,495,False,12,12,False,inputs,inputs,False,dc2_fast@inputs,dc2_fast@inputs,False,True,selected_candidate,
tc_public_19,5268,5268,False,18,18,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False,True,selected_candidate,
tc_public_2,19,19,False,4,4,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_20,5523,5523,False,20,20,False,inputs,inputs,False,high_aig_three_round@inputs,high_aig_three_round@inputs,False,True,selected_candidate,
tc_public_21,5532,5532,False,20,20,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False,True,selected_candidate,
tc_public_22,11001,11001,False,20,20,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False,True,selected_candidate,
tc_public_23,1530,1530,False,16,16,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_24,215,215,False,8,8,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_25,26,26,False,4,4,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_26,1046,1046,False,10,10,False,outputs,outputs,False,dc2_fast@outputs,dc2_fast@outputs,False,True,selected_candidate,
tc_public_27,376,376,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_28,520,520,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_29,109,109,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_3,108,108,False,8,8,False,outputs,outputs,False,sop_fx@outputs,sop_fx@outputs,False,True,selected_candidate,
tc_public_30,4806,4806,False,21,21,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False,True,selected_candidate,
tc_public_4,69,69,False,8,8,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_5,65,65,False,2,2,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False,True,selected_candidate,
tc_public_6,162,162,False,4,4,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_7,252,252,False,3,3,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_8,193,193,False,3,3,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
tc_public_9,224,224,False,5,5,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False,True,selected_candidate,
