"case","formal_nodes","preflight_nodes","node_delta_vs_formal","formal_levels","preflight_levels","level_delta_vs_formal","formal_pipeline","preflight_pipeline","chosen_variant"
"tc_public_1","103","103","0","10","10","0","","sop_fx@clean","clean"
"tc_public_10","161","161","0","4","4","0","","dc2_fast@clean","clean"
"tc_public_11","328","328","0","7","7","0","","dc2_fast@clean","clean"
"tc_public_12","1385","1385","0","13","13","0","","rewrite2@clean","clean"
"tc_public_13","1058","1043","-15","13","13","0","","r7b_r7win_fraig_high@clean","clean"
"tc_public_14","3514","2156","-1358","25","16","-9","","r7b_r7win_fraig_high@outputs","outputs"
"tc_public_15","927","922","-5","11","11","0","","r7b_r7win_fraig_high@clean","clean"
"tc_public_16","45","45","0","6","6","0","","dc2_fast@clean","clean"
"tc_public_17","93","93","0","6","6","0","","dc2_fast@clean","clean"
"tc_public_18","498","495","-3","12","12","0","","dc2_fast@inputs","inputs"
"tc_public_19","5277","5268","-9","18","18","0","","high_aig_three_round@both","both"
"tc_public_2","19","19","0","4","4","0","","sop_fx@clean","clean"
"tc_public_20","5538","5523","-15","20","20","0","","high_aig_three_round@inputs","inputs"
"tc_public_21","5556","5532","-24","20","20","0","","high_aig_three_round@both","both"
"tc_public_22","11049","11001","-48","20","20","0","","high_aig_three_round@both","both"
"tc_public_23","1530","1530","0","16","16","0","","dc2_fast@clean","clean"
"tc_public_24","215","215","0","8","8","0","","dc2_fast@clean","clean"
"tc_public_25","26","26","0","4","4","0","","dc2_fast@clean","clean"
"tc_public_26","1048","1046","-2","10","10","0","","dc2_fast@outputs","outputs"
"tc_public_27","376","376","0","7","7","0","","dc2_fast@clean","clean"
"tc_public_28","520","520","0","7","7","0","","dc2_fast@clean","clean"
"tc_public_29","109","109","0","7","7","0","","dc2_fast@clean","clean"
"tc_public_3","109","108","-1","8","8","0","","sop_fx@outputs","outputs"
"tc_public_30","5421","4806","-615","21","21","0","","high_aig_three_round@both","both"
"tc_public_4","69","69","0","8","8","0","","sop_fx@clean","clean"
"tc_public_5","65","65","0","2","2","0","","dc2_fast@clean","clean"
"tc_public_6","162","162","0","4","4","0","","sop_fx@clean","clean"
"tc_public_7","252","252","0","3","3","0","","sop_fx@clean","clean"
"tc_public_8","193","193","0","3","3","0","","sop_fx@clean","clean"
"tc_public_9","224","224","0","5","5","0","","sop_fx@clean","clean"
