original_case,stress_case,clean_nodes,stress_nodes,node_mismatch,clean_levels,stress_levels,level_mismatch,clean_variant,stress_variant,variant_mismatch,clean_pipeline,stress_pipeline,pipeline_mismatch
tc_public_1,hidden_00_d6x9ft32hq,103,103,False,10,10,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_10,hidden_01_2qt84rjgug,161,161,False,4,4,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_11,hidden_02_rzzk76qenc,328,328,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_12,hidden_03_5bfyk8pyfj,1385,1385,False,13,13,False,clean,clean,False,rewrite2@clean,rewrite2@clean,False
tc_public_13,hidden_04_e3v8q7xtey,1043,1043,False,13,13,False,clean,clean,False,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,False
tc_public_14,hidden_05_tuetvjwkjb,2156,2156,False,16,16,False,outputs,outputs,False,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,False
tc_public_15,hidden_06_m7cktmu9gu,922,922,False,11,11,False,clean,clean,False,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,False
tc_public_16,hidden_07_85fpmyf45p,45,45,False,6,6,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_17,hidden_08_vn9kbvcc2m,93,93,False,6,6,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_18,hidden_09_52b654qvba,495,495,False,12,12,False,inputs,inputs,False,dc2_fast@inputs,dc2_fast@inputs,False
tc_public_19,hidden_10_4t5r5pbn7f,5268,5268,False,18,18,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False
tc_public_2,hidden_11_f9yaer5zeq,19,19,False,4,4,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_20,hidden_12_6ushmyc5kr,5523,5523,False,20,20,False,inputs,inputs,False,high_aig_three_round@inputs,high_aig_three_round@inputs,False
tc_public_21,hidden_13_jdyh5m82qf,5532,5532,False,20,20,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False
tc_public_22,hidden_14_z9gqqu7qq3,11001,11001,False,20,20,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False
tc_public_23,hidden_15_xezqyc56xy,1530,1530,False,16,16,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_24,hidden_16_jfdhuzfc2b,215,215,False,8,8,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_25,hidden_17_9dzyvumb86,26,26,False,4,4,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_26,hidden_18_vrnkqn5swx,1046,1046,False,10,10,False,outputs,outputs,False,dc2_fast@outputs,dc2_fast@outputs,False
tc_public_27,hidden_19_artbu4xheu,376,376,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_28,hidden_20_uetxb38g2e,520,520,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_29,hidden_21_4vck5rt8wa,109,109,False,7,7,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_3,hidden_22_9x6jvusgk9,108,108,False,8,8,False,outputs,outputs,False,sop_fx@outputs,sop_fx@outputs,False
tc_public_30,hidden_23_y7kujdxwk2,4806,4806,False,21,21,False,both,both,False,high_aig_three_round@both,high_aig_three_round@both,False
tc_public_4,hidden_24_9h7fpz5maz,69,69,False,8,8,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_5,hidden_25_s6nefc9ann,65,65,False,2,2,False,clean,clean,False,dc2_fast@clean,dc2_fast@clean,False
tc_public_6,hidden_26_cybxnbgb2f,162,162,False,4,4,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_7,hidden_27_daje2bztg9,252,252,False,3,3,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_8,hidden_28_fd936a8m6g,193,193,False,3,3,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
tc_public_9,hidden_29_f8hsza5pan,224,224,False,5,5,False,clean,clean,False,sop_fx@clean,sop_fx@clean,False
