case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
hidden_00_d6x9ft32hq,stress_data\r8_random_case_names\cases\hidden_00_d6x9ft32hq\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_00_d6x9ft32hq\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_00_d6x9ft32hq\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_00_d6x9ft32hq\work\variants\clean\baseline.blif,103,10,142,8,103,10,207,13,0,0,True,0.810817,1.666231,1.094922,9.352,results_candidate\r8_formal_names_random_case_stress\public30\hidden_00_d6x9ft32hq\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_01_2qt84rjgug,stress_data\r8_random_case_names\cases\hidden_01_2qt84rjgug\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_01_2qt84rjgug\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_01_2qt84rjgug\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_01_2qt84rjgug\work\variants\clean\baseline.blif,161,4,161,4,161,4,192,5,0,0,True,1.057441,1.117679,1.071632,14.211,results_candidate\r8_formal_names_random_case_stress\public30\hidden_01_2qt84rjgug\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_02_rzzk76qenc,stress_data\r8_random_case_names\cases\hidden_02_rzzk76qenc\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_02_rzzk76qenc\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_02_rzzk76qenc\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_02_rzzk76qenc\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,1.047331,1.374117,1.068613,13.164,results_candidate\r8_formal_names_random_case_stress\public30\hidden_02_rzzk76qenc\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_03_5bfyk8pyfj,stress_data\r8_random_case_names\cases\hidden_03_5bfyk8pyfj\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_03_5bfyk8pyfj\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_03_5bfyk8pyfj\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_03_5bfyk8pyfj\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.222865,1.707459,1.135503,18.582,results_candidate\r8_formal_names_random_case_stress\public30\hidden_03_5bfyk8pyfj\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_04_e3v8q7xtey,stress_data\r8_random_case_names\cases\hidden_04_e3v8q7xtey\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_04_e3v8q7xtey\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_04_e3v8q7xtey\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_04_e3v8q7xtey\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.452189,4.146223,1.027781,19.449,results_candidate\r8_formal_names_random_case_stress\public30\hidden_04_e3v8q7xtey\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_05_tuetvjwkjb,stress_data\r8_random_case_names\cases\hidden_05_tuetvjwkjb\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_05_tuetvjwkjb\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_05_tuetvjwkjb\work\variants\outputs\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_05_tuetvjwkjb\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,4.262434,2.635927,1.150085,52.109,results_candidate\r8_formal_names_random_case_stress\public30\hidden_05_tuetvjwkjb\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
hidden_06_m7cktmu9gu,stress_data\r8_random_case_names\cases\hidden_06_m7cktmu9gu\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_06_m7cktmu9gu\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_06_m7cktmu9gu\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_06_m7cktmu9gu\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.46922,1.591696,1.079606,17.84,results_candidate\r8_formal_names_random_case_stress\public30\hidden_06_m7cktmu9gu\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_07_85fpmyf45p,stress_data\r8_random_case_names\cases\hidden_07_85fpmyf45p\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_07_85fpmyf45p\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_07_85fpmyf45p\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_07_85fpmyf45p\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.906661,0.977873,1.028369,9.031,results_candidate\r8_formal_names_random_case_stress\public30\hidden_07_85fpmyf45p\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_08_vn9kbvcc2m,stress_data\r8_random_case_names\cases\hidden_08_vn9kbvcc2m\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_08_vn9kbvcc2m\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_08_vn9kbvcc2m\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_08_vn9kbvcc2m\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.897832,0.984072,0.978561,9.047,results_candidate\r8_formal_names_random_case_stress\public30\hidden_08_vn9kbvcc2m\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_09_52b654qvba,stress_data\r8_random_case_names\cases\hidden_09_52b654qvba\input.blif,dc2_fast,dc2_fast@inputs,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_09_52b654qvba\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_09_52b654qvba\work\variants\inputs\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_09_52b654qvba\work\variants\inputs\baseline.blif,495,12,522,12,495,12,525,12,0,0,True,4.783149,2.896823,1.06053,19.684,results_candidate\r8_formal_names_random_case_stress\public30\hidden_09_52b654qvba\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
