case,chosen_variant,clean_nodes,chosen_nodes,node_gain_vs_clean,clean_levels,chosen_levels,level_delta_vs_clean,chosen_pipeline,chosen_status,chosen_cec_pass,source_output
tc_public_1,clean,103,103,0,10,10,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_1\output.blif
tc_public_10,clean,161,161,0,4,4,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_10\output.blif
tc_public_11,clean,328,328,0,7,7,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_11\output.blif
tc_public_12,clean,1385,1385,0,13,13,0,rewrite2,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_12\output.blif
tc_public_13,clean,1043,1043,0,13,13,0,r7b_r7win_fraig_high,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_13\output.blif
tc_public_14,outputs,2223,2188,35,17,17,0,r7b_r7win_fraig_high,selected_candidate,True,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_14\output.blif
tc_public_15,clean,922,922,0,11,11,0,r7b_r7win_fraig_high,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_15\output.blif
tc_public_16,clean,45,45,0,6,6,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_16\output.blif
tc_public_17,clean,93,93,0,6,6,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_17\output.blif
tc_public_18,outputs,498,495,3,12,12,0,dc2_fast,selected_candidate,True,results_candidate\r7b_port_order_outputs_stress\public30\tc_public_18\output.blif
tc_public_19,clean,5277,5277,0,18,18,0,high_aig_three_round,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_19\output.blif
tc_public_2,clean,19,19,0,4,4,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_2\output.blif
tc_public_20,inputs,5538,5526,12,20,20,0,high_aig_three_round,selected_candidate,True,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_20\output.blif
tc_public_21,inputs,5556,5544,12,20,20,0,high_aig_three_round,selected_candidate,True,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_21\output.blif
tc_public_22,inputs,11049,11010,39,20,20,0,high_aig_three_round,selected_candidate,True,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_22\output.blif
tc_public_23,clean,1530,1530,0,16,16,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_23\output.blif
tc_public_24,clean,215,215,0,8,8,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_24\output.blif
tc_public_25,clean,26,26,0,4,4,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_25\output.blif
tc_public_26,clean,1048,1048,0,10,10,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_26\output.blif
tc_public_27,clean,376,376,0,7,7,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_27\output.blif
tc_public_28,clean,520,520,0,7,7,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_28\output.blif
tc_public_29,clean,109,109,0,7,7,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_29\output.blif
tc_public_3,both,109,107,2,8,8,0,sop_fx,selected_candidate,True,results_candidate\r7b_port_order_stress\public30\tc_public_3\output.blif
tc_public_30,both,5421,5236,185,21,21,0,high_aig_three_round,selected_candidate,True,results_candidate\r7b_port_order_stress\public30\tc_public_30\output.blif
tc_public_4,inputs,69,65,4,8,7,-1,sop_fx,selected_candidate,True,results_candidate\r7b_port_order_inputs_stress\public30\tc_public_4\output.blif
tc_public_5,clean,65,65,0,2,2,0,dc2_fast,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_5\output.blif
tc_public_6,clean,162,162,0,4,4,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_6\output.blif
tc_public_7,clean,252,252,0,3,3,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_7\output.blif
tc_public_8,clean,193,193,0,3,3,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_8\output.blif
tc_public_9,clean,224,224,0,5,5,0,sop_fx,selected_candidate,True,results_candidate\r7b_pure_clean\public30\tc_public_9\output.blif
