case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
anon_001,data\tc_public_anon_r7b_stress\anon_001\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_001\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_001\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_001\work\variants\clean\baseline.blif,103,10,142,8,103,10,207,13,0,0,True,0.748846,1.536835,0.970494,9.348,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_001\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_002,data\tc_public_anon_r7b_stress\anon_002\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_002\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_002\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_002\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.771162,1.55637,0.997055,9.277,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_002\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_003,data\tc_public_anon_r7b_stress\anon_003\input.blif,sop_fx,sop_fx@outputs,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_003\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_003\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_003\work\variants\outputs\baseline.blif,108,8,157,11,108,8,208,13,0,0,True,0.794153,1.718252,1.061755,9.34,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_003\work\logs,outputs,"clean,inputs,outputs,both",0,0
anon_004,data\tc_public_anon_r7b_stress\anon_004\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_004\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_004\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_004\work\variants\clean\baseline.blif,69,8,115,9,69,8,145,12,0,0,True,0.831257,1.579804,1.026261,9.352,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_004\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_005,data\tc_public_anon_r7b_stress\anon_005\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_005\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_005\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_005\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.866106,0.971593,0.973304,9.465,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_005\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_006,data\tc_public_anon_r7b_stress\anon_006\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_006\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_006\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_006\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.792586,1.527499,0.980248,9.598,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_006\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_007,data\tc_public_anon_r7b_stress\anon_007\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_007\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_007\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_007\work\variants\clean\baseline.blif,252,3,252,3,252,3,252,3,0,0,True,0.758483,1.487227,1.131449,9.668,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_007\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_008,data\tc_public_anon_r7b_stress\anon_008\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_008\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_008\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_008\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.743526,1.59321,1.040842,9.609,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_008\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_009,data\tc_public_anon_r7b_stress\anon_009\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_009\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_009\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_009\work\variants\clean\baseline.blif,224,5,224,5,224,5,224,5,0,0,True,0.860672,1.562674,1.044962,9.582,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_009\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_010,data\tc_public_anon_r7b_stress\anon_010\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_010\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_010\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_010\work\variants\clean\baseline.blif,161,4,161,4,161,4,192,5,0,0,True,0.895224,0.970759,0.965958,14.91,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_010\work\logs,clean,"clean,inputs,outputs,both",0,0
