case,formal_nodes,clean_r7b_nodes,old_online_nodes,singlecase_nodes,singlecase_vs_formal_gain,singlecase_vs_clean_gain,singlecase_vs_old_online_gain,formal_levels,clean_r7b_levels,singlecase_levels,chosen_variant,selected_pipeline,selector_reason,cec_pass,status,fallback_reason,inner_fallback_count,original_cec_fail_count,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb
tc_public_1,103,103,103,103,0,0,0,10,10,10,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.782564,1.501452,0.987062,9.344
tc_public_10,161,161,161,161,0,0,0,4,4,4,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.890319,0.991262,1.055272,11.906
tc_public_11,328,328,328,328,0,0,0,7,7,7,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,1.029534,1.19341,1.007312,17.941
tc_public_12,1385,1385,1385,1385,0,0,0,13,13,13,clean,rewrite2@clean,medium_rewrite_cleanup,True,selected_candidate,,0,0,1.009132,1.406221,1.041359,18.559
tc_public_13,1058,1043,1043,1043,15,0,0,13,13,13,clean,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,True,selected_candidate,,0,0,1.397648,3.895569,0.992701,20.992
tc_public_14,3514,2223,2188,2156,1358,67,32,25,17,16,outputs,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,True,selected_candidate,,0,0,3.785261,2.438866,1.109971,52.141
tc_public_15,927,922,922,922,5,0,0,11,11,11,clean,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,True,selected_candidate,,0,0,1.385429,1.622661,1.008188,17.883
tc_public_16,45,45,45,45,0,0,0,6,6,6,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.822421,0.967767,1.0784,11.512
tc_public_17,93,93,93,93,0,0,0,6,6,6,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.817437,0.928743,1.120513,9.016
tc_public_18,498,498,495,495,3,3,0,12,12,12,inputs,dc2_fast@inputs,default,True,selected_candidate,,0,0,4.505429,2.856433,1.010886,19.758
tc_public_19,5277,5277,5277,5268,9,9,9,18,18,18,both,high_aig_three_round@both,large_runtime_aig_high_effort,True,selected_candidate,,0,0,59.99467,16.017931,1.108972,27.887
tc_public_2,19,19,19,19,0,0,0,4,4,4,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.760368,1.490854,0.99181,9.277
tc_public_20,5538,5538,5526,5523,15,15,3,20,20,20,inputs,high_aig_three_round@inputs,large_runtime_aig_high_effort,True,selected_candidate,,0,0,63.392015,17.489715,1.139951,28.109
tc_public_21,5556,5556,5544,5532,24,24,12,20,20,20,both,high_aig_three_round@both,large_runtime_aig_high_effort,True,selected_candidate,,0,0,63.957709,17.413917,1.112137,28.137
tc_public_22,11049,11049,11010,11001,48,48,9,20,20,20,both,high_aig_three_round@both,large_runtime_aig_high_effort,True,selected_candidate,,0,0,120.776343,32.84802,1.340265,35.121
tc_public_23,1530,1530,1530,1530,0,0,0,16,16,16,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,1.295437,1.22124,0.995179,16.133
tc_public_24,215,215,215,215,0,0,0,8,8,8,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.873594,0.981422,1.088265,14.461
tc_public_25,26,26,26,26,0,0,0,4,4,4,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.802701,0.948385,0.948259,9.219
tc_public_26,1048,1048,1048,1046,2,2,2,10,10,10,outputs,dc2_fast@outputs,default,True,selected_candidate,,0,0,1.174424,1.525543,1.004427,17.914
tc_public_27,376,376,376,376,0,0,0,7,7,7,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.929922,1.05977,0.948402,15.125
tc_public_28,520,520,520,520,0,0,0,7,7,7,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,1.032821,1.182905,0.936327,17.211
tc_public_29,109,109,109,109,0,0,0,7,7,7,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.890709,0.985639,0.98863,12.078
tc_public_3,109,109,107,108,1,1,-1,8,8,8,outputs,sop_fx@outputs,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.715733,1.546318,0.966462,10.602
tc_public_30,5421,5421,5236,4806,615,615,430,21,21,21,both,high_aig_three_round@both,large_runtime_aig_high_effort,True,selected_candidate,,0,0,6.732239,31.967791,1.092379,34.84
tc_public_4,69,69,65,69,0,0,-4,8,8,8,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.711945,1.503964,0.934201,9.344
tc_public_5,65,65,65,65,0,0,0,2,2,2,clean,dc2_fast@clean,default,True,selected_candidate,,0,0,0.806091,0.991663,1.068719,9.477
tc_public_6,162,162,162,162,0,0,0,4,4,4,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.742986,1.518678,0.982805,9.562
tc_public_7,252,252,252,252,0,0,0,3,3,3,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.730109,1.383325,0.985033,9.645
tc_public_8,193,193,193,193,0,0,0,3,3,3,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.748985,1.555652,0.938536,9.629
tc_public_9,224,224,224,224,0,0,0,5,5,5,clean,sop_fx@clean,tiny_high_fanin_sop,True,selected_candidate,,0,0,0.762566,1.531521,0.984554,9.578
