case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
case_095oues3rg,data\tc_public_rand_r7b_stress\case_095oues3rg\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_095oues3rg\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_095oues3rg\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_095oues3rg\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.752448,1.529155,1.041175,9.598,results_candidate\r8_order_choosebest_singlecase_random\public30\case_095oues3rg\work\logs,clean,"clean,inputs,outputs,both",0,0
case_3ycwlkaj3j,data\tc_public_rand_r7b_stress\case_3ycwlkaj3j\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_3ycwlkaj3j\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_3ycwlkaj3j\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_3ycwlkaj3j\work\variants\clean\baseline.blif,252,3,252,3,252,3,252,3,0,0,True,0.857664,1.419251,0.926985,10.621,results_candidate\r8_order_choosebest_singlecase_random\public30\case_3ycwlkaj3j\work\logs,clean,"clean,inputs,outputs,both",0,0
case_5b37d8pj99,data\tc_public_rand_r7b_stress\case_5b37d8pj99\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_5b37d8pj99\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_5b37d8pj99\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_5b37d8pj99\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.075247,1.371766,1.036035,15.328,results_candidate\r8_order_choosebest_singlecase_random\public30\case_5b37d8pj99\work\logs,clean,"clean,inputs,outputs,both",0,0
case_8tz3kmgxq8,data\tc_public_rand_r7b_stress\case_8tz3kmgxq8\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_8tz3kmgxq8\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_8tz3kmgxq8\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_8tz3kmgxq8\work\variants\both\baseline.blif,4806,21,7476,22,4806,21,14139,1036,0,0,True,6.601235,31.444458,1.137589,34.746,results_candidate\r8_order_choosebest_singlecase_random\public30\case_8tz3kmgxq8\work\logs,both,"clean,inputs,outputs,both",0,0
case_9n3t1jxedl,data\tc_public_rand_r7b_stress\case_9n3t1jxedl\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_9n3t1jxedl\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_9n3t1jxedl\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_9n3t1jxedl\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.782695,1.529225,1.036124,9.344,results_candidate\r8_order_choosebest_singlecase_random\public30\case_9n3t1jxedl\work\logs,clean,"clean,inputs,outputs,both",0,0
case_bxwfcxdndl,data\tc_public_rand_r7b_stress\case_bxwfcxdndl\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_bxwfcxdndl\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_bxwfcxdndl\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_bxwfcxdndl\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.824654,0.93776,0.958589,9.023,results_candidate\r8_order_choosebest_singlecase_random\public30\case_bxwfcxdndl\work\logs,clean,"clean,inputs,outputs,both",0,0
case_d0sp3evjcu,data\tc_public_rand_r7b_stress\case_d0sp3evjcu\input.blif,high_aig_three_round,high_aig_three_round@inputs,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d0sp3evjcu\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d0sp3evjcu\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d0sp3evjcu\work\variants\inputs\baseline.blif,5523,20,5667,20,5523,20,5742,20,0,0,True,62.20754,16.989036,1.262274,28.305,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d0sp3evjcu\work\logs,inputs,"clean,inputs,outputs,both",0,0
case_d4glr802e7,data\tc_public_rand_r7b_stress\case_d4glr802e7\input.blif,dc2_fast,dc2_fast@outputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d4glr802e7\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d4glr802e7\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d4glr802e7\work\variants\outputs\baseline.blif,1046,10,1064,10,1046,10,1064,32,0,0,True,1.138874,1.548717,0.990732,17.934,results_candidate\r8_order_choosebest_singlecase_random\public30\case_d4glr802e7\work\logs,outputs,"clean,inputs,outputs,both",0,0
case_dg8vd3xs1x,data\tc_public_rand_r7b_stress\case_dg8vd3xs1x\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dg8vd3xs1x\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dg8vd3xs1x\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dg8vd3xs1x\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.917274,1.148162,0.964093,17.844,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dg8vd3xs1x\work\logs,clean,"clean,inputs,outputs,both",0,0
case_dqly6ciz1x,data\tc_public_rand_r7b_stress\case_dqly6ciz1x\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dqly6ciz1x\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dqly6ciz1x\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dqly6ciz1x\work\variants\both\baseline.blif,5268,18,5409,18,5268,18,5478,18,0,0,True,59.362905,15.520851,1.175462,27.992,results_candidate\r8_order_choosebest_singlecase_random\public30\case_dqly6ciz1x\work\logs,both,"clean,inputs,outputs,both",0,0
