case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
tc_public_12,data\tc_public\tc_public_12\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_12\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_12\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_12\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.062194,1.430665,1.068426,18.586,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_14,data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_14\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_14\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_14\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.907348,2.490038,1.105159,52.105,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_15,data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_15\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_15\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_15\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.427115,1.576828,0.970107,17.832,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_16,data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_16\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_16\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_16\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.835364,0.925626,0.967402,9.016,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_16\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_21,data\tc_public\tc_public_21\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_21\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_21\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_21\work\variants\both\baseline.blif,5532,20,5688,20,5532,20,5763,20,0,0,True,63.996003,17.823894,1.110786,28.121,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_21\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_22,data\tc_public\tc_public_22\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_22\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_22\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_22\work\variants\both\baseline.blif,11001,20,11274,20,11001,20,11367,20,0,0,True,122.96539,34.233998,1.277829,35.309,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_22\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_23,data\tc_public\tc_public_23\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_23\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_23\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_23\work\variants\clean\baseline.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,1.367129,1.20762,1.027671,16.402,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_23\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_28,data\tc_public\tc_public_28\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_28\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_28\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_28\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,0.982624,1.121621,0.96732,17.184,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_30,data\tc_public\tc_public_30\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_30\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_30\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_30\work\variants\both\baseline.blif,4806,21,7476,22,4806,21,14139,1036,0,0,True,6.685614,33.07507,1.140354,34.652,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_30\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_7,data\tc_public\tc_public_7\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_7\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_7\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_7\work\variants\clean\baseline.blif,252,3,252,3,252,3,252,3,0,0,True,0.76542,1.419741,1.101289,9.645,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_9,data\tc_public\tc_public_9\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_9\output.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_9\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_9\work\variants\clean\baseline.blif,224,5,224,5,224,5,224,5,0,0,True,0.774997,1.480816,1.000804,9.543,results_candidate\r8_order_choosebest_singlecase\smoke_public\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0
