key,value
scratch_package_path,results_candidate/r8_packaging_explicit_reports_dry_run_20260622/submit_like
scratch_package_retained,false
package_submit_explicit_report_args,true
file_count,1732
bytes,70586973
output_cases,30
packaged_cec_equivalent,30
packaged_cec_not_equivalent,0
packaged_cec_non_rc_cannot_open,0
packaged_final_metrics_rows,30
packaged_final_metrics_nodes,43775
packaged_final_metrics_max_level,21
packaged_final_metrics_cec_pass,30
packaged_final_metrics_fallback,0
packaged_final_scoreboard_bytes,8916
packaged_failure_cases_unresolved,0
packaged_failure_cases_fallback,0
packaged_abc_sha256,85F59E6291A1C4B10B757BF163D14D2152EAA974B21BC6F4E13F44EC49969805
candidate_abc_sha256,85F59E6291A1C4B10B757BF163D14D2152EAA974B21BC6F4E13F44EC49969805
packaged_metrics_sha256,0AFA2CF60837A09B58FD2C5E1AEB9711DD2930936D9EE8A701D42FB9928C4BFF
candidate_metrics_sha256,0AFA2CF60837A09B58FD2C5E1AEB9711DD2930936D9EE8A701D42FB9928C4BFF
packaged_cec_log_sha256,C3C6CB3372EC87F2EC871A247ABF70986E0EE553B54CF1B3034C72BEA63C2C5D
candidate_cec_log_sha256,C3C6CB3372EC87F2EC871A247ABF70986E0EE553B54CF1B3034C72BEA63C2C5D
packaged_failure_cases_sha256,AEEB8E27436CD54252AE025D958B8F21BC4926AA108FABB0A39F57F0EED95545
candidate_failure_cases_sha256,AEEB8E27436CD54252AE025D958B8F21BC4926AA108FABB0A39F57F0EED95545
packaged_scoreboard_sha256,D42FA539055F5B97DA377CAB2CD07F06B22BAB6242940F6D2C0FAE773FA8B26C
candidate_scoreboard_sha256,D42FA539055F5B97DA377CAB2CD07F06B22BAB6242940F6D2C0FAE773FA8B26C
official_submit_generated,false
zip_generated,false
