key,value
scratch_package_path,results_candidate/r8_packaging_scratch_dry_run_20260622/submit_like
scratch_package_retained,false
file_count,1732
bytes,70576239
output_cases,30
packaged_cec_equivalent,30
packaged_cec_not_equivalent,0
packaged_cec_non_rc_cannot_open,0
packaged_abc_sha256,85F59E6291A1C4B10B757BF163D14D2152EAA974B21BC6F4E13F44EC49969805
candidate_abc_sha256,85F59E6291A1C4B10B757BF163D14D2152EAA974B21BC6F4E13F44EC49969805
packaged_selector_sha256,06F2B70FBA7F6E1528B8FA291C88AFB31382D85635EA2FD9D427247F4744BF8F
candidate_selector_sha256,06F2B70FBA7F6E1528B8FA291C88AFB31382D85635EA2FD9D427247F4744BF8F
packaged_pipelines_sha256,1E77CB18374559E8AC56EBCD6644427A908AE1A0926D609653F6CD1D3DF0F22B
candidate_pipelines_sha256,1E77CB18374559E8AC56EBCD6644427A908AE1A0926D609653F6CD1D3DF0F22B
r8_metrics_cases,30
r8_metrics_nodes,43775
r8_metrics_max_level,21
r8_metrics_cec_pass,30
r8_metrics_fallback,0
r8_metrics_inner_fallback,0
packaged_report_rows,30
packaged_report_nodes,45870
packaged_report_max_level,25
official_submit_generated,false
zip_generated,false
