case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
tc_public_1,local_data\tc_public\tc_public_1\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_1\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_1\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_1\work\variants\clean\baseline.blif,103,10,142,8,103,10,207,13,0,0,True,0.738648,1.555451,1.152004,9.332,results_candidate\r8_release_like_ascii\public30\tc_public_1\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_10,local_data\tc_public\tc_public_10\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_10\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_10\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_10\work\variants\clean\baseline.blif,161,4,161,4,161,4,192,5,0,0,True,0.861909,0.940626,0.940989,10.754,results_candidate\r8_release_like_ascii\public30\tc_public_10\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_11,local_data\tc_public\tc_public_11\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_11\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_11\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_11\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.955883,1.205636,0.985798,17.852,results_candidate\r8_release_like_ascii\public30\tc_public_11\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_12,local_data\tc_public\tc_public_12\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_12\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_12\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_12\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.124447,1.470568,1.011825,18.605,results_candidate\r8_release_like_ascii\public30\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_13,local_data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_13\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_13\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_13\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.38244,3.745068,1.058958,19.453,results_candidate\r8_release_like_ascii\public30\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_14,local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_14\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_14\work\variants\outputs\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_14\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.819737,2.48174,1.103357,52.191,results_candidate\r8_release_like_ascii\public30\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
tc_public_15,local_data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_15\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_15\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_15\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.435255,1.588484,0.975966,17.863,results_candidate\r8_release_like_ascii\public30\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_16,local_data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_16\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_16\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_16\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.857049,0.932161,0.92763,10.84,results_candidate\r8_release_like_ascii\public30\tc_public_16\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_17,local_data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_17\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_17\work\variants\clean\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_17\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.750176,0.898982,0.979055,9.043,results_candidate\r8_release_like_ascii\public30\tc_public_17\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_18,local_data\tc_public\tc_public_18\input.blif,dc2_fast,dc2_fast@inputs,default,selected_candidate,,results_candidate\r8_release_like_ascii\public30\tc_public_18\output.blif,results_candidate\r8_release_like_ascii\public30\tc_public_18\work\variants\inputs\output.candidate.blif,results_candidate\r8_release_like_ascii\public30\tc_public_18\work\variants\inputs\baseline.blif,495,12,522,12,495,12,525,12,0,0,True,4.602443,2.831484,1.008585,19.812,results_candidate\r8_release_like_ascii\public30\tc_public_18\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
