case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,names_bin,cubes_bin,outputs_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,level_bin,runtime_size_bin,selected_pipeline,selector_reason,current_final_pipeline
tc_public_1,data\tc_public\tc_public_1\input.blif,10,8,8,76,10,10.000,0,0,0,0,8,0.000,9.500,true,false,tiny,pi_tiny,po_small,names_tiny,cubes_tiny,po_small,fanin_9p,avg_fanin_high,two_ratio_low,level_small,runtime_tiny,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_10,data\tc_public\tc_public_10\input.blif,36,32,128,192,2,2.000,0,0,128,0,0,1.000,1.500,false,true,small,pi_small,po_medium,names_small,cubes_tiny,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_tiny,runtime_small,dc2_fast,default,dc2_fast
tc_public_11,data\tc_public\tc_public_11\input.blif,134,96,1068,1358,2,1.996,0,4,1064,0,0,0.996,1.272,false,true,medium,pi_medium,po_medium,names_medium,cubes_small,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_small,runtime_medium,dc2_fast,default,dc2_fast
tc_public_12,data\tc_public\tc_public_12\input.blif,406,532,1840,2425,2,1.810,0,350,1490,0,0,0.810,1.318,false,false,medium,pi_large,po_large,names_medium,cubes_medium,po_large,fanin_le2,avg_fanin_aigish,two_ratio_mid,level_medium,runtime_medium,rewrite2,medium_rewrite_cleanup,rewrite2
tc_public_13,data\tc_public\tc_public_13\input.blif,335,20,576,1340,4,2.186,0,12,503,61,0,0.873,2.326,false,false,small,pi_large,po_small,names_small,cubes_small,po_small,fanin_3_4,avg_fanin_mid,two_ratio_high,level_medium,runtime_small,dc2_fast,default,dc2_fast
tc_public_14,data\tc_public\tc_public_14\input.blif,928,77,6567,8325,2,1.973,0,179,6388,0,0,0.973,1.268,false,true,large,pi_large,po_medium,names_large,cubes_medium,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_very_high,level_high,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_15,data\tc_public\tc_public_15\input.blif,31,32,936,1368,2,1.995,0,5,931,0,0,0.995,1.462,false,true,small,pi_small,po_medium,names_small,cubes_small,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_16,data\tc_public\tc_public_16\input.blif,8,5,84,97,2,1.536,0,39,45,0,0,0.536,1.155,false,false,tiny,pi_tiny,po_tiny,names_tiny,cubes_tiny,po_tiny,fanin_le2,avg_fanin_low,two_ratio_low,level_small,runtime_tiny,dc2_fast,default,dc2_fast
tc_public_17,data\tc_public\tc_public_17\input.blif,16,6,180,202,2,1.517,0,87,93,0,0,0.517,1.122,false,false,small,pi_small,po_tiny,names_small,cubes_small,po_tiny,fanin_le2,avg_fanin_low,two_ratio_low,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_18,data\tc_public\tc_public_18\input.blif,64,8,1018,1521,2,1.996,2,0,1016,0,0,0.998,1.494,false,true,medium,pi_medium,po_small,names_medium,cubes_small,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_medium,runtime_medium,dc2_fast,default,dc2_fast
tc_public_19,data\tc_public\tc_public_19\input.blif,512,11,11255,16875,2,2.000,2,0,11253,0,0,1.000,1.499,false,true,large,pi_large,po_small,names_large,cubes_large,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_medium,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_2,data\tc_public\tc_public_2\input.blif,6,5,5,19,6,4.400,0,0,0,4,1,0.000,3.800,true,false,tiny,pi_tiny,po_tiny,names_tiny,cubes_tiny,po_tiny,fanin_5_8,avg_fanin_high,two_ratio_low,level_tiny,runtime_tiny,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_20,data\tc_public\tc_public_20\input.blif,532,11,11695,17535,2,2.000,2,0,11693,0,0,1.000,1.499,false,true,large,pi_large,po_small,names_large,cubes_large,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_high,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_21,data\tc_public\tc_public_21\input.blif,534,11,11739,17601,2,2.000,2,0,11737,0,0,1.000,1.499,false,true,large,pi_large,po_small,names_large,cubes_large,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_high,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_22,data\tc_public\tc_public_22\input.blif,1024,12,24566,36841,2,2.000,2,0,24564,0,0,1.000,1.500,false,true,large,pi_large,po_small,names_large,cubes_large,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_high,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_23,data\tc_public\tc_public_23\input.blif,520,2,1538,2048,2,1.995,0,8,1530,0,0,0.995,1.332,false,true,medium,pi_large,po_tiny,names_medium,cubes_medium,po_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_medium,runtime_medium,dc2_fast,default,dc2_fast
tc_public_24,data\tc_public\tc_public_24\input.blif,104,9,228,318,2,1.978,0,5,223,0,0,0.978,1.395,false,true,small,pi_medium,po_small,names_small,cubes_small,po_small,fanin_le2,avg_fanin_aigish,two_ratio_very_high,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_25,data\tc_public\tc_public_25\input.blif,15,9,107,143,2,1.944,0,6,101,0,0,0.944,1.336,false,true,small,pi_tiny,po_small,names_small,cubes_tiny,po_small,fanin_le2,avg_fanin_aigish,two_ratio_high,level_tiny,runtime_small,dc2_fast,default,dc2_fast
