case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_1,data\tc_public\tc_public_1\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_1\output.blif,results\sharecone_v2\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,141,9,142,8,141,9,207,13,0,0,True,0.08720599999651313,0.08164260000921786,0.14664369996171445,10.39453125,results\sharecone_v2\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_10\output.blif,results\sharecone_v2\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.08071909996215254,0.06108940008562058,0.1213690999429673,10.640625,results\sharecone_v2\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_11\output.blif,results\sharecone_v2\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,1064,6,1064,6,1064,6,0,0,True,0.09611719998065382,0.08075029996689409,0.142510800040327,10.953125,results\sharecone_v2\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_12\output.blif,results\sharecone_v2\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1403,13,1407,13,1403,13,1482,15,0,0,True,0.09969709999859333,0.08192459994461387,0.12652469996828586,10.90625,results\sharecone_v2\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_13\output.blif,results\sharecone_v2\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1063,13,1130,14,1063,13,1284,17,0,0,True,0.09710239991545677,0.19173540000338107,0.1279304000781849,15.8984375,results\sharecone_v2\tc_public_13\logs
tc_public_14,data\tc_public\tc_public_14\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_14\output.blif,results\sharecone_v2\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,2475,19,4474,26,2475,19,6388,29,0,0,True,0.3109165000496432,0.14303359994664788,0.12845580000430346,19.50390625,results\sharecone_v2\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_15\output.blif,results\sharecone_v2\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,928,10,928,10,928,10,931,12,0,0,True,0.10284519998822361,0.10533620009664446,0.1474528000690043,10.453125,results\sharecone_v2\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_16\output.blif,results\sharecone_v2\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.0846964999800548,0.06665749999228865,0.1306656999513507,10.1875,results\sharecone_v2\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_17\output.blif,results\sharecone_v2\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.08761219994630665,0.06412530003581196,0.13173110003117472,10.2109375,results\sharecone_v2\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,sharecone_v2,sharecone_v2,selected_candidate,,results\sharecone_v2\tc_public_18\output.blif,results\sharecone_v2\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,522,12,522,12,522,12,525,12,0,0,True,0.08675869996659458,0.12225610006134957,0.12909289996605366,12.3515625,results\sharecone_v2\tc_public_18\logs
