"anon_case","original_case"
"anon_001","tc_public_1"
"anon_002","tc_public_2"
"anon_003","tc_public_3"
"anon_004","tc_public_4"
"anon_005","tc_public_5"
"anon_006","tc_public_6"
"anon_007","tc_public_7"
"anon_008","tc_public_8"
"anon_009","tc_public_9"
"anon_010","tc_public_10"
"anon_011","tc_public_11"
"anon_012","tc_public_12"
"anon_013","tc_public_13"
"anon_014","tc_public_14"
"anon_015","tc_public_15"
"anon_016","tc_public_16"
"anon_017","tc_public_17"
"anon_018","tc_public_18"
"anon_019","tc_public_19"
"anon_020","tc_public_20"
"anon_021","tc_public_21"
"anon_022","tc_public_22"
"anon_023","tc_public_23"
"anon_024","tc_public_24"
"anon_025","tc_public_25"
"anon_026","tc_public_26"
"anon_027","tc_public_27"
"anon_028","tc_public_28"
"anon_029","tc_public_29"
"anon_030","tc_public_30"
