case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,outputs_bin,names_bin,cubes_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,runtime_size_bin
anon_001,data\tc_public_anon_r7b_stress\anon_001\input.blif,10,8,8,76,10,10.000,0,0,0,0,8,0.000,9.500,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
anon_002,data\tc_public_anon_r7b_stress\anon_002\input.blif,6,5,5,19,6,4.400,0,0,0,4,1,0.000,3.800,true,false,tiny,pi_tiny,po_tiny,po_tiny,names_tiny,cubes_tiny,fanin_5_8,avg_fanin_high,two_ratio_low,runtime_tiny
anon_003,data\tc_public_anon_r7b_stress\anon_003\input.blif,10,8,8,47,10,10.000,0,0,0,0,8,0.000,5.875,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
anon_004,data\tc_public_anon_r7b_stress\anon_004\input.blif,10,8,8,32,10,10.000,0,0,0,0,8,0.000,4.000,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
anon_005,data\tc_public_anon_r7b_stress\anon_005\input.blif,66,64,128,128,2,2.000,0,0,128,0,0,1.000,1.000,false,true,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small
anon_006,data\tc_public_anon_r7b_stress\anon_006\input.blif,67,32,128,224,3,2.500,0,0,64,64,0,0.500,1.750,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_small,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small
anon_007,data\tc_public_anon_r7b_stress\anon_007\input.blif,130,63,127,191,3,2.504,0,0,63,64,0,0.496,1.504,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small
anon_008,data\tc_public_anon_r7b_stress\anon_008\input.blif,67,96,129,161,3,2.248,0,0,97,32,0,0.752,1.248,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_small
anon_009,data\tc_public_anon_r7b_stress\anon_009\input.blif,67,32,96,160,3,2.333,0,0,64,32,0,0.667,1.667,true,false,tiny,pi_medium,po_medium,po_medium,names_tiny,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_tiny
anon_010,data\tc_public_anon_r7b_stress\anon_010\input.blif,36,32,128,192,2,2.000,0,0,128,0,0,1.000,1.500,false,true,small,pi_small,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small
