case,mode,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_1,inputs,10,8,True,False,I0 I1 I2 I3 I4 I5 I6 I7,I8 I2 I3 I4 I1 I9 I0 I7,O0 O1 O2 O3 O4 O5 O6 O7,O0 O1 O2 O3 O4 O5 O6 O7,data\tc_public_portorder_inputs_r7b_stress\tc_public_1\input.blif
tc_public_10,inputs,36,32,True,False,n1 n4 n5 n6 n7 n133 n134 n135,n147 n158 n157 n145 n153 n134 n141 n150,n8 n10 n12 n14 n16 n18 n20 n22,n8 n10 n12 n14 n16 n18 n20 n22,data\tc_public_portorder_inputs_r7b_stress\tc_public_10\input.blif
tc_public_11,inputs,134,96,True,False,n0 n1 n3 n5 n7 n9 n11 n16,n1185 n1145 n1092 n1124 n1199 n1178 n1158 n1083,n41 n52 n63 n74 n85 n96 n107 n118,n41 n52 n63 n74 n85 n96 n107 n118,data\tc_public_portorder_inputs_r7b_stress\tc_public_11\input.blif
tc_public_12,inputs,406,532,True,False,n1 n6 n9 n18 n23 n38 n47 n59,n1667 n814 n1903 n1597 n1437 n1792 n986 n2192,n3 n7 n8 n14 n21 n26 n29 n34,n3 n7 n8 n14 n21 n26 n29 n34,data\tc_public_portorder_inputs_r7b_stress\tc_public_12\input.blif
tc_public_13,inputs,335,20,True,False,n6 n11 n15 n47 n48 n50 n52 n54,n413 n72 n117 n344 n772 n158 n52 n359,n5 n18 n20 n22 n24 n26 n28 n30,n5 n18 n20 n22 n24 n26 n28 n30,data\tc_public_portorder_inputs_r7b_stress\tc_public_13\input.blif
tc_public_14,inputs,928,77,True,False,n0 n1 n4 n20 n25 n32 n279 n776,n6602 n4584 n4221 n6859 n6661 n4798 n4330 n6802,n5 n7 n9 n93 n100 n112 n115 n119,n5 n7 n9 n93 n100 n112 n115 n119,data\tc_public_portorder_inputs_r7b_stress\tc_public_14\input.blif
tc_public_15,inputs,31,32,True,False,n13 n16 n17 n21 n25 n26 n31 n34,n44 n176 n17 n25 n183 n152 n50 n168,n39 n63 n78 n112 n124 n187 n190 n254,n39 n63 n78 n112 n124 n187 n190 n254,data\tc_public_portorder_inputs_r7b_stress\tc_public_15\input.blif
tc_public_16,inputs,8,5,True,False,n0 n1 n3 n17 n18 n27 n28 n33,n0 n3 n27 n28 n1 n18 n33 n17,n14 n37 n41 n73 n91,n14 n37 n41 n73 n91,data\tc_public_portorder_inputs_r7b_stress\tc_public_16\input.blif
tc_public_17,inputs,16,6,True,False,n3 n4 n6 n7 n12 n13 n26 n27,n6 n12 n51 n4 n50 n129 n68 n88,n40 n75 n95 n138 n163 n182,n40 n75 n95 n138 n163 n182,data\tc_public_portorder_inputs_r7b_stress\tc_public_17\input.blif
tc_public_18,inputs,64,8,True,False,n3 n27 n28 n30 n32 n34 n36 n38,n136 n27 n148 n80 n112 n64 n72 n116,n275 n399 n523 n647 n771 n895 n1019 n1081,n275 n399 n523 n647 n771 n895 n1019 n1081,data\tc_public_portorder_inputs_r7b_stress\tc_public_18\input.blif
tc_public_19,inputs,512,11,True,False,n0 n36 n37 n39 n41 n43 n45 n47,n361 n465 n303 n271 n103 n989 n985 n377,n2586 n3606 n4626 n5646 n6666 n7686 n8706 n9726,n2586 n3606 n4626 n5646 n6666 n7686 n8706 n9726,data\tc_public_portorder_inputs_r7b_stress\tc_public_19\input.blif
tc_public_2,inputs,6,5,True,False,I0 I1 I2 I3 I4 I5,I3 I5 I0 I4 I1 I2,O0 O1 O2 O3 O4,O0 O1 O2 O3 O4,data\tc_public_portorder_inputs_r7b_stress\tc_public_2\input.blif
tc_public_20,inputs,532,11,True,False,n0 n36 n37 n39 n41 n43 n45 n47,n181 n301 n905 n969 n413 n759 n71 n765,n2686 n3746 n4806 n5866 n6926 n7986 n9046 n10106,n2686 n3746 n4806 n5866 n6926 n7986 n9046 n10106,data\tc_public_portorder_inputs_r7b_stress\tc_public_20\input.blif
tc_public_21,inputs,534,11,True,False,n0 n36 n37 n39 n41 n43 n45 n47,n383 n797 n36 n199 n893 n591 n615 n139,n2696 n3760 n4824 n5888 n6952 n8016 n9080 n10144,n2696 n3760 n4824 n5888 n6952 n8016 n9080 n10144,data\tc_public_portorder_inputs_r7b_stress\tc_public_21\input.blif
tc_public_22,inputs,1024,12,True,False,n0 n39 n40 n42 n44 n46 n48 n50,n456 n940 n468 n1872 n1798 n254 n294 n1592,n5149 n7193 n9237 n11281 n13325 n15369 n17413 n19457,n5149 n7193 n9237 n11281 n13325 n15369 n17413 n19457,data\tc_public_portorder_inputs_r7b_stress\tc_public_22\input.blif
tc_public_23,inputs,520,2,True,False,n4 n12 n26 n52 n102 n200 n264 n394,n1775 n862 n1621 n756 n828 n604 n570 n738,n1290 n2057,n1290 n2057,data\tc_public_portorder_inputs_r7b_stress\tc_public_23\input.blif
tc_public_24,inputs,104,9,True,False,n7 n9 n13 n24 n25 n44 n46 n48,n124 n76 n180 n302 n284 n160 n256 n186,n75 n107 n139 n171 n203 n235 n267 n299,n75 n107 n139 n171 n203 n235 n267 n299,data\tc_public_portorder_inputs_r7b_stress\tc_public_24\input.blif
tc_public_25,inputs,15,9,True,False,n5 n11 n19 n22 n24 n26 n32 n34,n62 n26 n38 n88 n74 n52 n34 n32,n33 n37 n43 n51 n61 n73 n87 n103,n33 n37 n43 n51 n61 n73 n87 n103,data\tc_public_portorder_inputs_r7b_stress\tc_public_25\input.blif
tc_public_26,inputs,33,32,True,False,n5 n11 n21 n37 n38 n70 n72 n76,n112 n11 n100 n670 n622 n252 n5 n310,n71 n75 n81 n89 n99 n111 n125 n141,n71 n75 n81 n89 n99 n111 n125 n141,data\tc_public_portorder_inputs_r7b_stress\tc_public_26\input.blif
