case,mode,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_1,outputs,10,8,False,True,I0 I1 I2 I3 I4 I5 I6 I7,I0 I1 I2 I3 I4 I5 I6 I7,O0 O1 O2 O3 O4 O5 O6 O7,O7 O4 O2 O1 O0 O6 O3 O5,data\tc_public_portorder_outputs_r7b_stress\tc_public_1\input.blif
tc_public_10,outputs,36,32,False,True,n1 n4 n5 n6 n7 n133 n134 n135,n1 n4 n5 n6 n7 n133 n134 n135,n8 n10 n12 n14 n16 n18 n20 n22,n24 n18 n42 n20 n12 n56 n62 n58,data\tc_public_portorder_outputs_r7b_stress\tc_public_10\input.blif
tc_public_11,outputs,134,96,False,True,n0 n1 n3 n5 n7 n9 n11 n16,n0 n1 n3 n5 n7 n9 n11 n16,n41 n52 n63 n74 n85 n96 n107 n118,n896 n118 n305 n830 n719 n708 n951 n140,data\tc_public_portorder_outputs_r7b_stress\tc_public_11\input.blif
tc_public_12,outputs,406,532,False,True,n1 n6 n9 n18 n23 n38 n47 n59,n1 n6 n9 n18 n23 n38 n47 n59,n3 n7 n8 n14 n21 n26 n29 n34,n440 n1016 n821 n62 n2086 n1201 n1021 n940,data\tc_public_portorder_outputs_r7b_stress\tc_public_12\input.blif
tc_public_13,outputs,335,20,False,True,n6 n11 n15 n47 n48 n50 n52 n54,n6 n11 n15 n47 n48 n50 n52 n54,n5 n18 n20 n22 n24 n26 n28 n30,n28 n255 n38 n32 n34 n20 n36 n211,data\tc_public_portorder_outputs_r7b_stress\tc_public_13\input.blif
tc_public_14,outputs,928,77,False,True,n0 n1 n4 n20 n25 n32 n279 n776,n0 n1 n4 n20 n25 n32 n279 n776,n5 n7 n9 n93 n100 n112 n115 n119,n170 n1784 n1822 n115 n344 n293 n1828 n1845,data\tc_public_portorder_outputs_r7b_stress\tc_public_14\input.blif
tc_public_15,outputs,31,32,False,True,n13 n16 n17 n21 n25 n26 n31 n34,n13 n16 n17 n21 n25 n26 n31 n34,n39 n63 n78 n112 n124 n187 n190 n254,n495 n757 n124 n355 n78 n352 n730 n672,data\tc_public_portorder_outputs_r7b_stress\tc_public_15\input.blif
tc_public_16,outputs,8,5,False,True,n0 n1 n3 n17 n18 n27 n28 n33,n0 n1 n3 n17 n18 n27 n28 n33,n14 n37 n41 n73 n91,n91 n14 n41 n73 n37,data\tc_public_portorder_outputs_r7b_stress\tc_public_16\input.blif
tc_public_17,outputs,16,6,False,True,n3 n4 n6 n7 n12 n13 n26 n27,n3 n4 n6 n7 n12 n13 n26 n27,n40 n75 n95 n138 n163 n182,n40 n138 n163 n182 n75 n95,data\tc_public_portorder_outputs_r7b_stress\tc_public_17\input.blif
tc_public_18,outputs,64,8,False,True,n3 n27 n28 n30 n32 n34 n36 n38,n3 n27 n28 n30 n32 n34 n36 n38,n275 n399 n523 n647 n771 n895 n1019 n1081,n275 n771 n523 n895 n1081 n399 n1019 n647,data\tc_public_portorder_outputs_r7b_stress\tc_public_18\input.blif
