case,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_1,10,8,True,True,I0 I1 I2 I3 I4 I5 I6 I7,I8 I2 I3 I4 I1 I9 I0 I7,O0 O1 O2 O3 O4 O5 O6 O7,O7 O3 O5 O1 O0 O2 O6 O4,data\tc_public_portorder_r7b_stress\tc_public_1\input.blif
tc_public_10,36,32,True,True,n1 n4 n5 n6 n7 n133 n134 n135,n147 n158 n157 n145 n153 n134 n141 n150,n8 n10 n12 n14 n16 n18 n20 n22,n52 n30 n24 n40 n8 n36 n46 n12,data\tc_public_portorder_r7b_stress\tc_public_10\input.blif
tc_public_11,134,96,True,True,n0 n1 n3 n5 n7 n9 n11 n16,n1185 n1145 n1092 n1124 n1199 n1178 n1158 n1083,n41 n52 n63 n74 n85 n96 n107 n118,n1071 n962 n206 n239 n371 n631 n411 n797,data\tc_public_portorder_r7b_stress\tc_public_11\input.blif
tc_public_12,406,532,True,True,n1 n6 n9 n18 n23 n38 n47 n59,n1667 n814 n1903 n1597 n1437 n1792 n986 n2192,n3 n7 n8 n14 n21 n26 n29 n34,n830 n168 n883 n1927 n458 n1021 n1664 n846,data\tc_public_portorder_r7b_stress\tc_public_12\input.blif
tc_public_13,335,20,True,True,n6 n11 n15 n47 n48 n50 n52 n54,n413 n72 n117 n344 n772 n158 n52 n359,n5 n18 n20 n22 n24 n26 n28 n30,n46 n40 n5 n42 n38 n18 n32 n36,data\tc_public_portorder_r7b_stress\tc_public_13\input.blif
tc_public_14,928,77,True,True,n0 n1 n4 n20 n25 n32 n279 n776,n6602 n4584 n4221 n6859 n6661 n4798 n4330 n6802,n5 n7 n9 n93 n100 n112 n115 n119,n1782 n1853 n2424 n1893 n1566 n2418 n184 n1837,data\tc_public_portorder_r7b_stress\tc_public_14\input.blif
tc_public_15,31,32,True,True,n13 n16 n17 n21 n25 n26 n31 n34,n44 n176 n17 n25 n183 n152 n50 n168,n39 n63 n78 n112 n124 n187 n190 n254,n400 n732 n190 n619 n757 n495 n533 n187,data\tc_public_portorder_r7b_stress\tc_public_15\input.blif
tc_public_16,8,5,True,True,n0 n1 n3 n17 n18 n27 n28 n33,n0 n3 n27 n28 n1 n18 n33 n17,n14 n37 n41 n73 n91,n73 n37 n14 n41 n91,data\tc_public_portorder_r7b_stress\tc_public_16\input.blif
tc_public_17,16,6,True,True,n3 n4 n6 n7 n12 n13 n26 n27,n6 n12 n51 n4 n50 n129 n68 n88,n40 n75 n95 n138 n163 n182,n182 n75 n40 n163 n95 n138,data\tc_public_portorder_r7b_stress\tc_public_17\input.blif
tc_public_18,64,8,True,True,n3 n27 n28 n30 n32 n34 n36 n38,n136 n27 n148 n80 n112 n64 n72 n116,n275 n399 n523 n647 n771 n895 n1019 n1081,n647 n275 n771 n1019 n399 n523 n895 n1081,data\tc_public_portorder_r7b_stress\tc_public_18\input.blif
