case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,outputs_bin,names_bin,cubes_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,runtime_size_bin
case_095oues3rg,data\tc_public_rand_r7b_stress\case_095oues3rg\input.blif,67,96,129,161,3,2.248,0,0,97,32,0,0.752,1.248,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_small
case_3ycwlkaj3j,data\tc_public_rand_r7b_stress\case_3ycwlkaj3j\input.blif,130,63,127,191,3,2.504,0,0,63,64,0,0.496,1.504,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small
case_5b37d8pj99,data\tc_public_rand_r7b_stress\case_5b37d8pj99\input.blif,406,532,1840,2425,2,1.810,0,350,1490,0,0,0.810,1.318,false,false,medium,pi_large,po_large,po_large,names_medium,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_mid,runtime_medium
case_8tz3kmgxq8,data\tc_public_rand_r7b_stress\case_8tz3kmgxq8\input.blif,12,12,14151,24182,2,1.999,0,12,14139,0,0,0.999,1.709,false,true,large,pi_tiny,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large
case_9n3t1jxedl,data\tc_public_rand_r7b_stress\case_9n3t1jxedl\input.blif,6,5,5,19,6,4.400,0,0,0,4,1,0.000,3.800,true,false,tiny,pi_tiny,po_tiny,po_tiny,names_tiny,cubes_tiny,fanin_5_8,avg_fanin_high,two_ratio_low,runtime_tiny
case_bxwfcxdndl,data\tc_public_rand_r7b_stress\case_bxwfcxdndl\input.blif,8,5,84,97,2,1.536,0,39,45,0,0,0.536,1.155,false,false,tiny,pi_tiny,po_tiny,po_tiny,names_tiny,cubes_tiny,fanin_le2,avg_fanin_low,two_ratio_low,runtime_tiny
case_d0sp3evjcu,data\tc_public_rand_r7b_stress\case_d0sp3evjcu\input.blif,532,11,11695,17535,2,2.000,2,0,11693,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large
case_d4glr802e7,data\tc_public_rand_r7b_stress\case_d4glr802e7\input.blif,33,32,1069,1555,2,1.995,0,5,1064,0,0,0.995,1.455,false,true,medium,pi_small,po_medium,po_medium,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium
case_dg8vd3xs1x,data\tc_public_rand_r7b_stress\case_dg8vd3xs1x\input.blif,134,96,1068,1358,2,1.996,0,4,1064,0,0,0.996,1.272,false,true,medium,pi_medium,po_medium,po_medium,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium
case_dqly6ciz1x,data\tc_public_rand_r7b_stress\case_dqly6ciz1x\input.blif,512,11,11255,16875,2,2.000,2,0,11253,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large
