case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,outputs_bin,names_bin,cubes_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,runtime_size_bin,r7b_eligible,r7b_skip_reason,r7b_cluster_potential_score,r7b_high_overlap_pairs,r7b_clusters_seen,r7b_num_eligible_clusters,r7b_largest_cluster_size,r7b_max_shared_nodes,r7b_max_containment,r7b_max_jaccard,r7b_before_nodes,r7b_before_levels,r7b_profile_returncode,r7b_profile_timeout,r7b_profile_runtime_sec,r7b_profile_log
tc_public_1,data\tc_public\tc_public_1\input.blif,10,8,8,76,10,10.000,0,0,0,0,8,0.000,9.500,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny,false,no_high_overlap_pair,34.780450,0,0,0,1,15,0.500000,0.306122,207,13,0,false,0.178826,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_1\logs\r7b_profile.log
tc_public_10,data\tc_public\tc_public_10\input.blif,36,32,128,192,2,2.000,0,0,128,0,0,1.000,1.500,false,true,small,pi_small,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small,false,no_high_overlap_pair,1.250000,0,0,0,1,0,0.000000,0.000000,192,5,0,false,0.108135,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_10\logs\r7b_profile.log
tc_public_11,data\tc_public\tc_public_11\input.blif,134,96,1068,1358,2,1.996,0,4,1064,0,0,0.996,1.272,false,true,medium,pi_medium,po_medium,po_medium,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium,false,no_high_overlap_pair,34.496116,0,0,0,1,8,0.421053,0.266667,1064,6,0,false,0.109072,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_11\logs\r7b_profile.log
tc_public_12,data\tc_public\tc_public_12\input.blif,406,532,1840,2425,2,1.810,0,350,1490,0,0,0.810,1.318,false,false,medium,pi_large,po_large,po_large,names_medium,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_mid,runtime_medium,false,po_count_gt_128,91.487020,280,8,4,9,43,1.000000,0.914894,1482,15,0,false,0.156670,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_12\logs\r7b_profile.log
tc_public_13,data\tc_public\tc_public_13\input.blif,335,20,576,1340,4,2.186,0,12,503,61,0,0.873,2.326,false,false,small,pi_large,po_small,po_small,names_small,cubes_small,fanin_3_4,avg_fanin_mid,two_ratio_high,runtime_small,true,,86.117838,120,1,1,16,376,0.870370,0.770492,1284,17,0,false,0.180731,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_13\logs\r7b_profile.log
tc_public_14,data\tc_public\tc_public_14\input.blif,928,77,6567,8325,2,1.973,0,179,6388,0,0,0.973,1.268,false,true,large,pi_large,po_medium,po_medium,names_large,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_large,true,,95.875584,2198,1,1,75,1144,1.000000,0.916667,6388,29,0,false,0.146226,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_14\logs\r7b_profile.log
tc_public_15,data\tc_public\tc_public_15\input.blif,31,32,936,1368,2,1.995,0,5,931,0,0,0.995,1.462,false,true,small,pi_small,po_medium,po_medium,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_small,true,,91.635359,208,1,1,32,89,0.967391,0.936842,931,12,0,false,0.110373,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_15\logs\r7b_profile.log
tc_public_16,data\tc_public\tc_public_16\input.blif,8,5,84,97,2,1.536,0,39,45,0,0,0.536,1.155,false,false,tiny,pi_tiny,po_tiny,po_tiny,names_tiny,cubes_tiny,fanin_le2,avg_fanin_low,two_ratio_low,runtime_tiny,false,no_high_overlap_pair,22.559524,0,0,0,1,3,0.333333,0.166667,45,6,0,false,0.093040,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_16\logs\r7b_profile.log
tc_public_17,data\tc_public\tc_public_17\input.blif,16,6,180,202,2,1.517,0,87,93,0,0,0.517,1.122,false,false,small,pi_small,po_tiny,po_tiny,names_small,cubes_small,fanin_le2,avg_fanin_low,two_ratio_low,runtime_small,false,no_high_overlap_pair,30.835290,0,0,0,1,9,0.428571,0.272727,93,6,0,false,0.110352,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_17\logs\r7b_profile.log
tc_public_18,data\tc_public\tc_public_18\input.blif,64,8,1018,1521,2,1.996,2,0,1016,0,0,0.998,1.494,false,true,medium,pi_medium,po_small,po_small,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium,false,no_high_overlap_pair,12.954878,0,0,0,1,9,0.120000,0.063830,525,12,0,false,0.117810,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_18\logs\r7b_profile.log
tc_public_19,data\tc_public\tc_public_19\input.blif,512,11,11255,16875,2,2.000,2,0,11253,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large,false,no_high_overlap_pair,15.811294,0,0,0,1,57,0.094059,0.049351,5478,18,0,false,0.153327,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_19\logs\r7b_profile.log
tc_public_2,data\tc_public\tc_public_2\input.blif,6,5,5,19,6,4.400,0,0,0,4,1,0.000,3.800,true,false,tiny,pi_tiny,po_tiny,po_tiny,names_tiny,cubes_tiny,fanin_5_8,avg_fanin_high,two_ratio_low,runtime_tiny,false,no_high_overlap_pair,15.083333,0,0,0,1,1,0.333333,0.166667,34,6,0,false,0.175025,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_2\logs\r7b_profile.log
