case,candidate,decision,source_status,baseline_nodes,baseline_levels,selected_nodes,selected_levels,node_delta,level_delta,candidate_output,final_output,cec_pass_in_matrix,postpass_opt_runtime_sec,postpass_cec_runtime_sec,postpass_stats_runtime_sec,postpass_peak_mem_mb
tc_public_1,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,85,8,85,8,0,0,submit\results\final_public\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_1\output.blif,True,0.131817,0.098835,0.035446,8.68
tc_public_10,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,101,4,101,4,0,0,submit\results\final_public\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_10\output.blif,True,0.13096,0.045931,0.035882,8.715
tc_public_11,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,328,7,328,7,0,0,submit\results\final_public\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_11\output.blif,True,0.23981,0.052721,0.03689,8.836
tc_public_12,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,1370,14,1367,14,-3,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_12\output.blif,True,0.775057,0.068367,0.0359,9.621
tc_public_13,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,1043,13,1043,13,0,0,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_13\output.blif,True,0.587452,0.205805,0.052726,13.668
tc_public_14,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,2073,15,2044,14,-29,-1,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_14\output.blif,True,1.876288,0.103731,0.038496,15.613
tc_public_15,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,913,11,904,11,-9,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_15\output.blif,True,0.712442,0.074687,0.037331,12.02
tc_public_16,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,45,6,45,6,0,0,submit\results\final_public\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_16\output.blif,True,0.110325,0.036301,0.037449,8.289
tc_public_17,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,93,6,93,6,0,0,submit\results\final_public\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_17\output.blif,True,0.135376,0.047294,0.035271,7.836
tc_public_18,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,486,12,483,12,-3,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_18\output.blif,True,0.424149,0.161836,0.037933,11.055
tc_public_19,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,5184,18,5157,18,-27,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_19\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_19\output.blif,True,3.677534,0.686646,0.052145,21.25
tc_public_2,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,19,4,19,4,0,0,submit\results\final_public\tc_public_2\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_2\output.blif,True,0.107606,0.104148,0.036387,7.781
tc_public_20,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,5445,20,5412,20,-33,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_20\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_20\output.blif,True,4.232572,0.845909,0.064954,21.34
tc_public_21,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,5448,20,5412,20,-36,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_21\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_21\output.blif,True,4.032392,0.834476,0.049125,21.5
tc_public_22,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,10740,20,10683,20,-57,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_22\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_22\output.blif,True,7.76263,1.356795,0.069431,27.934
tc_public_23,r29_mfs_strash_dc2_rwz_bal,accepted,accepted,1318,13,1311,13,-7,0,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_23\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_23\output.blif,True,1.172951,0.070365,0.037121,10.539
tc_public_24,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,215,8,215,8,0,0,submit\results\final_public\tc_public_24\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_24\output.blif,True,0.215065,0.061355,0.039503,8.738
tc_public_25,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,26,4,26,4,0,0,submit\results\final_public\tc_public_25\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_25\output.blif,True,0.101741,0.050911,0.037412,7.789
tc_public_26,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,449,10,449,10,0,0,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_26\output.blif,True,0.365418,0.067131,0.036066,10.16
tc_public_27,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,376,7,376,7,0,0,submit\results\final_public\tc_public_27\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_27\output.blif,True,0.305578,0.051036,0.037393,8.855
tc_public_28,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,258,8,258,8,0,0,submit\results\final_public\tc_public_28\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_28\output.blif,True,0.256943,0.052695,0.039178,8.852
tc_public_29,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,97,6,97,6,0,0,submit\results\final_public\tc_public_29\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_29\output.blif,True,0.155961,0.038914,0.037376,8.66
tc_public_3,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,94,8,94,8,0,0,submit\results\final_public\tc_public_3\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_3\output.blif,True,0.15166,0.102928,0.036139,8.699
