case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_1,r29_fraig_dc2_bal,fraig; dc2; balance,r11_deepsyn_tiny_high_sop_small_po,r11_gia_deepsyn_tiny@both,both,85,8,85,8,0,0,no_node_gain,True,0,False,False,0,0.049155,0.098878,0.045559,7.582,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,submit\results\final_public\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_1
tc_public_1,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r11_deepsyn_tiny_high_sop_small_po,r11_gia_deepsyn_tiny@both,both,85,8,85,8,0,0,no_node_gain,True,0,False,False,0,0.099917,0.098878,0.045968,8.621,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,submit\results\final_public\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_1
tc_public_1,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r11_deepsyn_tiny_high_sop_small_po,r11_gia_deepsyn_tiny@both,both,85,8,85,8,0,0,no_node_gain,True,0,False,False,0,0.154852,0.10001,0.047089,8.625,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,submit\results\final_public\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_1
tc_public_1,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r11_deepsyn_tiny_high_sop_small_po,r11_gia_deepsyn_tiny@both,both,85,8,85,8,0,0,no_node_gain,True,0,False,False,0,0.131817,0.098835,0.035446,8.68,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,submit\results\final_public\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_1\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_1
tc_public_10,r29_fraig_dc2_bal,fraig; dc2; balance,r11_deepsyn_small_small_pi_medium_po,r11_gia_deepsyn_tiny@clean,clean,101,4,101,4,0,0,no_node_gain,True,0,False,False,0,0.046213,0.047742,0.035885,1.906,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,submit\results\final_public\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_10
tc_public_10,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r11_deepsyn_small_small_pi_medium_po,r11_gia_deepsyn_tiny@clean,clean,101,4,101,4,0,0,no_node_gain,True,0,False,False,0,0.102344,0.047154,0.045842,8.164,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,submit\results\final_public\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_10
tc_public_10,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r11_deepsyn_small_small_pi_medium_po,r11_gia_deepsyn_tiny@clean,clean,101,4,101,4,0,0,no_node_gain,True,0,False,False,0,0.143736,0.046203,0.036624,8.715,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,submit\results\final_public\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_10
tc_public_10,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r11_deepsyn_small_small_pi_medium_po,r11_gia_deepsyn_tiny@clean,clean,101,4,101,4,0,0,no_node_gain,True,0,False,False,0,0.13096,0.045931,0.035882,8.715,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,submit\results\final_public\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_10\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_10
tc_public_11,r29_fraig_dc2_bal,fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,328,7,328,7,0,0,no_node_gain,True,0,False,False,0,0.046846,0.067297,0.035457,9.867,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,submit\results\final_public\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_11
tc_public_11,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,328,7,328,7,0,0,no_node_gain,True,0,False,False,0,0.20816,0.067387,0.036289,10.062,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,submit\results\final_public\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_11
tc_public_11,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,328,7,328,7,0,0,no_node_gain,True,0,False,False,0,0.242807,0.067055,0.045557,10.473,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,submit\results\final_public\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_11
tc_public_11,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,328,7,328,7,0,0,no_node_gain,True,0,False,False,0,0.23981,0.052721,0.03689,8.836,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,submit\results\final_public\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_11\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_11
tc_public_12,r29_fraig_dc2_bal,fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,1370,14,1369,14,-1,0,accepted,True,0,False,False,0,0.070579,0.073269,0.038398,8.82,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,submit\results\final_public\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_12
tc_public_12,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,1370,14,1367,14,-3,0,accepted,True,0,False,False,0,0.759643,0.067548,0.035824,10.047,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,submit\results\final_public\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_12
tc_public_12,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,1370,14,1367,14,-3,0,accepted,True,0,False,False,0,0.779955,0.067225,0.036365,9.809,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,submit\results\final_public\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_12
tc_public_12,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,1370,14,1367,14,-3,0,accepted,True,0,False,False,0,0.775057,0.068367,0.0359,9.621,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,submit\results\final_public\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_12\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_12
tc_public_13,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.067168,0.19121,0.035839,13.301,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_13
tc_public_13,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.516423,0.214518,0.04809,13.395,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_13
tc_public_13,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.615545,0.207938,0.038085,13.633,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_13
tc_public_13,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.587452,0.205805,0.052726,13.668,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_13
