case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_13,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.073187,0.198074,0.037145,13.262,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_13
tc_public_13,r29_mfs_dc2_bal,mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,0,0,,,opt_failed,False,0,False,True,,0.513481,0.0,0.0,9.219,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_13
tc_public_13,r29_mfs_strash_dc2_bal,mfs; strash; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.55125,0.20057,0.036217,13.82,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_13
tc_public_13,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.60713,0.196883,0.036713,13.777,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_13
tc_public_13,r29_mfs_fraig_bal,mfs; fraig; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.554686,0.200699,0.038584,13.348,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_13
tc_public_13,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.555611,0.19482,0.03981,13.484,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_13
tc_public_13,r29_fraig_mfs_dc2_bal,fraig; mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,0,0,,,opt_failed,False,0,False,True,,0.05397,0.0,0.0,1.91,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_13
tc_public_13,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean,clean,1043,13,1043,13,0,0,no_node_gain,True,0,False,False,0,0.656789,0.187737,0.038482,13.477,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,submit\results\final_public\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_13\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_13
tc_public_14,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2054,14,-19,-1,accepted,True,0,False,False,0,0.104697,0.104439,0.049369,15.453,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_14
tc_public_14,r29_mfs_dc2_bal,mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,0,0,,,opt_failed,False,0,False,True,,1.801764,0.0,0.0,10.254,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_14
