case,smoke_selection_reason,selector_reason,requested_pipeline,selected_pipeline,chosen_variant,selected_nodes,selected_levels,original_nodes,original_levels,opt_runtime_sec,peak_mem_mb,scale_grade,pi_bin,po_bin,names_bin,cubes_bin,near_two_input_aig,high_fanin_sop,runtime_size_bin,r28_gated_r27_status,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_13,all previously attempted R28 structural gates,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,clean,1043,13,1284,17,1.129424,13.59,small,pi_large,po_small,names_small,cubes_small,false,false,runtime_small,rejected,0,0
tc_public_14,all previously attempted R28 structural gates,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,6388,29,3.571296,47.309,large,pi_large,po_medium,names_large,cubes_medium,true,false,runtime_large,accepted,-83,-1
tc_public_15,all previously attempted R28 structural gates,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,931,12,1.210034,9.582,small,pi_small,po_medium,names_small,cubes_small,true,false,runtime_small,accepted,-9,0
tc_public_26,all previously attempted R28 structural gates,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,1064,32,0.863864,18.242,medium,pi_small,po_medium,names_medium,cubes_small,true,false,runtime_medium,accepted,-1,0
tc_public_30,all previously attempted R28 structural gates,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,14139,1036,1.050677,31.523,large,pi_tiny,po_small,names_large,cubes_large,true,false,runtime_large,accepted,-11,-1
tc_public_22,largest large-smallPO FRAIG/DC2 control,large_smallpo_fraig_cleanup,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,both,10740,20,11367,20,9.547628,27.18,large,pi_large,po_small,names_large,cubes_large,true,false,runtime_large,skipped,0,0
tc_public_23,slowest distilled GIA/deepsyn control,r11_deepsyn_medium_tiny_po,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,inputs,1318,13,1530,263,20.505702,13.762,medium,pi_large,po_tiny,names_medium,cubes_medium,true,false,runtime_medium,skipped,0,0
tc_public_12,largest medium FRAIG cleanup control,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,clean,1370,14,1482,15,0.513027,9.688,medium,pi_large,po_large,names_medium,cubes_medium,false,false,runtime_medium,skipped,0,0
tc_public_9,largest high-fanin SOP control,r11_deepsyn_tiny_high_sop_medium_po,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,clean,194,4,224,5,1.82136,14.395,tiny,pi_medium,po_medium,names_tiny,cubes_tiny,false,true,runtime_tiny,skipped,0,0
tc_public_27,largest default dc2 control,default,dc2_fast,dc2_fast@clean,clean,376,7,576,20,0.398452,7.711,small,pi_medium,po_small,names_small,cubes_small,true,false,runtime_small,skipped,0,0
